Choice,Use Gt Extrinsics,Use Gt Intrinsics,Use Gt Points,RRE ↓,RTE ↓,PSNR ↑,LPIPS ↓,SSIM ↑,Final Gaussian Count ↓
COLMAP,,,,0.5126666666666667,0.05669466666666667,18.646562576293945,0.31382983922958374,0.5849884748458862,1000000.0
GT,,,,,,31.678042729695637,0.1166551907857259,0.9475995103518168,1000000.0
VGGT,,,,0.7897,0.10712099999999998,17.542090098063152,0.43742724259694415,0.5746869842211405,1000000.0
COLMAP,,,GT Points,0.5126666666666667,0.05669466666666667,18.65726153055827,0.30857208371162415,0.5842734575271606,1000000.0
VGGT,,,GT Points,0.7897,0.10712099999999998,17.596445719401043,0.4258807102839152,0.5733793377876282,1000000.0
COLMAP,,GT Intrinsics,,0.5126666666666667,0.05669466666666667,18.618403752644856,0.32224805156389874,0.5836939016977946,1000000.0
VGGT,,GT Intrinsics,,0.7897,0.10712099999999998,18.617090861002605,0.40171897411346436,0.6066999236742655,1000000.0
COLMAP,,GT Intrinsics,GT Points,0.5126666666666667,0.05669466666666667,18.588415781656902,0.3101607064406077,0.5802127122879028,1000000.0
VGGT,,GT Intrinsics,GT Points,0.7897,0.10712099999999998,18.742849985758465,0.37430257598559064,0.6066902081171671,1000000.0
COLMAP,GT Extrinsics,,,0.5126666666666667,0.05669466666666667,22.85789616902669,0.21789885560671488,0.7019504507382711,1000000.0
VGGT,GT Extrinsics,,,0.7897,0.10712099999999998,18.512210845947266,0.3693676292896271,0.5859334667523702,1000000.0
COLMAP,GT Extrinsics,,GT Points,0.5126666666666667,0.05669466666666667,22.737253824869793,0.20869396130243936,0.7032661239306132,1000000.0
VGGT,GT Extrinsics,,GT Points,0.7897,0.10712099999999998,18.677090326944988,0.3554008702437083,0.5888574123382568,1000000.0
COLMAP,GT Extrinsics,GT Intrinsics,,0.5126666666666667,0.05669466666666667,28.553738276163738,0.16553429265817007,0.8897407253583273,1000000.0
VGGT,GT Extrinsics,GT Intrinsics,,0.7897,0.10712099999999998,25.8611577351888,0.21239244441191354,0.8314348657925924,1000000.0
COLMAP,GT Extrinsics,GT Intrinsics,GT Points,0.5126666666666667,0.05669466666666667,29.008637110392254,0.1444352318843206,0.9142726461092631,1000000.0
VGGT,GT Extrinsics,GT Intrinsics,GT Points,0.7897,0.10712099999999998,28.884119669596355,0.1442054013411204,0.9135204950968424,1000000.0
