choice,num_points,sampling_mode,rre,rte,num_aligned,quality
VGGT,1000,random,0.4945,0.059562,100,
VGGT,5000,random,0.4945,0.059562,100,
VGGT,10000,random,0.4945,0.059562,100,
VGGT,50000,random,0.4945,0.059562,100,
VGGT,100000,random,0.4945,0.059562,100,0.31077919167462226
VGGT,250000,random,0.4945,0.059562,100,
VGGT,,,0.1993,0.012003,100,
