choice,num_points,splatting_strategy,rre,rte,psnr,lpips,ssim,num_GS
VGGT,1000,Default,0.7897,0.107121,17.470611572265625,0.4828430414199829,0.5770701169967651,1272723
VGGT,1000,MCMC,0.7897,0.107121,17.824777603149414,0.5403298139572144,0.6069717407226562,1000000
VGGT,5000,Default,0.7897,0.107121,17.51679039001465,0.4768657386302948,0.5794045329093933,1353454
VGGT,5000,MCMC,0.7897,0.107121,17.706771850585938,0.4862058162689209,0.5934957265853882,1000000
VGGT,10000,Default,0.7897,0.107121,17.48538589477539,0.4767313003540039,0.5788321495056152,1372525
VGGT,10000,MCMC,0.7897,0.107121,17.677885055541992,0.47266295552253723,0.5898643732070923,1000000
VGGT,20000,Default,0.7897,0.107121,17.54015350341797,0.4746314585208893,0.5799768567085266,1398777
VGGT,20000,MCMC,0.7897,0.107121,17.632732391357422,0.4605438709259033,0.58454430103302,1000000
VGGT,30000,Default,0.7897,0.107121,17.522811889648438,0.4729659855365753,0.5792244076728821,1427259
VGGT,30000,MCMC,0.7897,0.107121,17.57781982421875,0.4511888921260834,0.5806558132171631,1000000
VGGT,50000,Default,0.7897,0.107121,17.522968292236328,0.47038888931274414,0.5788457989692688,1466618
VGGT,50000,MCMC,0.7897,0.107121,17.576961517333984,0.446553111076355,0.5784289240837097,1000000
VGGT,75000,Default,0.7897,0.107121,17.509841918945312,0.47201383113861084,0.5781165361404419,1486174
VGGT,75000,MCMC,0.7897,0.107121,17.565404891967773,0.4419548511505127,0.5769923329353333,1000000
VGGT,100000,Default,0.7897,0.107121,17.479732513427734,0.4675779342651367,0.5760721564292908,1510589
VGGT,100000,MCMC,0.7897,0.107121,17.540729522705078,0.4390751123428345,0.5749732255935669,1000000
VGGT,250000,Default,0.7897,0.107121,17.48700714111328,0.4626895487308502,0.5737654566764832,1614234
VGGT,250000,MCMC,0.7897,0.107121,17.506763458251953,0.431453138589859,0.5694643259048462,1000000
VGGT,500000,Default,0.7897,0.107121,17.455989837646484,0.4474121034145355,0.5688580274581909,1762894
VGGT,500000,MCMC,0.7897,0.107121,17.454833984375,0.4291716516017914,0.5646929740905762,1000000
VGGT,1000000,Default,0.7897,0.107121,17.420364379882812,0.43212246894836426,0.5629729628562927,1953372
VGGT,1000000,MCMC,0.7897,0.107121,17.441808700561523,0.426496684551239,0.5618674159049988,1000000
