method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,rre,rte,num_aligned,raw_eval_metrics,file_path,sfm_file_path,folder,input_folder,output_folder,plot_series,num_images_jitter
vggt,25,42,0.0,27500,random,farthestpose,,,,,,,,,,,0.0,,vggt,pinhole,,,,,MCMC,,,,,Shared Cam,,,Use BA,50,sfm,0.7176,0.037698,25,"{'rre': [0.9902840389238883, 0.4735638270924235, 0.8169701177475981, 0.8795080557836709, 0.6017859708472126, 0.42227367581767095, 0.3890461880580261, 0.41155903152187, 0.9885013115448331, 0.7456012880825168, 0.37513913095971035, 0.4341200081158681, 1.4616673236660351, 0.42884070794157564, 0.47178954541222945, 0.8850198393768159, 0.5427148273903918, 0.6947074774716233, 1.6244569074606523, 0.7752636554261048, 0.4974101260043026, 0.6052262048894422, 1.0024766220368089, 0.7476256381164569, 0.6738171728752704], 'rte': [0.028622179500926284, 0.023337688840255107, 0.05306385448356812, 0.05598649716005599, 0.0317740859623159, 0.008983312850070133, 0.018827513663827455, 0.03563182985776319, 0.036997914856379197, 0.054450135277721606, 0.01665754968099964, 0.027087839444508027, 0.0655381677275901, 0.020737311271923246, 0.031129659647482405, 0.06898451207962272, 0.020393982874407246, 0.0264685382256628, 0.07687229580947097, 0.03621375192968429, 0.01980109186248776, 0.06168028691278151, 0.04311327447389819, 0.047584614875039885, 0.032524343497570336]}",/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n25_s42_mpinhole_c0.0_p27500_random_farthestpose_useba_maxba50_sharedcam/eval_results.json,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n25_s42_mpinhole_c0.0_p27500_random_farthestpose_useba_maxba50_sharedcam/eval_results.json,lego_1_n25_s42_mpinhole_c0.0_p27500_random_farthestpose_useba_maxba50_sharedcam,lego_1_n25_s42_mpinhole_c0.0_p27500_random_farthestpose_useba_maxba50_sharedcam,,vggt | random | Use BA | 50.0 | Shared Cam | pinhole,25.0
vggt,25,43,0.0,27500,random,farthestpose,,,,,,,,,,,0.0,,vggt,pinhole,,,,,MCMC,,,,,Shared Cam,,,Use BA,50,sfm,0.7229,0.037209,25,"{'rre': [1.0490686635149327, 0.479651158403165, 0.7422545333698253, 0.865792867952396, 0.592233270464048, 0.37408248845764824, 0.5279468532671843, 0.4865351568339443, 1.0232240054816606, 0.6033567582822813, 0.5481463599667428, 0.5266907622147871, 1.4025130447707654, 0.5383797557762937, 0.40567527193194913, 0.6130334430773605, 0.5313855565507009, 0.8555713866181669, 1.5417912788257955, 0.8626671860873193, 0.5048862388742875, 0.4177017784716616, 1.0278972756315183, 0.7700109170066628, 0.7814201949237037], 'rte': [0.030653665229206845, 0.024430725606526614, 0.041160387867347194, 0.05086383371296142, 0.027035782970830757, 0.0139052168666198, 0.024974140595922997, 0.04236977407880194, 0.03362416244784608, 0.041384157267754317, 0.017606334679371484, 0.02096045901871589, 0.058922045391365245, 0.020265422417212325, 0.02494476734113506, 0.06696193126656916, 0.01863194921127704, 0.045035694278097275, 0.06914856536279564, 0.04936694613840295, 0.017983168746835802, 0.059115497881123275, 0.03787893569856412, 0.04464464651611064, 0.04835385733841466]}",/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n25_s43_mpinhole_c0.0_p27500_random_farthestpose_useba_maxba50_sharedcam/eval_results.json,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n25_s43_mpinhole_c0.0_p27500_random_farthestpose_useba_maxba50_sharedcam/eval_results.json,lego_1_n25_s43_mpinhole_c0.0_p27500_random_farthestpose_useba_maxba50_sharedcam,lego_1_n25_s43_mpinhole_c0.0_p27500_random_farthestpose_useba_maxba50_sharedcam,,vggt | random | Use BA | 50.0 | Shared Cam | pinhole,25.0
vggt,50,42,0.0,55000,random,farthestpose,,,,,,,,,,,0.0,,vggt,pinhole,,,,,MCMC,,,,,Shared Cam,,,Use BA,50,sfm,0.4792,0.021011,50,"{'rre': [0.5248443993137762, 0.8098089268198407, 0.2599006282644563, 0.34040153493085895, 0.431542030483093, 0.5312584864693896, 0.46977900866206346, 0.840581711045703, 0.48504054413523773, 0.3093441410651835, 0.14528324248728558, 0.30123937105647797, 0.374442119092071, 0.4542260295930099, 0.4866939511549865, 0.05432985693479912, 0.6083814436887587, 0.36762385650788576, 0.3918738008346765, 0.42104729641111455, 0.37205202960454137, 0.6811967148996568, 0.40491940377063773, 0.3173585825120308, 0.4508553155115255, 1.0363417203594008, 0.270127733305357, 0.28145531213836794, 0.35729466043687536, 0.3582990076020579, 0.41240904261325423, 0.6728922703227638, 0.6414942971781188, 0.6105296823968168, 1.039577163696381, 0.3990714329488352, 0.38874964666104306, 0.4579613603084239, 0.5198012144702494, 0.6643033017971415, 0.4685814006780274, 0.4016770636383253, 0.8219167162010764, 0.1235491806488523, 0.5980008334658072, 0.22814435000043135, 0.4929142546202189, 0.8812769776536198, 0.5571566638220198, 0.4424990821741842], 'rte': [0.013507103367010763, 0.029867400828240617, 0.024953781549151934, 0.023705236735547267, 0.0159349589589264, 0.03343616896221499, 0.025564380956895272, 0.027546740280296383, 0.01674873631791155, 0.010148727552533257, 0.029915124979071905, 0.007421967879638705, 0.017831449578271357, 0.022155036517539636, 0.013009109453642368, 0.023128409112155645, 0.024017264762670524, 0.011305782240079812, 0.01326856298304917, 0.014652899013911442, 0.016710567859240116, 0.024526862558352007, 0.015182876963021608, 0.027808073571669093, 0.011444628707924287, 0.04888749072416362, 0.023118271455159472, 0.009212423357377401, 0.012073797634576822, 0.02329203331693633, 0.022798413235495175, 0.022548100696459152, 0.03620316155548291, 0.025939277084107586, 0.04902703906125209, 0.02028512232442699, 0.0033557913661460565, 0.02775072252427158, 0.015521105916612085, 0.022340235145982528, 0.01701323068216501, 0.010019160270017643, 0.030566242095558922, 0.015085582274349557, 0.009351579626837222, 0.020665472590407765, 0.012210307611471611, 0.027575027626969385, 0.03406584189375744, 0.01782787720060363]}",/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n50_s42_mpinhole_c0.0_p55000_random_farthestpose_useba_maxba50_sharedcam/eval_results.json,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n50_s42_mpinhole_c0.0_p55000_random_farthestpose_useba_maxba50_sharedcam/eval_results.json,lego_1_n50_s42_mpinhole_c0.0_p55000_random_farthestpose_useba_maxba50_sharedcam,lego_1_n50_s42_mpinhole_c0.0_p55000_random_farthestpose_useba_maxba50_sharedcam,,vggt | random | Use BA | 50.0 | Shared Cam | pinhole,50.0
vggt,50,43,0.0,55000,random,farthestpose,,,,,,,,,,,0.0,,vggt,pinhole,,,,,MCMC,,,,,Shared Cam,,,Use BA,50,sfm,0.4501,0.019938,50,"{'rre': [0.5117614308575906, 0.7622768618374328, 0.22035169682279993, 0.3845541571413686, 0.42420027449910447, 0.5415676437193135, 0.45452388685267336, 0.7448690281051292, 0.3666786750970771, 0.2976120222453951, 0.16498450391073607, 0.2670207969636553, 0.3666697640574144, 0.47894317252805585, 0.33195078509878184, 0.1934109368866225, 0.5445103755837374, 0.3537138081474964, 0.40758456053748726, 0.4428974500734593, 0.3677842704399117, 0.6653023834873255, 0.366310533272923, 0.2304849134086958, 0.32109541066104863, 0.5189364494972927, 0.8171472025260772, 0.5351778184415429, 0.37605585485724313, 0.19952687969917376, 0.3771207267399006, 0.3484072820505779, 0.6908942383248018, 0.6476364890745178, 0.5591889261875161, 0.8028837034161491, 0.4319155553095131, 0.3076823961475417, 0.47518104719571047, 0.34964173834412066, 0.686711587345621, 0.4870776837461005, 0.4457977175376308, 0.6812018977420979, 0.10530426776353821, 0.5938110329264417, 0.21486266617488117, 0.5390621018207006, 0.6493678596932513, 0.45428234405810985], 'rte': [0.018098722183893395, 0.02934934585088814, 0.025462867793893517, 0.03151688647600703, 0.019340993236573654, 0.03525566840100348, 0.026059864250265633, 0.02255918254890373, 0.0180119296613474, 0.008681432731454435, 0.018276098436834087, 0.0072463993682884, 0.020798610770501106, 0.025460123045911554, 0.011076343959885548, 0.01599933012053138, 0.017859857021771782, 0.010067227133892699, 0.0020085255420154388, 0.01944002062954602, 0.0048978639094613375, 0.027791709742765826, 0.017667083798167553, 0.01782394349474741, 0.03091308689056066, 0.017246765561447382, 0.03576008900881864, 0.005647703486705566, 0.025916670156992085, 0.0056488898317163284, 0.010270857647464696, 0.02430718847508123, 0.02682593234152069, 0.037212369159117374, 0.025854284421777337, 0.03484464128598305, 0.0225749051706279, 0.009906094047042395, 0.02532114540550023, 0.009657157354949274, 0.02720026581795576, 0.022702422552814475, 0.009250285379671605, 0.020973177299415394, 0.01830408175913969, 0.011762355684143593, 0.018210734451508465, 0.007262317516687479, 0.04240345556321416, 0.02019174738491251]}",/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n50_s43_mpinhole_c0.0_p55000_random_farthestpose_useba_maxba50_sharedcam/eval_results.json,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n50_s43_mpinhole_c0.0_p55000_random_farthestpose_useba_maxba50_sharedcam/eval_results.json,lego_1_n50_s43_mpinhole_c0.0_p55000_random_farthestpose_useba_maxba50_sharedcam,lego_1_n50_s43_mpinhole_c0.0_p55000_random_farthestpose_useba_maxba50_sharedcam,,vggt | random | Use BA | 50.0 | Shared Cam | pinhole,50.0
vggt,75,42,0.0,82500,random,farthestpose,,,,,,,,,,,0.0,,vggt,pinhole,,,,,MCMC,,,,,Shared Cam,,,Use BA,50,sfm,0.2897,0.014361,75,"{'rre': [0.3850069338537171, 0.5890361478960147, 0.11676908029556304, 0.10569107382920784, 0.1252800853259492, 0.35909972745159074, 0.28443340890944463, 0.1571677224027662, 0.45986319829049777, 0.1485454665378187, 0.2567358389683037, 0.2582917893159108, 0.21011283155263366, 0.29204466838656284, 0.33027145610660985, 0.2531172817895626, 0.22527536834812265, 0.2404950845487798, 0.2612374671053288, 0.4467800071266491, 0.2092773364523644, 0.2504256784646034, 0.24887137292778697, 0.24869693733320658, 0.06562891289246753, 0.06334050683092206, 0.40552001786872527, 0.25049222880956973, 0.49444131202092534, 0.2737701968806033, 0.17154851485623418, 0.3285244928388416, 0.30654897616690907, 0.2074832506283776, 0.27730317147943734, 0.25213411482402737, 0.379038429227285, 0.6890443151570493, 0.26280412026864375, 0.3637106237760319, 0.08248192342200888, 0.20250826024305907, 0.26819590111892355, 0.349530261136655, 0.16395230016031928, 0.15675069057964314, 0.569033090660684, 0.4216380576437626, 0.22318687832771605, 0.2146605208600559, 0.6879642684785653, 0.3697010045047864, 0.20852789970143662, 0.22571503895524048, 0.18223213346506337, 0.5594354183610099, 0.4285541549528188, 0.05102534196587053, 0.3229831806496937, 0.10727562456468889, 0.4777826040112411, 0.087057771691814, 0.40486636361151723, 0.49464375129889787, 0.3296303325679937, 0.15976680316123482, 0.3547763774186753, 0.2745181420239818, 0.4910524040029016, 0.1662378130911768, 0.2823525811315558, 0.21881779156990094, 0.36506797911555927, 0.44232303568386055, 0.1308937568169056], 'rte': [0.008848107614564655, 0.024675278144175677, 0.017860002409662762, 0.013366095395501548, 0.011139307788659077, 0.01564617450063454, 0.028193505382467048, 0.014609999810346407, 0.01495735506926726, 0.006623809505713455, 0.02249215810902911, 0.005929121994726558, 0.002799768404183405, 0.010587572837764677, 0.020798500924972412, 0.016214303588879424, 0.006468808600468713, 0.006340270712690647, 0.022854801395151083, 0.020463917720738904, 0.004541770180451611, 0.0062948728839172805, 0.0038033425629965148, 0.00538133975470623, 0.010228068897921902, 0.015682120324657153, 0.019270520851497264, 0.0030275614621642914, 0.01977289699864608, 0.016290671110624006, 0.00805126376629013, 0.023199022487178467, 0.015768543648718526, 0.012204738195461924, 0.010971026852481861, 0.027566180881126348, 0.00858890235990803, 0.03846799831138208, 0.006926575503937304, 0.013538408020560265, 0.016143912694653567, 0.014667839240138505, 0.008445323418267902, 0.007148622856929718, 0.01614372377044056, 0.006275276770175558, 0.023594785935373393, 0.01914529864702886, 0.018419214024012923, 0.015945327598426182, 0.03836160171419542, 0.014458404965353493, 0.007956221321932657, 0.02532187090406199, 0.009606298677255046, 0.023027328863498307, 0.012636186294708222, 0.01188177796226763, 0.006393895533427553, 0.016796419027583154, 0.018260876006279642, 0.01552208404406467, 0.008997063019001503, 0.02461305453163872, 0.016225894050100515, 0.0071670047437265546, 0.022235418368886428, 0.005379057923301285, 0.014958024936759634, 0.013255710825297582, 0.003438017420032613, 0.0220359472928419, 0.005455058725088236, 0.014230000676565716, 0.012485900960120644]}",/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n75_s42_mpinhole_c0.0_p82500_random_farthestpose_useba_maxba50_sharedcam/eval_results.json,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n75_s42_mpinhole_c0.0_p82500_random_farthestpose_useba_maxba50_sharedcam/eval_results.json,lego_1_n75_s42_mpinhole_c0.0_p82500_random_farthestpose_useba_maxba50_sharedcam,lego_1_n75_s42_mpinhole_c0.0_p82500_random_farthestpose_useba_maxba50_sharedcam,,vggt | random | Use BA | 50.0 | Shared Cam | pinhole,75.0
vggt,75,43,0.0,82500,random,farthestpose,,,,,,,,,,,0.0,,vggt,pinhole,,,,,MCMC,,,,,Shared Cam,,,Use BA,50,sfm,0.2875,0.014183,75,"{'rre': [0.37984116732784307, 0.5877785990847711, 0.1156179773147063, 0.11146576328325862, 0.12298961730933586, 0.3574717794859251, 0.2766314429905292, 0.1659152095282949, 0.4516035358959182, 0.15661827994817965, 0.2649242981097003, 0.2417785384872365, 0.20475677813571025, 0.2845266577774358, 0.33620624066226734, 0.25189720023683926, 0.22582816599196512, 0.2294810555142728, 0.26459430270497847, 0.4610551677857175, 0.20411320351508677, 0.24265435658296874, 0.26030083514013563, 0.23645366429229425, 0.060853688191303636, 0.06367106367438216, 0.4078025905677553, 0.2589779004325869, 0.4976311201402337, 0.2748904989943747, 0.17002984695295664, 0.3173723510864542, 0.2993126554364343, 0.19856791042406738, 0.2826865703926567, 0.2532970572571091, 0.37529779208123915, 0.6964137014089192, 0.2663630790074788, 0.34828478651387845, 0.0857334917867395, 0.2073146349365089, 0.25541876438881583, 0.3447125388550577, 0.16648132007138536, 0.15310372546382203, 0.566931223181859, 0.3956034526846797, 0.22416647444901533, 0.2144751345529467, 0.6868567777107515, 0.34886266639741004, 0.20843421734209672, 0.22091869735255032, 0.18965210909596378, 0.5602858099185929, 0.41032145072236503, 0.05046463795220696, 0.3180589447088563, 0.11099583844612079, 0.48204627064378974, 0.08702322103050354, 0.41055396053649307, 0.4862507193543902, 0.32869444441546564, 0.14745178478711993, 0.35246895815219415, 0.28199915000160214, 0.4893688119238447, 0.16671338378802206, 0.2879622453920377, 0.2039953501631496, 0.3709197489424537, 0.4215918461551594, 0.121467122869025], 'rte': [0.008899947486304044, 0.02461955531111968, 0.017879761988492372, 0.013552886264639, 0.011020352202454228, 0.015743560462349124, 0.02772043388773388, 0.014956304916928873, 0.014575575142960222, 0.006164399915336161, 0.023097739449913737, 0.005174066552253578, 0.003506333881579562, 0.010174454795543901, 0.021058182422666126, 0.01576029685537309, 0.0067064400707272575, 0.006054871444098583, 0.022698527919287975, 0.02137728396306649, 0.004374858650284306, 0.006445139443775961, 0.0031157580153028538, 0.00517640218147137, 0.009839356814519758, 0.015777560188522454, 0.019355429434548554, 0.0026995524380278757, 0.019795425846327198, 0.01624672153790567, 0.007686213844777447, 0.021941769999068866, 0.01582269423044268, 0.011948103519146016, 0.010478453078371487, 0.027387283082012364, 0.00831709266175755, 0.03864427913518741, 0.006224963797615725, 0.01314556419099098, 0.016181882303777626, 0.015060276945847632, 0.007902694422981494, 0.006607113803910607, 0.016076893660127538, 0.006612018646724357, 0.023538691038090278, 0.018284310513878452, 0.01832634439492017, 0.015853541583693023, 0.03792146217044611, 0.013400557307131473, 0.008089693526009707, 0.024528625062609614, 0.009819797018777195, 0.0231565039016098, 0.012325509832969105, 0.011295663878074931, 0.005758712672034066, 0.016893987127754206, 0.018900611675039522, 0.015115515980226651, 0.009480598922143594, 0.02419943133539609, 0.015714510459045445, 0.00726311865512399, 0.02123649689732939, 0.004971125852054766, 0.014462801990809026, 0.013341226986352213, 0.003933552276839514, 0.020787690589463382, 0.005822583756241483, 0.013504034119843182, 0.01217487281407564]}",/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n75_s43_mpinhole_c0.0_p82500_random_farthestpose_useba_maxba50_sharedcam/eval_results.json,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n75_s43_mpinhole_c0.0_p82500_random_farthestpose_useba_maxba50_sharedcam/eval_results.json,lego_1_n75_s43_mpinhole_c0.0_p82500_random_farthestpose_useba_maxba50_sharedcam,lego_1_n75_s43_mpinhole_c0.0_p82500_random_farthestpose_useba_maxba50_sharedcam,,vggt | random | Use BA | 50.0 | Shared Cam | pinhole,75.0
vggt,87,42,0.0,95700,random,farthestpose,,,,,,,,,,,0.0,,vggt,pinhole,,,,,MCMC,,,,,Shared Cam,,,Use BA,50,sfm,0.2685,0.015146,87,"{'rre': [0.3558429106513011, 0.5077557257620632, 0.09143251777469757, 0.22877994724318834, 0.19552824593911297, 0.26366989498425986, 0.25230129851849925, 0.3845435299852462, 0.09074109500279437, 0.17620651065120377, 0.3975600379298468, 0.15547632200393136, 0.15409513317028908, 0.16757871397026378, 0.1706957823318486, 0.19772259106638082, 0.24512111217961158, 0.3267096725955512, 0.16497363080761987, 0.14766295420960518, 0.18287831366516094, 0.2453446530762152, 0.44957360316772926, 0.1269761445564383, 0.3065656545197156, 0.30799079809817476, 0.14260305524888203, 0.10650929908781148, 0.13427709775435595, 0.3405506691851303, 0.3276699257973714, 0.3972385680061324, 0.1842362470683797, 0.12912832023313453, 0.26045536034615097, 0.20350792646454563, 0.1527670796154979, 0.20022205535052925, 0.2820821254116687, 0.24556533212599402, 0.2688351719992756, 0.42863407873634074, 0.7693827222456288, 0.2595586034702325, 0.4196968951254278, 0.13314139035183434, 0.14024899183135062, 0.21074388887689327, 0.11446956872428668, 0.4297930832868996, 0.24034127377277412, 0.21956925855724224, 0.14200332808973276, 0.4757526719787327, 0.5571768016812478, 0.25415202319974955, 0.19465487430091694, 0.7765225532312767, 0.19676221201686298, 0.4417821524746949, 0.13446022965148927, 0.3157669453881699, 0.10307582237935559, 0.4728526475643492, 0.23286481009533969, 0.15205139240776602, 0.41314502989274415, 0.17714100670906183, 0.5716194210452331, 0.16018863592160426, 0.2295890344353012, 0.37867155742763986, 0.22988728867366673, 0.3659099933189866, 0.15289037208089162, 0.28350539022907617, 0.22079062119760268, 0.27735702596736145, 0.4187926944166628, 0.20925033675711815, 0.1143640812598073, 0.25774112453096415, 0.32486733154477065, 0.3329797583432783, 0.3455884079716513, 0.20575282442004153, 0.2078459382820782], 'rte': [0.011863406831108602, 0.022060657609032842, 0.018083739748224997, 0.009724774497884696, 0.011327902103232925, 0.011100161119873277, 0.02181957963840135, 0.03405053638458231, 0.004788347186806612, 0.018474632804142067, 0.015664954622770903, 0.006741095081218662, 0.013106195157146157, 0.007374202503452162, 0.004941085191181577, 0.018717011310242483, 0.03217487355630838, 0.018619603152067926, 0.00909045696586507, 0.006610307393376172, 0.01223086149316065, 0.014551099914817263, 0.01851401744866596, 0.007275158732353415, 0.007737393958392165, 0.003306886640992629, 0.006836207424349177, 0.00847141273558562, 0.011175486502836304, 0.026839447925286794, 0.004769770752104951, 0.021244429367830955, 0.027846739084042636, 0.010292359299960013, 0.013373019256206388, 0.011785589820897729, 0.012678113454083144, 0.014904839872732882, 0.017600651442736186, 0.005056688171239052, 0.03480623826219668, 0.015049904595993358, 0.04319215847911012, 0.002732253627173993, 0.018013538193017063, 0.009962646768817153, 0.014449336033291925, 0.005551562466209814, 0.006572377863401153, 0.013319900564365154, 0.019419405544399124, 0.01567139060714116, 0.00860854222935107, 0.022916233291726762, 0.028934576064635762, 0.010354672608886631, 0.0197066248428544, 0.0437820075206042, 0.02304674089740278, 0.021453292571863857, 0.008694352538731026, 0.030797530418656405, 0.01167398917357374, 0.02292591532392305, 0.018039203691547562, 0.014553740359589892, 0.01060445545724501, 0.016109467247102823, 0.027146118635082508, 0.016255180609476092, 0.008044778870999763, 0.010847588251354177, 0.010704237043718498, 0.013683024842696736, 0.010516537694427357, 0.014557325861773867, 0.015945788178326113, 0.0017656354358612431, 0.014066726377322727, 0.0149454397319306, 0.007994121516716924, 0.013292647797157678, 0.005185830176164005, 0.028052803808579333, 0.007816564627663475, 0.015739003352232973, 0.017367142505492594]}",/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_mpinhole_c0.0_p95700_random_farthestpose_useba_maxba50_sharedcam/eval_results.json,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_mpinhole_c0.0_p95700_random_farthestpose_useba_maxba50_sharedcam/eval_results.json,lego_1_n87_s42_mpinhole_c0.0_p95700_random_farthestpose_useba_maxba50_sharedcam,lego_1_n87_s42_mpinhole_c0.0_p95700_random_farthestpose_useba_maxba50_sharedcam,,vggt | random | Use BA | 50.0 | Shared Cam | pinhole,87.0
vggt,87,43,0.0,95700,random,farthestpose,,,,,,,,,,,0.0,,vggt,pinhole,,,,,MCMC,,,,,Shared Cam,,,Use BA,50,sfm,0.2685,0.015146,87,"{'rre': [0.3558429106513011, 0.5077557257620632, 0.09143251777469757, 0.22877994724318834, 0.19552824593911297, 0.26366989498425986, 0.25230129851849925, 0.3845435299852462, 0.09074109500279437, 0.17620651065120377, 0.3975600379298468, 0.15547632200393136, 0.15409513317028908, 0.16757871397026378, 0.1706957823318486, 0.19772259106638082, 0.24512111217961158, 0.3267096725955512, 0.16497363080761987, 0.14766295420960518, 0.18287831366516094, 0.2453446530762152, 0.44957360316772926, 0.1269761445564383, 0.3065656545197156, 0.30799079809817476, 0.14260305524888203, 0.10650929908781148, 0.13427709775435595, 0.3405506691851303, 0.3276699257973714, 0.3972385680061324, 0.1842362470683797, 0.12912832023313453, 0.26045536034615097, 0.20350792646454563, 0.1527670796154979, 0.20022205535052925, 0.2820821254116687, 0.24556533212599402, 0.2688351719992756, 0.42863407873634074, 0.7693827222456288, 0.2595586034702325, 0.4196968951254278, 0.13314139035183434, 0.14024899183135062, 0.21074388887689327, 0.11446956872428668, 0.4297930832868996, 0.24034127377277412, 0.21956925855724224, 0.14200332808973276, 0.4757526719787327, 0.5571768016812478, 0.25415202319974955, 0.19465487430091694, 0.7765225532312767, 0.19676221201686298, 0.4417821524746949, 0.13446022965148927, 0.3157669453881699, 0.10307582237935559, 0.4728526475643492, 0.23286481009533969, 0.15205139240776602, 0.41314502989274415, 0.17714100670906183, 0.5716194210452331, 0.16018863592160426, 0.2295890344353012, 0.37867155742763986, 0.22988728867366673, 0.3659099933189866, 0.15289037208089162, 0.28350539022907617, 0.22079062119760268, 0.27735702596736145, 0.4187926944166628, 0.20925033675711815, 0.1143640812598073, 0.25774112453096415, 0.32486733154477065, 0.3329797583432783, 0.3455884079716513, 0.20575282442004153, 0.2078459382820782], 'rte': [0.011863406831108602, 0.022060657609032842, 0.018083739748224997, 0.009724774497884696, 0.011327902103232925, 0.011100161119873277, 0.02181957963840135, 0.03405053638458231, 0.004788347186806612, 0.018474632804142067, 0.015664954622770903, 0.006741095081218662, 0.013106195157146157, 0.007374202503452162, 0.004941085191181577, 0.018717011310242483, 0.03217487355630838, 0.018619603152067926, 0.00909045696586507, 0.006610307393376172, 0.01223086149316065, 0.014551099914817263, 0.01851401744866596, 0.007275158732353415, 0.007737393958392165, 0.003306886640992629, 0.006836207424349177, 0.00847141273558562, 0.011175486502836304, 0.026839447925286794, 0.004769770752104951, 0.021244429367830955, 0.027846739084042636, 0.010292359299960013, 0.013373019256206388, 0.011785589820897729, 0.012678113454083144, 0.014904839872732882, 0.017600651442736186, 0.005056688171239052, 0.03480623826219668, 0.015049904595993358, 0.04319215847911012, 0.002732253627173993, 0.018013538193017063, 0.009962646768817153, 0.014449336033291925, 0.005551562466209814, 0.006572377863401153, 0.013319900564365154, 0.019419405544399124, 0.01567139060714116, 0.00860854222935107, 0.022916233291726762, 0.028934576064635762, 0.010354672608886631, 0.0197066248428544, 0.0437820075206042, 0.02304674089740278, 0.021453292571863857, 0.008694352538731026, 0.030797530418656405, 0.01167398917357374, 0.02292591532392305, 0.018039203691547562, 0.014553740359589892, 0.01060445545724501, 0.016109467247102823, 0.027146118635082508, 0.016255180609476092, 0.008044778870999763, 0.010847588251354177, 0.010704237043718498, 0.013683024842696736, 0.010516537694427357, 0.014557325861773867, 0.015945788178326113, 0.0017656354358612431, 0.014066726377322727, 0.0149454397319306, 0.007994121516716924, 0.013292647797157678, 0.005185830176164005, 0.028052803808579333, 0.007816564627663475, 0.015739003352232973, 0.017367142505492594]}",/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s43_mpinhole_c0.0_p95700_random_farthestpose_useba_maxba50_sharedcam/eval_results.json,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s43_mpinhole_c0.0_p95700_random_farthestpose_useba_maxba50_sharedcam/eval_results.json,lego_1_n87_s43_mpinhole_c0.0_p95700_random_farthestpose_useba_maxba50_sharedcam,lego_1_n87_s43_mpinhole_c0.0_p95700_random_farthestpose_useba_maxba50_sharedcam,,vggt | random | Use BA | 50.0 | Shared Cam | pinhole,87.0
vggt,25,42,0.0,27500,random,farthestpose,,,,,,,,,,,0.0,,vggt,radial,,,,,MCMC,,,,,Shared Cam,,,Use BA,50,sfm,0.7175,0.037449,25,"{'rre': [0.9991706338845938, 0.4786535176861472, 0.7845096894314327, 0.8740278796463877, 0.6002036502226673, 0.4380463659342889, 0.3998934408015336, 0.4353639765231081, 0.9536360362852181, 0.7104547245536778, 0.382437568600058, 0.428107151021873, 1.4413394996435145, 0.4314038720662019, 0.5086639615662464, 0.9075780034293529, 0.5468591292988487, 0.6960685853643769, 1.60807511650149, 0.7736119662675407, 0.5019288078484716, 0.6296350552513714, 0.9648929031534451, 0.7551509003820868, 0.6887208481287967], 'rte': [0.029459897560434347, 0.023132260136619523, 0.05108199242727931, 0.056226574126575994, 0.032444496366046384, 0.010296305299655376, 0.01944211998785955, 0.034930256380509436, 0.03475474871689836, 0.05225473207527726, 0.01734693897282384, 0.026878845372678154, 0.064746915663948, 0.0198232306249408, 0.03236089080123373, 0.06990313458856774, 0.02114759453863548, 0.025163787867609966, 0.07636943210583551, 0.03495892624144278, 0.020615690889066934, 0.06230083186480752, 0.04054620022936764, 0.04841753681540184, 0.03162381305682656]}",/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n25_s42_mradial_c0.0_p27500_random_farthestpose_useba_maxba50_sharedcam/eval_results.json,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n25_s42_mradial_c0.0_p27500_random_farthestpose_useba_maxba50_sharedcam/eval_results.json,lego_1_n25_s42_mradial_c0.0_p27500_random_farthestpose_useba_maxba50_sharedcam,lego_1_n25_s42_mradial_c0.0_p27500_random_farthestpose_useba_maxba50_sharedcam,,vggt | random | Use BA | 50.0 | Shared Cam | radial,25.0
