choice,num_points,psnr,lpips,ssim
COLMAP,80962,21.817991256713867,0.21005652844905853,0.6816845536231995
VGGT,1000,17.852130889892578,0.5483142733573914,0.6085590720176697
VGGT,5000,17.742000579833984,0.4857986271381378,0.5943694710731506
VGGT,10000,17.67850685119629,0.47237133979797363,0.5889174342155457
VGGT,20000,17.632787704467773,0.46031931042671204,0.584369957447052
VGGT,30000,17.605466842651367,0.4515428841114044,0.5810579657554626
VGGT,50000,17.579814910888672,0.44705164432525635,0.5787550210952759
VGGT,75000,17.56283187866211,0.441468209028244,0.576424777507782
VGGT,100000,17.540729522705078,0.4390751123428345,0.5749732255935669
VGGT,250000,17.479915618896484,0.43137800693511963,0.5693787336349487
VGGT,500000,17.446266174316406,0.4288439452648163,0.5649056434631348
VGGT,1000000,17.5111083984375,0.42439278960227966,0.5648491382598877
