choice,dataset,series_label_override,eval_rre,eval_rte,psnr,ssim,lpips,quality
COLMAP,bicycle,1. All Improvements,0.09418348968029022,0.002234593965113163,21.676225662231445,0.5227875113487244,0.26336294412612915,0.4509983071264623
COLMAP,garden,1. All Improvements,0.03775776922702789,0.0005340470233932137,22.779659271240234,0.5663577318191528,0.24582946300506592,0.5077350604371484
COLMAP,stump,1. All Improvements,0.02545592375099659,0.0009968460071831942,26.29784393310547,0.7607803344726562,0.2662885785102844,0.6739549730566121
COLMAP,bicycle,2. No Confidence Sampling,0.09344016760587692,0.0022487379610538483,21.416391372680664,0.5059953331947327,0.24291321635246277,0.44898986254829026
COLMAP,garden,2. No Confidence Sampling,0.036815792322158813,0.000531641417182982,23.11141586303711,0.5967013239860535,0.2367946356534958,0.5372005456875794
COLMAP,stump,2. No Confidence Sampling,0.03346673399209976,0.0010939529165625572,25.953765869140625,0.7469969391822815,0.2647332549095154,0.6604827682719439
COLMAP,bicycle,3. No Depth Conf,0.09713257104158401,0.002230680314823985,22.006175994873047,0.5536996126174927,0.2589428126811981,0.4779142268762099
COLMAP,garden,3. No Depth Conf,0.047134555876255035,0.000564113724976778,22.26044273376465,0.5259839296340942,0.2456168383359909,0.47464077853397396
COLMAP,stump,3. No Depth Conf,0.021731818094849586,0.0008525476441718638,26.40850257873535,0.7640690207481384,0.2632101774215698,0.6798276631688049
COLMAP,bicycle,4. No Depth Loss,0.10160551220178604,0.002320894505828619,22.175365447998047,0.563628077507019,0.25710925459861755,0.4879853106923813
COLMAP,garden,4. No Depth Loss,0.05069055035710335,0.0005741074564866722,22.130218505859375,0.5141083002090454,0.24657723307609558,0.4646915699693582
COLMAP,stump,4. No Depth Loss,0.027318807318806648,0.0009099423186853528,26.019248962402344,0.7447446584701538,0.26524263620376587,0.6600638620260089
COLMAP,bicycle,5. No Combined Points,0.1046571359038353,0.002475694054737687,21.48906135559082,0.5011822581291199,0.310668408870697,0.40569674627900204
COLMAP,garden,5. No Combined Points,0.041322652250528336,0.0005312825087457895,21.84088897705078,0.518764317035675,0.32627755403518677,0.4128587036027468
COLMAP,stump,5. No Combined Points,0.22061461210250854,0.004803974647074938,22.281448364257812,0.5399926900863647,0.33879387378692627,0.4257053407157219
VGGT,bicycle,6. No COLMAP Cameras,0.521626889705658,0.011059600859880447,17.286043167114258,0.2703663408756256,0.3771604001522064,0.15183856849007363
COLMAP,bicycle,7. No Pose Opt,0.09855562448501587,0.0017129764892160892,21.208927154541016,0.47633811831474304,0.2863566279411316,0.40098761133438116
COLMAP,garden,7. No Pose Opt,0.06278770416975021,0.0006200820789672434,21.498817443847656,0.46275490522384644,0.25888729095458984,0.41536893141277426
COLMAP,stump,7. No Pose Opt,0.02191883511841297,0.0005273927235975862,26.054996490478516,0.7477224469184875,0.2747020721435547,0.6566280920525662
