method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss,error_opa,depth_lambda,depth_conf,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,quality,real_num_points,file_path,rre,rte,plot_series
colmap,100,42,,80705,,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,18.469179153442383,0.32536494731903076,0.5786079168319702,1000000,0.01467599906027317,0.5629000067710876,0.38597922746510843,80705,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,0.5629,0.063833,colmap |  |  |  |  | 100
colmap,100,42,,80705,,farthestpose,100,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,19.147842407226562,0.28176411986351013,0.5982948541641235,1000000,0.01164100132882595,0.37949997186660767,0.4369739853692876,80705,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_i100_gteval_poseopt_steps15000/stats/val_step14999.json,0.5629,0.063833,colmap |  | Pose Opt |  |  | 100
colmap,100,43,,80830,,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,18.83687400817871,0.3060200810432434,0.5905328989028931,1000000,0.012391000054776669,0.4864000976085663,0.41170334064627406,80830,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s43_default_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,0.4864,0.053874,colmap |  |  |  |  | 100
colmap,100,43,,80830,,farthestpose,100,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,19.410736083984375,0.2674916982650757,0.6074023246765137,1000000,0.009194999933242798,0.3211999833583832,0.45597852972748215,80830,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s43_default_farthestpose_i100_gteval_poseopt_steps15000/stats/val_step14999.json,0.4864,0.053874,colmap |  | Pose Opt |  |  | 100
colmap,100,44,,79141,,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,18.633634567260742,0.31010448932647705,0.5858246088027954,1000000,0.012052997946739197,0.4887000024318695,0.402665021591484,79141,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s44_default_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,0.4887,0.052377,colmap |  |  |  |  | 100
colmap,100,44,,79141,,farthestpose,100,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,19.190818786621094,0.27816179394721985,0.6011653542518616,1000000,0.009984001517295837,0.3490000069141388,0.4416721572420518,79141,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s44_default_farthestpose_i100_gteval_poseopt_steps15000/stats/val_step14999.json,0.4887,0.052377,colmap |  | Pose Opt |  |  | 100
vggt,100,42,0.0,110000,voxels,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,15000,15000,,MCMC,gsplat,17.5345401763916,0.4374907314777374,0.5742523074150085,1000000,,,0.2969105112389979,110277,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p110000_voxels_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,0.7897,0.107121,vggt |  |  |  | voxels | 100
vggt,100,42,0.0,110000,voxels,farthestpose,100,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,15000,15000,,MCMC,gsplat,17.387935638427734,0.40260279178619385,0.5599585771560669,1000000,0.022468000650405884,0.7810999155044556,0.3073724710453324,110277,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p110000_voxels_farthestpose_i100_gteval_poseopt_steps15000/stats/val_step14999.json,0.7897,0.107121,vggt |  | Pose Opt |  | voxels | 100
vggt,100,42,,31171,ba,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,pinhole,,15000,15000,,MCMC,gsplat,18.97408103942871,0.35447147488594055,0.6023039817810059,1000000,0.008283999748528004,0.6281999945640564,0.3912196179889409,31171,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_mpinhole_ba_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,0.6282,0.034836,vggt | pinhole |  |  | ba | 100
vggt,100,42,,31171,ba,farthestpose,100,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,vggt,pinhole,,15000,15000,,MCMC,gsplat,19.569751739501953,0.3095305860042572,0.6179758906364441,1000000,0.0055599999614059925,0.38350003957748413,0.4391567052921124,31171,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_mpinhole_ba_farthestpose_i100_gteval_poseopt_steps15000/stats/val_step14999.json,0.6282,0.034836,vggt | pinhole | Pose Opt |  | ba | 100
