choice,dataset_collection,series_label_override,eval_rre,eval_rte,psnr,ssim,lpips,quality
VGGT,indoor,2. No voxels Sampling,,,,,,
VGGT,indoor,4. No Depth Loss,0.3771752367417018,0.009963502020885548,20.295238494873047,0.6123611728350321,0.24874008695284525,0.4868331839182636
