choice,dataset,pose_opt,eval_rre,eval_rte,psnr,lpips,ssim,quality
COLMAP,bonsai,,0.1581190675497055,0.003077009692788124,22.422779083251953,0.20355287194252014,0.6968405842781067,0.6035285908886177
COLMAP,bonsai,Pose Opt,0.09680686891078949,0.0010529047576710582,24.653011322021484,0.17453931272029877,0.7761514782905579,0.7091194321343928
VGGT,bonsai,,0.7215033769607544,0.024335382506251335,17.731338500976562,0.4183982312679291,0.5749688744544983,0.31275946366624285
VGGT,bonsai,Pose Opt,0.7885617017745972,0.021631203591823578,17.422657012939453,0.3988327085971832,0.5597713589668274,0.3102331869860916
COLMAP,kitchen,,0.10734093934297562,0.0010659509571269155,21.259883880615234,0.14850512146949768,0.47112002968788147,0.4839732631063059
COLMAP,kitchen,Pose Opt,0.09359873086214066,0.0009081275202333927,21.59664535522461,0.14201965928077698,0.49743717908859253,0.5096031042799847
VGGT,kitchen,,0.3392021059989929,0.006767608691006899,19.821290969848633,0.23921124637126923,0.462830513715744,0.39649354836397005
VGGT,kitchen,Pose Opt,0.235776886343956,0.005308283492922783,20.017711639404297,0.17643724381923676,0.4138493239879608,0.41023638186089173
COLMAP,counter,,0.029024872928857803,0.00048380106454715133,25.220706939697266,0.18889504671096802,0.8517950773239136,0.7550067725779562
COLMAP,counter,Pose Opt,0.025510873645544052,0.0002561314613558352,25.227703094482422,0.18847616016864777,0.8500107526779175,0.7543514382343466
VGGT,counter,,0.3432445526123047,0.007584553211927414,20.160112380981445,0.3072532117366791,0.6301777958869934,0.45863071345446405
VGGT,counter,Pose Opt,0.25385963916778564,0.006176562514156103,20.807443618774414,0.23748624324798584,0.6405438780784607,0.5197463952697198
