choice,num_points,pose_opt,eval_rre,eval_rte,psnr,lpips,ssim,quality
COLMAP,16687,,0.10689998418092728,0.0021039999555796385,21.16598129272461,0.37304171919822693,0.47317782044410706,0.3448348745965122
COLMAP,16687,Pose Opt,0.09790000319480896,0.0024700001813471317,22.471338272094727,0.35102325677871704,0.5768165588378906,0.44320724481417806
VGGT,1000,,0.8570309281349182,0.01542569138109684,17.834653854370117,0.7039564251899719,0.3253675103187561,-0.007563489144928178
VGGT,1000,Pose Opt,0.9092221260070801,0.01603839360177517,17.101892471313477,0.6856713891029358,0.30739840865135193,-0.02035433166285768
VGGT,5000,,0.8570311665534973,0.01542569138109684,17.502033233642578,0.5930808782577515,0.30302199721336365,0.04165101384403961
VGGT,5000,Pose Opt,0.7609043717384338,0.014649296179413795,17.168867111206055,0.5417647957801819,0.29317596554756165,0.06139995170305734
VGGT,10000,,0.8570309281349182,0.01542569138109684,17.401453018188477,0.5527620315551758,0.2937142252922058,0.05923345276409349
VGGT,10000,Pose Opt,0.762113630771637,0.014346009120345116,17.08277702331543,0.4924784004688263,0.2828123867511749,0.0841688192301249
VGGT,20000,,0.8570309281349182,0.01542569138109684,17.333959579467773,0.5287519097328186,0.2863745093345642,0.06851240556839618
VGGT,20000,Pose Opt,0.6910155415534973,0.013903966173529625,17.160194396972656,0.4459531307220459,0.2763400077819824,0.1105367596696305
VGGT,30000,,0.8570310473442078,0.01542569138109684,17.347524642944336,0.5148608684539795,0.2832069396972656,0.07548594738152832
VGGT,30000,Pose Opt,0.7123549580574036,0.014511522836983204,17.283151626586914,0.4255976676940918,0.2734143137931824,0.12366791388057441
VGGT,50000,,0.8570308089256287,0.01542569138109684,17.288209915161133,0.5013635754585266,0.27777889370918274,0.07954489294006269
VGGT,50000,Pose Opt,0.711899995803833,0.0143940020352602,17.275434494018555,0.40193769335746765,0.2674585282802582,0.13464701094357828
VGGT,75000,,0.8570309281349182,0.01542569138109684,17.287153244018555,0.4893864393234253,0.27325478196144104,0.08427293948185302
VGGT,75000,Pose Opt,0.7057489156723022,0.014110367745161057,17.42750358581543,0.38063016533851624,0.26672255992889404,0.15018550946078882
VGGT,100000,,0.8570308685302734,0.01542569138109684,17.263822555541992,0.4823884963989258,0.2708178758621216,0.08673551626372762
VGGT,100000,Pose Opt,0.6969000101089478,0.013847999274730682,17.42588996887207,0.37907183170318604,0.2674195170402527,0.15152513926644232
VGGT,250000,,0.8570305705070496,0.01542569138109684,17.28557014465332,0.4761433005332947,0.2636738717556,0.08681552839248192
VGGT,250000,Pose Opt,0.7408788800239563,0.014670750126242638,17.307416915893555,0.3809889853000641,0.2631169557571411,0.14563164798527123
VGGT,500000,,0.8570297360420227,0.01542569138109684,17.188589096069336,0.4598838984966278,0.251693993806839,0.08805047439397973
VGGT,500000,Pose Opt,0.735368013381958,0.01444052904844284,17.186613082885742,0.3804236054420471,0.2565000057220459,0.13987397845493194
VGGT,1000000,,0.8570301532745361,0.01542569138109684,17.228607177734375,0.46617040038108826,0.24487170577049255,0.0809213511350482
VGGT,1000000,Pose Opt,0.7895715832710266,0.01477734837681055,17.191843032836914,0.4056350588798523,0.2510959208011627,0.1212479202215977
