choice,depth_loss_mode,rre,rte,psnr,lpips,ssim,quality
COLMAP,,0.0986,0.006893,22.163246154785156,0.3494715690612793,0.5586552619934082,0.42783902572919363
COLMAP,points,0.0986,0.006893,21.745277404785156,0.39463111758232117,0.5059899687767029,0.3614241820872024
VGGT,,0.7504,0.066677,17.306474685668945,0.34898674488067627,0.26248276233673096,0.16499779532682285
VGGT,closer,0.7504,0.066677,17.437681198120117,0.33913734555244446,0.2637886106967926,0.1742710756976702
VGGT,full,0.7504,0.066677,17.79945945739746,0.360929936170578,0.27900001406669617,0.1764140141870079
VGGT,points,0.7504,0.066677,17.21845817565918,0.3925476670265198,0.2633911371231079,0.13700961516692006
