choice,random_init,pose_opt,use_ba,eval_rre,eval_rte,num_aligned,real_num_points,quality
COLMAP,Random Init,,,0.09855562448501587,0.0017129764892160892,100,58676,0.2521194224236769
COLMAP,Random Init,Pose Opt,,0.3019743710756302,0.005120884045027196,100,58676,0.1496874293272491
VGGT,Random Init,,Use BA,0.5899049639701843,0.008761337026953697,100,58676,0.06125841751123429
VGGT,Random Init,,,0.7160574793815613,0.015081527642905712,100,58676,0.05553769321701918
VGGT,Random Init,Pose Opt,Use BA,0.6348446607589722,0.007890985580161214,100,58676,0.05872108252347487
VGGT,Random Init,Pose Opt,,0.6093773245811462,0.014283740427345037,100,58676,0.07865854987391721
