choice,num_images,splatting_strategy,rre,rte,psnr,lpips,ssim,num_GS
VGGT,10,Default,2.5925,0.160213,13.553918838500977,0.365011602640152,0.5813810229301453,121735
VGGT,10,MCMC,2.5925,0.160213,13.674389839172363,0.36793971061706543,0.5915088057518005,891510
VGGT,20,Default,2.2981,0.141203,13.72604751586914,0.33956366777420044,0.6069062352180481,185724
VGGT,20,MCMC,2.2981,0.141203,14.236756324768066,0.4083977937698364,0.611379861831665,17007
VGGT,30,Default,2.2345,0.136023,13.973112106323242,0.32697898149490356,0.6150086522102356,227405
VGGT,30,MCMC,2.2345,0.136023,14.072977066040039,0.3293474018573761,0.6147036552429199,1000000
VGGT,40,Default,1.3219,0.069077,14.592546463012695,0.28288501501083374,0.6454333066940308,262470
VGGT,40,MCMC,1.3219,0.069077,14.657609939575195,0.28274306654930115,0.6450451612472534,1000000
VGGT,50,Default,0.8706,0.041593,15.364409446716309,0.23673927783966064,0.6726488471031189,303621
VGGT,50,MCMC,0.8706,0.041593,15.393423080444336,0.23472467064857483,0.6723758578300476,1000000
VGGT,60,Default,0.6267,0.028956,16.595645904541016,0.18516376614570618,0.7057300209999084,333779
VGGT,60,MCMC,0.6267,0.028956,16.664579391479492,0.1840599924325943,0.7050898671150208,1000000
VGGT,70,Default,0.4264,0.02124,18.6350154876709,0.12610411643981934,0.7448443174362183,361618
VGGT,70,MCMC,0.4264,0.02124,18.67510986328125,0.12533718347549438,0.7443328499794006,1000000
VGGT,80,Default,0.3472,0.018759,19.958341598510742,0.10546831041574478,0.7601289749145508,380296
VGGT,80,MCMC,0.3472,0.018759,19.997949600219727,0.1060357317328453,0.7595329284667969,1000000
VGGT,87,Default,0.3306,0.018825,20.36019515991211,0.10167776793241501,0.7672697305679321,379733
VGGT,87,MCMC,0.3306,0.018825,20.393997192382812,0.10216377675533295,0.7668149471282959,1000000
