choice,dataset,depth_lambda,eval_rre,eval_rte,psnr,lpips,ssim,quality
VGGT,bicycle,0.0,0.4889967441558838,0.013628819026052952,17.384122848510742,0.337806761264801,0.26788055896759033,0.17649355493945842
VGGT,bicycle,0.01,0.48809483647346497,0.013578508980572224,17.43681526184082,0.33524858951568604,0.2689332962036133,0.17966409454568782
VGGT,bicycle,0.1,0.48309627175331116,0.013208584859967232,17.522985458374023,0.32962119579315186,0.26960763335227966,0.1851278879644036
VGGT,bicycle,1.0,0.5013469457626343,0.012787328101694584,17.493009567260742,0.3290032148361206,0.26678016781806946,0.18330075997977852
VGGT,bicycle,10.0,0.6163898706436157,0.013402563519775867,17.85997772216797,0.3459986448287964,0.269970566034317,0.18147119033483816
VGGT,bonsai,0.0,0.7885617017745972,0.021631203591823578,17.422657012939453,0.3988327085971832,0.5597713589668274,0.3102331869860916
VGGT,bonsai,0.01,0.786948561668396,0.02164759486913681,17.4187068939209,0.3986453711986542,0.5587000846862793,0.3096492008159035
VGGT,bonsai,0.1,0.761688768863678,0.021316953003406525,17.360031127929688,0.4004054367542267,0.5513972043991089,0.3032054621109023
VGGT,bonsai,1.0,0.7445241808891296,0.02092689275741577,17.642126083374023,0.38937845826148987,0.5626344680786133,0.32180771884242776
VGGT,bonsai,10.0,0.7479234933853149,0.02159780263900757,17.75724220275879,0.3920755982398987,0.5666838884353638,0.32464267968976546
VGGT,drums,0.0,0.11593722552061081,0.0031003891490399837,20.899389266967773,0.08484406024217606,0.8690087795257568,0.749277867739893
VGGT,drums,0.01,0.11487296223640442,0.003089034929871559,20.84661293029785,0.08521798998117447,0.8682293891906738,0.7476139235237034
VGGT,drums,0.1,0.11767970770597458,0.0030604752246290445,20.650653839111328,0.08639930188655853,0.8637073636054993,0.740611387178292
VGGT,drums,1.0,0.13352516293525696,0.0031083908397704363,20.01078987121582,0.09172286093235016,0.8504794239997864,0.7177402696840323
VGGT,drums,10.0,0.16975462436676025,0.003246971871703863,19.08634376525879,0.10383353382349014,0.8301266431808472,0.6812429623393906
