Choice,Num Images,Colmap Mode,RRE ↓,RTE ↓,PSNR ↑,LPIPS ↓,SSIM ↑,Final Gaussian Count ↓
COLMAP,10,default,14.2489,0.037351,8.872466087341309,0.8363047242164612,0.2726007103919983,127314.0
COLMAP,10,relaxed,6.8866,0.20486,11.554558753967285,0.7358831763267517,0.3639586567878723,1000000.0
COLMAP,20,default,1.218,0.030791,11.907597541809082,0.6418958902359009,0.3517458140850067,1000000.0
COLMAP,20,relaxed,59.388,3.272325,11.017362594604492,0.8353659510612488,0.35486945509910583,1000000.0
COLMAP,30,default,12.2005,0.72579,11.095721244812012,0.7624769806861877,0.3720586895942688,1000000.0
COLMAP,30,relaxed,22.8546,2.401994,11.01742172241211,0.8056495189666748,0.39686188101768494,1000000.0
COLMAP,40,default,4.181,0.493855,13.950407028198242,0.6090746521949768,0.4684901535511017,1000000.0
COLMAP,40,relaxed,95.2362,4.059286,10.285603523254395,0.8859884142875671,0.356554239988327,1000000.0
COLMAP,50,default,0.5257,0.081737,18.347726821899414,0.3547690808773041,0.5755265951156616,1000000.0
COLMAP,50,relaxed,0.9098,0.153019,17.164365768432617,0.4083399474620819,0.5488628149032593,1000000.0
COLMAP,60,default,0.4776,0.067621,18.323095321655273,0.34385454654693604,0.5799478888511658,1000000.0
COLMAP,60,relaxed,14.2131,1.261283,12.325819969177246,0.7188488245010376,0.38064977526664734,1000000.0
COLMAP,70,default,0.5947,0.077723,18.19729232788086,0.3510153591632843,0.5703105330467224,1000000.0
COLMAP,70,relaxed,0.5674,0.049535,18.195554733276367,0.3378424644470215,0.5745882391929626,1000000.0
COLMAP,80,default,0.6256,0.087851,18.076444625854492,0.3599914312362671,0.5719637870788574,1000000.0
COLMAP,80,relaxed,0.7177,0.082263,17.85088348388672,0.3604098856449127,0.5661534667015076,1000000.0
COLMAP,90,default,0.3825,0.050888,19.203901290893555,0.29532086849212646,0.6018803715705872,1000000.0
COLMAP,90,relaxed,0.7919,0.101393,17.523296356201172,0.3811630606651306,0.5565012693405151,1000000.0
COLMAP,100,default,0.5629,0.063833,18.469179153442383,0.32536494731903076,0.5786079168319702,1000000.0
COLMAP,100,relaxed,0.2771,0.018186,19.979856491088867,0.24026866257190704,0.6240013837814331,1000000.0
