method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,quality,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,sfm_file_path,input_folder,output_folder,initial_points,plot_series,num_images_jitter
vggt,10,42,,18852,ba,,,,0,10,farthestpose,10,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,pinhole,,15000,15000,,MCMC,,,,,Shared Cam,,,Use BA,50,gsplat,17.187088012695312,0.17573179304599762,0.7157692313194275,1000000,0.008794311434030533,0.8091500401496887,,0.5348142385676434,18852,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n10_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i10_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n10_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i10_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n10_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i10_gteval_poseopt_steps15000,0.8463,0.04546,10,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n10_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam/eval_results.json,lego_1_n10_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam,lego_1_n10_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i10_gteval_poseopt_steps15000_val_step14999.json,18852,vggt | Shared Cam | ba,10.0
vggt,20,42,,27827,ba,,,,0,10,farthestpose,20,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,pinhole,,15000,15000,,MCMC,,,,,Shared Cam,,,Use BA,50,gsplat,17.912586212158203,0.14811494946479797,0.7279594540596008,1000000,0.008473356254398823,0.6766523718833923,,0.5724256099471028,27827,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n20_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i20_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n20_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i20_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n20_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i20_gteval_poseopt_steps15000,0.7927,0.042993,20,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n20_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam/eval_results.json,lego_1_n20_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam,lego_1_n20_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i20_gteval_poseopt_steps15000_val_step14999.json,27827,vggt | Shared Cam | ba,20.0
vggt,30,42,,28632,ba,,,,0,10,farthestpose,30,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,pinhole,,15000,15000,,MCMC,,,,,Shared Cam,,,Use BA,50,gsplat,18.234237670898438,0.13347609341144562,0.7368419766426086,1000000,0.0071289814077317715,0.5563790202140808,,0.5926129069903052,28632,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n30_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i30_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n30_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i30_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n30_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i30_gteval_poseopt_steps15000,0.6962,0.035787,30,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n30_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam/eval_results.json,lego_1_n30_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam,lego_1_n30_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i30_gteval_poseopt_steps15000_val_step14999.json,28632,vggt | Shared Cam | ba,30.0
vggt,40,42,,32912,ba,,,,0,10,farthestpose,40,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,pinhole,,15000,15000,,MCMC,,,,,Shared Cam,,,Use BA,50,gsplat,18.945940017700195,0.10695312917232513,0.7525655031204224,1000000,0.004804854281246662,0.4599120616912842,,0.6313598249506996,32912,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n40_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i40_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n40_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i40_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n40_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i40_gteval_poseopt_steps15000,0.5901,0.02566,40,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n40_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam/eval_results.json,lego_1_n40_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam,lego_1_n40_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i40_gteval_poseopt_steps15000_val_step14999.json,32912,vggt | Shared Cam | ba,40.0
vggt,50,42,,33787,ba,,,,0,10,farthestpose,50,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,pinhole,,15000,15000,,MCMC,,,,,Shared Cam,,,Use BA,50,gsplat,20.104047775268555,0.08468300104141235,0.7748030424118042,1000000,0.0038262507878243923,0.3466147482395172,,0.6795576665214007,33787,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n50_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i50_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n50_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i50_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n50_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i50_gteval_poseopt_steps15000,0.4792,0.021011,50,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n50_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam/eval_results.json,lego_1_n50_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam,lego_1_n50_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i50_gteval_poseopt_steps15000_val_step14999.json,33787,vggt | Shared Cam | ba,50.0
vggt,60,42,,29571,ba,,,,0,10,farthestpose,60,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,pinhole,,15000,15000,,MCMC,,,,,Shared Cam,,,Use BA,50,gsplat,21.595956802368164,0.0644499808549881,0.8076460957527161,1000000,0.0029935305938124657,0.24543826282024384,,0.7388815940433389,29571,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n60_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i60_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n60_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i60_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n60_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i60_gteval_poseopt_steps15000,0.3709,0.016902,60,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n60_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam/eval_results.json,lego_1_n60_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam,lego_1_n60_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i60_gteval_poseopt_steps15000_val_step14999.json,29571,vggt | Shared Cam | ba,60.0
vggt,70,42,,30825,ba,,,,0,10,farthestpose,70,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,pinhole,,15000,15000,,MCMC,,,,,Shared Cam,,,Use BA,50,gsplat,24.264245986938477,0.050326377153396606,0.8640077114105225,1000000,0.0022211032919585705,0.16547897458076477,,0.8299726397670499,30825,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n70_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i70_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n70_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i70_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n70_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i70_gteval_poseopt_steps15000,0.2818,0.013674,70,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n70_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam/eval_results.json,lego_1_n70_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam,lego_1_n70_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i70_gteval_poseopt_steps15000_val_step14999.json,30825,vggt | Shared Cam | ba,70.0
vggt,80,42,,31883,ba,,,,0,10,farthestpose,80,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,pinhole,,15000,15000,,MCMC,,,,,Shared Cam,,,Use BA,50,gsplat,25.147602081298828,0.047954149544239044,0.885651707649231,1000000,0.0026547100860625505,0.17314568161964417,,0.8604527317311873,31883,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n80_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i80_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n80_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i80_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n80_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i80_gteval_poseopt_steps15000,0.2715,0.014484,80,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n80_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam/eval_results.json,lego_1_n80_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam,lego_1_n80_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i80_gteval_poseopt_steps15000_val_step14999.json,31883,vggt | Shared Cam | ba,80.0
vggt,87,42,,30396,ba,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,pinhole,,15000,15000,,MCMC,,,,,Shared Cam,,,Use BA,50,gsplat,23.536802291870117,0.053199123591184616,0.8556931018829346,1000000,0.0026788278482854366,0.18170534074306488,,0.809865815205532,30396,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i87_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i87_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n87_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i87_gteval_poseopt_steps15000,0.2686,0.015146,87,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam/eval_results.json,lego_1_n87_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam,lego_1_n87_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i87_gteval_poseopt_steps15000_val_step14999.json,30396,vggt | Shared Cam | ba,87.0
vggt,10,42,,18852,ba,,,,0,10,farthestpose,10,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,pinhole,,15000,15000,,MCMC,,,,,,,,Use BA,50,gsplat,17.29743194580078,0.17967811226844788,0.7129926085472107,1000000,0.015654701739549637,0.753042459487915,,0.532797889209088,18852,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n10_s42_mpinhole_ba_farthestpose_useba_maxba50_i10_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n10_s42_mpinhole_ba_farthestpose_useba_maxba50_i10_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n10_s42_mpinhole_ba_farthestpose_useba_maxba50_i10_gteval_poseopt_steps15000,0.855,0.079187,10,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n10_s42_mpinhole_ba_farthestpose_useba_maxba50/eval_results.json,lego_1_n10_s42_mpinhole_ba_farthestpose_useba_maxba50,lego_1_n10_s42_mpinhole_ba_farthestpose_useba_maxba50_i10_gteval_poseopt_steps15000_val_step14999.json,18852,vggt |  | ba,10.0
vggt,20,42,,27827,ba,,,,0,10,farthestpose,20,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,pinhole,,15000,15000,,MCMC,,,,,,,,Use BA,50,gsplat,18.127246856689453,0.14381380379199982,0.7298449873924255,1000000,0.015757951885461807,0.7076791524887085,,0.5801584863329646,27827,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n20_s42_mpinhole_ba_farthestpose_useba_maxba50_i20_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n20_s42_mpinhole_ba_farthestpose_useba_maxba50_i20_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n20_s42_mpinhole_ba_farthestpose_useba_maxba50_i20_gteval_poseopt_steps15000,0.814,0.073017,20,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n20_s42_mpinhole_ba_farthestpose_useba_maxba50/eval_results.json,lego_1_n20_s42_mpinhole_ba_farthestpose_useba_maxba50,lego_1_n20_s42_mpinhole_ba_farthestpose_useba_maxba50_i20_gteval_poseopt_steps15000_val_step14999.json,27827,vggt |  | ba,20.0
