method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss,error_opa,depth_lambda,depth_conf,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,quality,real_num_points,file_path,folder,rre,rte,plot_series,num_images_jitter
combined,30,42,0.0,30000,random,farthestpose,30,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Local Alignment,gsplat,12.505627632141113,0.7005643844604492,0.16835997998714447,1000000,1.143592119216919,52.68779754638672,-0.19597257682454508,30721,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n30_s42_combined_colmapcams_bothpcd_amlocal_default_c0.0_p30000_random_farthestpose_i30_gteval_steps15000/stats/val_step14999.json,bicycle_4_n30_s42_combined_colmapcams_bothpcd_amlocal_default_c0.0_p30000_random_farthestpose_i30_gteval_steps15000,52.6878,3.702043,combined | random | Local Alignment,30.0
combined,40,42,0.0,40000,ba,farthestpose,40,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,gsplat,13.25619125366211,0.7219575047492981,0.18538504838943481,1000000,1.1568889617919922,20.915000915527344,-0.18532269995579703,42130,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n40_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p40000_random_farthestpose_i40_gteval_steps15000/stats/val_step14999.json,bicycle_4_n40_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p40000_random_farthestpose_i40_gteval_steps15000,20.915,3.041782,combined | ba | Global Alignment,40.0
combined,40,42,0.0,40000,random,farthestpose,40,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Local Alignment,gsplat,12.731620788574219,0.7158682346343994,0.183102086186409,1000000,1.1568889617919922,20.915000915527344,-0.19261322473069914,42130,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n40_s42_combined_colmapcams_bothpcd_amlocal_default_c0.0_p40000_random_farthestpose_i40_gteval_steps15000/stats/val_step14999.json,bicycle_4_n40_s42_combined_colmapcams_bothpcd_amlocal_default_c0.0_p40000_random_farthestpose_i40_gteval_steps15000,20.915,3.041782,combined | random | Local Alignment,40.0
combined,50,42,0.0,50000,ba,farthestpose,50,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,gsplat,13.062373161315918,0.7163679599761963,0.17287631332874298,1000000,0.6495300531387329,31.913999557495117,-0.19277663735153608,53105,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n50_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p50000_random_farthestpose_i50_gteval_steps15000/stats/val_step14999.json,bicycle_4_n50_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p50000_random_farthestpose_i50_gteval_steps15000,31.914,2.731843,combined | ba | Global Alignment,50.0
combined,50,42,0.0,50000,random,farthestpose,50,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Local Alignment,gsplat,12.291804313659668,0.7251772880554199,0.16785907745361328,1000000,0.6495300531387329,31.913999557495117,-0.215418343733006,53105,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n50_s42_combined_colmapcams_bothpcd_amlocal_default_c0.0_p50000_random_farthestpose_i50_gteval_steps15000/stats/val_step14999.json,bicycle_4_n50_s42_combined_colmapcams_bothpcd_amlocal_default_c0.0_p50000_random_farthestpose_i50_gteval_steps15000,31.914,2.731843,combined | random | Local Alignment,50.0
combined,60,42,0.0,60000,ba,farthestpose,60,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,gsplat,13.6015625,0.682054877281189,0.19357886910438538,1000000,0.7315490245819092,12.727900505065918,-0.1495039765907619,64146,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n60_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p60000_random_farthestpose_i60_gteval_steps15000/stats/val_step14999.json,bicycle_4_n60_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p60000_random_farthestpose_i60_gteval_steps15000,12.7279,2.739323,combined | ba | Global Alignment,60.0
combined,60,42,0.0,60000,random,farthestpose,60,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Local Alignment,gsplat,12.258522987365723,0.6935759782791138,0.17419548332691193,1000000,0.7315490245819092,12.727900505065918,-0.19282218273620147,64146,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n60_s42_combined_colmapcams_bothpcd_amlocal_default_c0.0_p60000_random_farthestpose_i60_gteval_steps15000/stats/val_step14999.json,bicycle_4_n60_s42_combined_colmapcams_bothpcd_amlocal_default_c0.0_p60000_random_farthestpose_i60_gteval_steps15000,12.7279,2.739323,combined | random | Local Alignment,60.0
combined,70,42,0.0,70000,ba,farthestpose,70,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,gsplat,12.995728492736816,0.7280099987983704,0.17156915366649628,1000000,0.6792899966239929,32.010902404785156,-0.20196166245328512,75500,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n70_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p70000_random_farthestpose_i70_gteval_steps15000/stats/val_step14999.json,bicycle_4_n70_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p70000_random_farthestpose_i70_gteval_steps15000,32.0109,2.777191,combined | ba | Global Alignment,70.0
combined,70,42,0.0,70000,random,farthestpose,70,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Local Alignment,gsplat,12.715049743652344,0.7043629288673401,0.16131740808486938,1000000,0.6792899966239929,32.010902404785156,-0.19855763317316358,75500,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n70_s42_combined_colmapcams_bothpcd_amlocal_default_c0.0_p70000_random_farthestpose_i70_gteval_steps15000/stats/val_step14999.json,bicycle_4_n70_s42_combined_colmapcams_bothpcd_amlocal_default_c0.0_p70000_random_farthestpose_i70_gteval_steps15000,32.0109,2.777191,combined | random | Local Alignment,70.0
combined,80,42,0.0,80000,ba,farthestpose,80,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,gsplat,13.339539527893066,0.7285958528518677,0.19078201055526733,1000000,0.7417770624160767,37.029598236083984,-0.1847208409126583,87124,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n80_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p80000_random_farthestpose_i80_gteval_steps15000/stats/val_step14999.json,bicycle_4_n80_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p80000_random_farthestpose_i80_gteval_steps15000,37.0296,2.809106,combined | ba | Global Alignment,80.0
