Choice,Num Images,Shared Camera,Sampling Mode,RRE ↓ ↓,RTE ↓ ↓,PSNR ↑ ↑,LPIPS ↓ ↓,SSIM ↑ ↑,Final Gaussian Count ↓
VGGT,10,Shared Cam,ba,9.6574,1.198136,12.32677936553955,0.7130182385444641,0.1754908710718155,1000000.0
VGGT,20,Shared Cam,ba,2.8826,0.222034,14.908021926879883,0.6517199277877808,0.2440555840730667,1000000.0
VGGT,30,Shared Cam,ba,1.0516,0.103085,16.19878578186035,0.6034834980964661,0.2658936679363251,1000000.0
VGGT,40,Shared Cam,ba,0.9909,0.090014,16.5278263092041,0.5964565873146057,0.27164265513420105,1000000.0
VGGT,50,Shared Cam,ba,0.7608,0.067158,17.37152099609375,0.528590202331543,0.28439417481422424,1000000.0
VGGT,60,Shared Cam,ba,0.7191,0.0442,17.00432586669922,0.5206421613693237,0.2764052152633667,1000000.0
VGGT,70,Shared Cam,ba,0.766,0.047271,17.03152084350586,0.5128500461578369,0.27588918805122375,1000000.0
VGGT,80,Shared Cam,ba,0.7337,0.04337,17.119670867919922,0.506657063961029,0.2793735861778259,1000000.0
VGGT,90,Shared Cam,ba,0.7889,0.042851,17.22477912902832,0.5258505344390869,0.28556767106056213,1000000.0
VGGT,100,Shared Cam,ba,0.8139,0.045154,17.045337677001953,0.530227541923523,0.28161805868148804,1000000.0
