choice,dataset,pose_opt,eval_rre,eval_rte,psnr,lpips,ssim,quality
COLMAP,bicycle,,0.10689998418092728,0.0021039999555796385,21.200843811035156,0.2861133813858032,0.47839322686195374,0.4021898898464894
COLMAP,bicycle,Pose Opt,0.09669999778270721,0.0021609999239444733,22.644804000854492,0.2586725056171417,0.6012876033782959,0.5177367620068452
VGGT,bicycle,,0.8569999933242798,0.015425998717546463,17.05530548095703,0.43494269251823425,0.25015583634376526,0.1000785581704624
VGGT,bicycle,Pose Opt,0.664699912071228,0.013594000600278378,17.423418045043945,0.3187200725078583,0.25235515832901,0.17992396874424701
VGGT,bonsai,,0.7897000312805176,0.024634001776576042,17.424726486206055,0.421805739402771,0.5610955953598022,0.2968650345991307
VGGT,bonsai,Pose Opt,0.7719000577926636,0.021053999662399292,17.345327377319336,0.3859873116016388,0.5548771619796753,0.3138683106002287
VGGT,lego,,,,,,,
