method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,rre,rte,num_aligned,file_path,sfm_file_path,folder,input_folder,output_folder,plot_series
combined,100,42,,,,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,default,MCMC,vggtcams,colmappcd,Global Alignment,,Shared Cam,,,Use BA,0,sfm,0.7099,0.037375,100,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n100_s42_combined_vggtcams_colmappcd_amglobal_default_farthestpose_useba_maxba0_sharedcam/eval_results.json,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n100_s42_combined_vggtcams_colmappcd_amglobal_default_farthestpose_useba_maxba0_sharedcam/eval_results.json,bonsai_2_n100_s42_combined_vggtcams_colmappcd_amglobal_default_farthestpose_useba_maxba0_sharedcam,bonsai_2_n100_s42_combined_vggtcams_colmappcd_amglobal_default_farthestpose_useba_maxba0_sharedcam,,combined |  | colmappcd | Use BA
vggt,100,42,0.0,80962,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,radial,,,,,MCMC,,,,,Shared Cam,,,Use BA,50,sfm,0.7099,0.037375,100,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_mradial_c0.0_p80962_random_farthestpose_useba_maxba50_sharedcam/eval_results.json,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_mradial_c0.0_p80962_random_farthestpose_useba_maxba50_sharedcam/eval_results.json,bonsai_2_n100_s42_mradial_c0.0_p80962_random_farthestpose_useba_maxba50_sharedcam,bonsai_2_n100_s42_mradial_c0.0_p80962_random_farthestpose_useba_maxba50_sharedcam,,vggt |  |  | Use BA
vggt,100,42,0.0,110000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,radial,,,,,MCMC,,,,,Shared Cam,,,Use BA,50,sfm,0.7099,0.037375,100,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_mradial_c0.0_p110000_random_farthestpose_useba_maxba50_sharedcam/eval_results.json,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_mradial_c0.0_p110000_random_farthestpose_useba_maxba50_sharedcam/eval_results.json,bonsai_2_n100_s42_mradial_c0.0_p110000_random_farthestpose_useba_maxba50_sharedcam,bonsai_2_n100_s42_mradial_c0.0_p110000_random_farthestpose_useba_maxba50_sharedcam,,vggt |  |  | Use BA
