choice,near_filtering_strength,near_filtering_quorum,eval_rre,eval_rte,psnr,ssim,lpips,quality
VGGT,0.5,1,0.7821496725082397,0.015068750828504562,17.107744216918945,0.2682659924030304,0.4157336950302124,0.12349778626784638
VGGT,0.5,2,0.7837880849838257,0.014875092543661594,17.152299880981445,0.2667069137096405,0.4041098654270172,0.13058635269069613
VGGT,0.5,10,0.7409411072731018,0.014337782748043537,17.28662109375,0.2607404589653015,0.3507201373577118,0.16254125000053293
VGGT,0.9,1,0.7578892707824707,0.014494235627353191,17.236719131469727,0.27044448256492615,0.41086244583129883,0.1301671254162358
VGGT,0.9,2,0.753093957901001,0.01463414914906025,17.229543685913086,0.2700950503349304,0.40614044666290283,0.1327447147629647
VGGT,0.9,10,0.7520101070404053,0.014391989447176456,17.296100616455078,0.25958555936813354,0.34724679589271545,0.16418545477726465
VGGT,1.0,1,0.7719777822494507,0.01452266052365303,17.092676162719727,0.26556485891342163,0.41314491629600525,0.1232371495636041
VGGT,1.0,2,0.7601411938667297,0.01438406016677618,17.22476577758789,0.2666866183280945,0.404357373714447,0.13176366220130944
VGGT,1.0,10,0.7261803150177002,0.014105060137808323,17.35527229309082,0.2605929374694824,0.3460029661655426,0.16663813269548872
VGGT,,,0.7236999273300171,0.014096999540925026,17.306474685668945,0.26248276233673096,0.34898674488067627,0.16499779532682285
