method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,sfm_file_path,input_folder,output_folder,initial_points,plot_series,num_images_jitter
vggt,100,42,0.0,100000,random,,,,0,10,farthestpose,100,GT Eval,,,,,,,,,0.0,,vggt,bonsai,,,15000,15000,,MCMC,,,,,,,Random Init,,,,gsplat,17.580062866210938,0.456859290599823,0.5803703665733337,1000000,0.024335382506251335,0.7215033769607544,,,0.2893754356940742,0.37403517407291753,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_randinit100000_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_randinit100000_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_randinit100000_steps15000,0.7215,0.105749,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_random_farthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p100000_random_farthestpose,bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_randinit100000_steps15000_val_step14999.json,100000,vggt | Random Init |  | ,100.0
vggt,25,42,0.0,100000,random,,,,0,10,farthestpose,25,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,bonsai,radial,,15000,15000,,MCMC,,,,,Shared Cam,,Random Init,Use BA,aliked+sp,250,gsplat,14.594086647033691,0.6027173399925232,0.43941158056259155,1000000,0.008990207687020302,0.6549689769744873,,,0.06161170822215441,0.4620542657614899,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n25_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam_i25_gteval_poseopt_randinit100000_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n25_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam_i25_gteval_poseopt_randinit100000_steps15000/stats/val_step14999.json,bonsai_2_n25_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam_i25_gteval_poseopt_randinit100000_steps15000,0.7148,0.033265,25,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n25_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,bonsai_2_n25_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam,bonsai_2_n25_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam_i25_gteval_poseopt_randinit100000_steps15000_val_step14999.json,100000,vggt | Random Init | Pose Opt | Use BA,25.0
vggt,50,42,0.0,100000,random,,,,0,10,farthestpose,50,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,bonsai,radial,,15000,15000,,MCMC,,,,,Shared Cam,,Random Init,Use BA,aliked+sp,250,gsplat,18.991580963134766,0.33927011489868164,0.5875824689865112,1000000,0.006734215654432774,0.42616140842437744,,,0.3923181743882088,0.33136040711739817,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n50_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam_i50_gteval_poseopt_randinit100000_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n50_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam_i50_gteval_poseopt_randinit100000_steps15000/stats/val_step14999.json,bonsai_2_n50_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam_i50_gteval_poseopt_randinit100000_steps15000,0.6201,0.038814,50,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n50_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,bonsai_2_n50_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam,bonsai_2_n50_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam_i50_gteval_poseopt_randinit100000_steps15000_val_step14999.json,100000,vggt | Random Init | Pose Opt | Use BA,50.0
vggt,75,42,0.0,100000,random,,,,0,10,farthestpose,75,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,bonsai,radial,,15000,15000,,MCMC,,,,,Shared Cam,,Random Init,Use BA,aliked+sp,250,gsplat,19.138078689575195,0.3194216191768646,0.5939244627952576,1000000,0.007257708813995123,0.5341929197311401,,,0.4109920214103986,0.3229524912571951,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n75_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam_i75_gteval_poseopt_randinit100000_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n75_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam_i75_gteval_poseopt_randinit100000_steps15000/stats/val_step14999.json,bonsai_2_n75_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam_i75_gteval_poseopt_randinit100000_steps15000,0.7437,0.044449,75,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n75_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,bonsai_2_n75_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam,bonsai_2_n75_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam_i75_gteval_poseopt_randinit100000_steps15000_val_step14999.json,100000,vggt | Random Init | Pose Opt | Use BA,75.0
vggt,100,42,0.0,100000,random,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,bonsai,radial,,15000,15000,,MCMC,,,,,Shared Cam,,Random Init,Use BA,aliked+sp,250,gsplat,19.79239273071289,0.29960089921951294,0.6170207262039185,1000000,0.005962432827800512,0.40390488505363464,,,0.44885054720617723,0.3096479117075298,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_poseopt_randinit100000_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_poseopt_randinit100000_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_poseopt_randinit100000_steps15000,0.5792,0.034349,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam,bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_poseopt_randinit100000_steps15000_val_step14999.json,100000,vggt | Random Init | Pose Opt | Use BA,100.0
colmap,25,42,,100000,,,,,0,10,farthestpose,25,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,bonsai,,,15000,15000,default,MCMC,,,,,Shared Cam,,Random Init,,,,gsplat,13.114099502563477,0.6688485145568848,0.3829549252986908,1000000,0.010703012347221375,0.7081624269485474,,,-0.03963276168756306,0.5010632710162596,100000,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n25_s42_default_farthestpose_sharedcam_i25_gteval_poseopt_randinit100000_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n25_s42_default_farthestpose_sharedcam_i25_gteval_poseopt_randinit100000_steps15000/stats/val_step14999.json,bonsai_2_n25_s42_default_farthestpose_sharedcam_i25_gteval_poseopt_randinit100000_steps15000,0.5117,0.037079,13,,,,/home/ojab2/work/git/vggt/colmap_outputs/bonsai_2_n25_s42_default_farthestpose_sharedcam/eval_results.json,bonsai_2_n25_s42_default_farthestpose_sharedcam,bonsai_2_n25_s42_default_farthestpose_sharedcam_i25_gteval_poseopt_randinit100000_steps15000_val_step14999.json,100000,colmap | Random Init | Pose Opt | ,25.0
colmap,50,42,,100000,,,,,0,10,farthestpose,50,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,bonsai,,,15000,15000,default,MCMC,,,,,Shared Cam,,Random Init,,,,gsplat,20.26213836669922,0.3125084638595581,0.6388946771621704,1000000,0.004340458195656538,0.1732279360294342,,,0.46237369215744045,0.3076143732469768,100000,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n50_s42_default_farthestpose_sharedcam_i50_gteval_poseopt_randinit100000_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n50_s42_default_farthestpose_sharedcam_i50_gteval_poseopt_randinit100000_steps15000/stats/val_step14999.json,bonsai_2_n50_s42_default_farthestpose_sharedcam_i50_gteval_poseopt_randinit100000_steps15000,0.2274,0.036933,50,,,,/home/ojab2/work/git/vggt/colmap_outputs/bonsai_2_n50_s42_default_farthestpose_sharedcam/eval_results.json,bonsai_2_n50_s42_default_farthestpose_sharedcam,bonsai_2_n50_s42_default_farthestpose_sharedcam_i50_gteval_poseopt_randinit100000_steps15000_val_step14999.json,100000,colmap | Random Init | Pose Opt | ,50.0
colmap,75,42,,100000,,,,,0,10,farthestpose,75,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,bonsai,,,15000,15000,default,MCMC,,,,,Shared Cam,,Random Init,,,,gsplat,23.345914840698242,0.2402135282754898,0.7461287379264832,1000000,0.0022090300917625427,0.13259415328502655,,,0.6268171444002724,0.24956602673872058,100000,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n75_s42_default_farthestpose_sharedcam_i75_gteval_poseopt_randinit100000_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n75_s42_default_farthestpose_sharedcam_i75_gteval_poseopt_randinit100000_steps15000/stats/val_step14999.json,bonsai_2_n75_s42_default_farthestpose_sharedcam_i75_gteval_poseopt_randinit100000_steps15000,0.3864,0.019997,75,,,,/home/ojab2/work/git/vggt/colmap_outputs/bonsai_2_n75_s42_default_farthestpose_sharedcam/eval_results.json,bonsai_2_n75_s42_default_farthestpose_sharedcam,bonsai_2_n75_s42_default_farthestpose_sharedcam_i75_gteval_poseopt_randinit100000_steps15000_val_step14999.json,100000,colmap | Random Init | Pose Opt | ,75.0
colmap,100,42,,100000,,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,bonsai,,,15000,15000,default,MCMC,,,,,Shared Cam,,Random Init,,,,gsplat,24.234676361083984,0.20729558169841766,0.7597798705101013,1000000,0.0011918197851628065,0.10975684970617294,,,0.6715785296533384,0.23372993532918654,100000,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_randinit100000_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_randinit100000_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_randinit100000_steps15000,0.1581,0.013152,100,,,,/home/ojab2/work/git/vggt/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam/eval_results.json,bonsai_2_n100_s42_default_farthestpose_sharedcam,bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_randinit100000_steps15000_val_step14999.json,100000,colmap | Random Init | Pose Opt | ,100.0
vggt,25,42,0.0,100000,random,,,,0,10,farthestpose,25,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,bonsai,,,15000,15000,,MCMC,,,,,,,Random Init,,,,gsplat,14.807066917419434,0.589332103729248,0.45317167043685913,1000000,0.023379547521471977,0.887438952922821,,,0.08186511500769429,0.45395659822818574,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n25_s42_c0.0_p100000_random_farthestpose_i25_gteval_poseopt_randinit100000_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n25_s42_c0.0_p100000_random_farthestpose_i25_gteval_poseopt_randinit100000_steps15000/stats/val_step14999.json,bonsai_2_n25_s42_c0.0_p100000_random_farthestpose_i25_gteval_poseopt_randinit100000_steps15000,0.8913,0.109411,25,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n25_s42_c0.0_p100000_random_farthestpose/eval_results.json,bonsai_2_n25_s42_c0.0_p100000_random_farthestpose,bonsai_2_n25_s42_c0.0_p100000_random_farthestpose_i25_gteval_poseopt_randinit100000_steps15000_val_step14999.json,100000,vggt | Random Init | Pose Opt | ,25.0
vggt,50,42,0.0,100000,random,,,,0,10,farthestpose,50,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,bonsai,,,15000,15000,,MCMC,,,,,,,Random Init,,,,gsplat,16.71047019958496,0.46345213055610657,0.533528208732605,1000000,0.01973843201994896,0.7235584855079651,,,0.24180913873893087,0.38925589080068784,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n50_s42_c0.0_p100000_random_farthestpose_i50_gteval_poseopt_randinit100000_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n50_s42_c0.0_p100000_random_farthestpose_i50_gteval_poseopt_randinit100000_steps15000/stats/val_step14999.json,bonsai_2_n50_s42_c0.0_p100000_random_farthestpose_i50_gteval_poseopt_randinit100000_steps15000,0.8635,0.099994,50,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n50_s42_c0.0_p100000_random_farthestpose/eval_results.json,bonsai_2_n50_s42_c0.0_p100000_random_farthestpose,bonsai_2_n50_s42_c0.0_p100000_random_farthestpose_i50_gteval_poseopt_randinit100000_steps15000_val_step14999.json,100000,vggt | Random Init | Pose Opt | ,50.0
vggt,75,42,0.0,100000,random,,,,0,10,farthestpose,75,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,bonsai,,,15000,15000,,MCMC,,,,,,,Random Init,,,,gsplat,17.23672103881836,0.43491849303245544,0.5564917922019958,1000000,0.02274128422141075,0.7529216408729553,,,0.2825968773276717,0.37325892846900977,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n75_s42_c0.0_p100000_random_farthestpose_i75_gteval_poseopt_randinit100000_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n75_s42_c0.0_p100000_random_farthestpose_i75_gteval_poseopt_randinit100000_steps15000/stats/val_step14999.json,bonsai_2_n75_s42_c0.0_p100000_random_farthestpose_i75_gteval_poseopt_randinit100000_steps15000,0.8831,0.110619,75,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n75_s42_c0.0_p100000_random_farthestpose/eval_results.json,bonsai_2_n75_s42_c0.0_p100000_random_farthestpose,bonsai_2_n75_s42_c0.0_p100000_random_farthestpose_i75_gteval_poseopt_randinit100000_steps15000_val_step14999.json,100000,vggt | Random Init | Pose Opt | ,75.0
vggt,100,42,0.0,100000,random,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,bonsai,,,15000,15000,,MCMC,,,,,,,Random Init,,,,gsplat,17.437036514282227,0.41535186767578125,0.5654631853103638,1000000,0.021134180948138237,0.7075525522232056,,,0.3036310156883552,0.36419613900296766,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_randinit100000_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_randinit100000_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_randinit100000_steps15000,0.7215,0.105749,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_random_farthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p100000_random_farthestpose,bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_randinit100000_steps15000_val_step14999.json,100000,vggt | Random Init | Pose Opt | ,100.0
