choice,num_points,sampling_mode,splatting_strategy,psnr,lpips,ssim,quality
VGGT,1000,confidence,Default,21.120540618896484,0.48875918984413147,0.4726029336452484,0.27222665209054486
VGGT,1000,random,Default,21.74601936340332,0.4502449333667755,0.5081519484519958,0.32837272174486953
VGGT,1000,voxels,Default,21.873632431030273,0.42087289690971375,0.5253756046295166,0.3589391269569198
VGGT,10000,confidence,Default,21.538087844848633,0.387572318315506,0.5367096066474915,0.3799093223919413
VGGT,10000,random,Default,22.06715202331543,0.39755502343177795,0.5422084927558899,0.38676036639675215
VGGT,10000,voxels,Default,21.86624526977539,0.42785006761550903,0.5225531458854675,0.35284487150798294
VGGT,23318,ba,Default,22.238483428955078,0.38719484210014343,0.5492812395095825,0.4004644530790823
VGGT,100000,confidence,Default,22.10888671875,0.28270962834358215,0.596065878868103,0.4899209977513091
VGGT,100000,imagefps,Default,22.157312393188477,0.3291206359863281,0.579539954662323,0.4525047161890517
VGGT,100000,random,Default,22.58185577392578,0.258644163608551,0.6198505163192749,0.5274440538116365
VGGT,100000,voxels,Default,22.035497665405273,0.38217848539352417,0.5468776822090149,0.3983963848786978
VGGT,1000000,confidence,Default,21.83653450012207,0.23297926783561707,0.6006087064743042,0.5182318158781785
VGGT,1000000,random,Default,22.131845474243164,0.2053944319486618,0.6198300123214722,0.5519687438297767
VGGT,1000000,voxels,Default,22.432533264160156,0.2146448791027069,0.6229913830757141,0.5536756384984636
