choice,depth_conf_mode,rre,psnr,lpips,ssim,pred_depth_absrel,depth_abs_rel
COLMAP,,0.1736,25.08042335510254,0.05240289494395256,0.889411449432373,,0.06218649819493294
VGGT,,1.623,14.049042701721191,0.2739320695400238,0.6623374819755554,0.0289,0.09102586656808853
VGGT,sigmoid,1.623,14.046754837036133,0.2741158902645111,0.6623579263687134,0.0289,0.09110431373119354
VGGT,standard,1.623,14.10090160369873,0.27643582224845886,0.66261887550354,0.0289,0.08670706301927567
