choice,num_images,image_mode,rre,rte,num_aligned,quality
COLMAP,20,farthestpose,111.3582,0.022895,3,0.18216417074358415
COLMAP,30,farthestpose,85.9851,3.013466,18,0.11317483746749846
COLMAP,40,farthestpose,176.2496,3.722113,35,0.18889275520478388
VGGT,5,farthestpose,2.2217,0.113918,5,
VGGT,5,nearestpose,0.8987499999999999,0.008708,5,
VGGT,10,farthestpose,2.5925,0.160213,10,
VGGT,10,nearestpose,0.5088,0.006307,10,
VGGT,20,farthestpose,2.2981,0.141203,20,
VGGT,20,nearestpose,0.13265,0.0054585,20,
VGGT,30,farthestpose,2.2345,0.136023,30,
VGGT,30,nearestpose,0.12514999999999998,0.006907,30,
VGGT,40,farthestpose,1.3219,0.069077,40,
VGGT,40,nearestpose,0.1371,0.007804500000000001,40,
