method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss,error_opa,depth_lambda,depth_conf,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,real_num_points,file_path,rre,rte,plot_series,num_images_jitter
colmap,60,42,,4146,,farthestpose,60,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,6999,30000,default,MCMC,gsplat,17.0362548828125,0.7277652025222778,0.310467392206192,93921,,,4146,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n60_s42_default_farthestpose_i60_gteval_steps30000/stats/val_step6999.json,0.233,0.02279,colmap |  | 6999,60.0
colmap,60,42,,4146,,farthestpose,60,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,30000,default,MCMC,gsplat,16.19650650024414,0.5651834607124329,0.2727082669734955,1000000,,,4146,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n60_s42_default_farthestpose_i60_gteval_steps30000/stats/val_step14999.json,0.233,0.02279,colmap |  | 14999,60.0
colmap,60,42,,4146,,farthestpose,60,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,29999,30000,default,MCMC,gsplat,15.678672790527344,0.5082400441169739,0.23813548684120178,1000000,,,4146,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n60_s42_default_farthestpose_i60_gteval_steps30000/stats/val_step29999.json,0.233,0.02279,colmap |  | 29999,60.0
colmap,70,42,,5500,,farthestpose,70,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,6999,30000,default,MCMC,gsplat,18.17291259765625,0.6832441687583923,0.3681323826313019,124694,,,5500,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n70_s42_default_farthestpose_i70_gteval_steps30000/stats/val_step6999.json,0.1019,0.017934,colmap |  | 6999,70.0
colmap,70,42,,5500,,farthestpose,70,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,30000,default,MCMC,gsplat,17.722394943237305,0.5174846649169922,0.35631629824638367,1000000,,,5500,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n70_s42_default_farthestpose_i70_gteval_steps30000/stats/val_step14999.json,0.1019,0.017934,colmap |  | 14999,70.0
colmap,70,42,,5500,,farthestpose,70,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,29999,30000,default,MCMC,gsplat,17.527376174926758,0.4621124863624573,0.35130205750465393,1000000,,,5500,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n70_s42_default_farthestpose_i70_gteval_steps30000/stats/val_step29999.json,0.1019,0.017934,colmap |  | 29999,70.0
colmap,80,42,,7124,,farthestpose,80,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,6999,30000,default,MCMC,gsplat,17.589635848999023,0.6535374522209167,0.3296971023082733,161589,,,7124,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n80_s42_default_farthestpose_i80_gteval_steps30000/stats/val_step6999.json,0.2044,0.018299,colmap |  | 6999,80.0
colmap,80,42,,7124,,farthestpose,80,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,30000,default,MCMC,gsplat,17.149641036987305,0.48408156633377075,0.2989770174026489,1000000,,,7124,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n80_s42_default_farthestpose_i80_gteval_steps30000/stats/val_step14999.json,0.2044,0.018299,colmap |  | 14999,80.0
colmap,80,42,,7124,,farthestpose,80,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,29999,30000,default,MCMC,gsplat,16.949081420898438,0.42405998706817627,0.2778851389884949,1000000,,,7124,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n80_s42_default_farthestpose_i80_gteval_steps30000/stats/val_step29999.json,0.2044,0.018299,colmap |  | 29999,80.0
colmap,90,42,,13386,,farthestpose,90,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,6999,30000,default,MCMC,gsplat,20.38810157775879,0.5675394535064697,0.4224262833595276,303708,,,13386,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n90_s42_default_farthestpose_i90_gteval_steps30000/stats/val_step6999.json,0.133,0.018113,colmap |  | 6999,90.0
colmap,90,42,,13386,,farthestpose,90,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,30000,default,MCMC,gsplat,20.307613372802734,0.3976375460624695,0.4282987117767334,1000000,,,13386,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n90_s42_default_farthestpose_i90_gteval_steps30000/stats/val_step14999.json,0.133,0.018113,colmap |  | 14999,90.0
colmap,90,42,,13386,,farthestpose,90,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,29999,30000,default,MCMC,gsplat,20.14105987548828,0.30839625000953674,0.4218485653400421,1000000,,,13386,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n90_s42_default_farthestpose_i90_gteval_steps30000/stats/val_step29999.json,0.133,0.018113,colmap |  | 29999,90.0
colmap,100,42,,16627,,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,6999,30000,default,MCMC,gsplat,20.826608657836914,0.5455312132835388,0.4576277732849121,377304,0.004348000045865774,0.10489999502897263,16627,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_i100_gteval_steps30000/stats/val_step6999.json,0.1049,0.017545,colmap |  | 6999,100.0
colmap,100,42,,16627,,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,30000,default,MCMC,gsplat,21.103322982788086,0.3189964294433594,0.5019667744636536,1000000,0.004348000045865774,0.10489999502897263,16627,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_i100_gteval_steps30000/stats/val_step14999.json,0.1049,0.017545,colmap |  | 14999,100.0
colmap,100,42,,16627,,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,29999,30000,default,MCMC,gsplat,21.075180053710938,0.2813344895839691,0.4988190233707428,1000000,0.004348000045865774,0.10489999502897263,16627,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_i100_gteval_steps30000/stats/val_step29999.json,0.1049,0.017545,colmap |  | 29999,100.0
vggt,10,42,0.0,11000,voxels,farthestpose,10,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,6999,30000,,MCMC,gsplat,14.184672355651855,0.683916449546814,0.2135917991399765,236597,0.030797002837061882,1.569100022315979,10431,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n10_s42_c0.0_p11000_voxels_farthestpose_i10_gteval_steps30000/stats/val_step6999.json,1.569,0.141985,vggt | voxels | 6999,10.0
vggt,10,42,0.0,11000,voxels,farthestpose,10,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,14999,30000,,MCMC,gsplat,13.965576171875,0.590803861618042,0.17159809172153473,1000000,0.030797002837061882,1.569100022315979,10431,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n10_s42_c0.0_p11000_voxels_farthestpose_i10_gteval_steps30000/stats/val_step14999.json,1.569,0.141985,vggt | voxels | 14999,10.0
vggt,10,42,0.0,11000,voxels,farthestpose,10,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,29999,30000,,MCMC,gsplat,13.898900985717773,0.5807726979255676,0.1610243320465088,1000000,0.030797002837061882,1.569100022315979,10431,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n10_s42_c0.0_p11000_voxels_farthestpose_i10_gteval_steps30000/stats/val_step29999.json,1.569,0.141985,vggt | voxels | 29999,10.0
vggt,20,42,0.0,22000,voxels,farthestpose,20,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,6999,30000,,MCMC,gsplat,15.738850593566895,0.6312702298164368,0.25276005268096924,513551,0.025717996060848236,1.3446000814437866,22628,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n20_s42_c0.0_p22000_voxels_farthestpose_i20_gteval_steps30000/stats/val_step6999.json,1.3446,0.119326,vggt | voxels | 6999,20.0
