choice,dataset,depth_loss_mode,pose_opt,eval_rre,eval_rte,psnr,lpips,ssim
VGGT,bicycle,,,0.7160574197769165,0.015081527642905712,17.558757781982422,0.4272405803203583,0.26381954550743103
VGGT,bicycle,,Pose Opt,0.4889967441558838,0.013628819026052952,17.384122848510742,0.337806761264801,0.26788055896759033
VGGT,bicycle,closer,Pose Opt,0.5028144121170044,0.012776991352438927,17.499969482421875,0.3285771608352661,0.26620882749557495
VGGT,bicycle,full,,0.7160574197769165,0.015081527642905712,17.448566436767578,0.43276190757751465,0.2693643569946289
VGGT,bicycle,full,Pose Opt,0.4808228313922882,0.012593640014529228,18.11033821105957,0.35131216049194336,0.2933022975921631
VGGT,garden,,,0.3733385503292084,0.005971261765807867,18.581771850585938,0.4816316068172455,0.357485294342041
VGGT,garden,,Pose Opt,0.13491961359977722,0.004315244033932686,19.350812911987305,0.33780568838119507,0.3663502633571625
VGGT,garden,closer,Pose Opt,0.12258082628250122,0.004318511113524437,19.498172760009766,0.332120805978775,0.36031967401504517
VGGT,garden,full,Pose Opt,0.11342453211545944,0.004102110397070646,19.401695251464844,0.3461934030056,0.37129878997802734
VGGT,stump,,,0.8558043837547302,0.04037195071578026,18.643842697143555,0.5296376943588257,0.4123508930206299
VGGT,stump,,Pose Opt,0.7774907946586609,0.03541010245680809,18.294498443603516,0.4924980700016022,0.39796870946884155
VGGT,stump,closer,Pose Opt,0.7165148258209229,0.0372384674847126,18.34939193725586,0.4938613772392273,0.3984053134918213
VGGT,stump,full,Pose Opt,0.8011254668235779,0.04116043075919151,18.40581512451172,0.5147808194160461,0.40761035680770874
