choice,camera_src,pcd_src,sampling_mode,eval_rre,eval_rte,psnr,lpips,ssim,quality
COLMAP,COLMAP Cams,Both Pcds,confidence,10.389172554016113,0.11250514537096024,25.149423599243164,0.05014980956912041,0.9035831093788147,0.869617317692462
COLMAP,COLMAP Cams,Both Pcds,random,10.389239311218262,0.11250179260969162,25.261592864990234,0.04986940324306488,0.905335009098053,0.8728921194019219
COLMAP,COLMAP Cams,Both Pcds,voxels,10.389180183410645,0.11250968277454376,25.121536254882812,0.050351109355688095,0.9034000039100647,0.8688695470404904
COLMAP,COLMAP Cams,VGGT Pcd,confidence,10.394617080688477,0.11248759925365448,25.25286293029785,0.05039108917117119,0.904667317867279,0.8720179628859175
COLMAP,COLMAP Cams,VGGT Pcd,random,10.389333724975586,0.11246350407600403,25.1333065032959,0.05061832815408707,0.9027419090270996,0.8685377139193893
COLMAP,COLMAP Cams,VGGT Pcd,voxels,10.391925811767578,0.11247402429580688,25.320816040039062,0.05013762414455414,0.905252993106842,0.87377531384012
COLMAP,,,,10.380709648132324,0.11235309392213821,25.237646102905273,0.05288347229361534,0.9056525826454163,0.8707738399186097
VGGT,,,confidence,0.25111961364746094,0.006147838197648525,20.372922897338867,0.07540085166692734,0.7739322781562805,0.6897573384218513
VGGT,,,random,0.2510397136211395,0.00614055385813117,20.37809944152832,0.07559234648942947,0.7738922238349915,0.6897115700910277
VGGT,,,voxels,0.2516622543334961,0.006142660975456238,20.346023559570312,0.07587768882513046,0.7733228802680969,0.6886084855784063
