choice,num_points,pose_opt,eval_rre,eval_rte,psnr,lpips,ssim,quality
COLMAP,10092,,12.909686088562012,0.23985826969146729,10.16973876953125,0.5301704406738281,0.5224648714065552,0.07303055266887826
COLMAP,10092,Pose Opt,12.908929824829102,0.23845438659191132,11.221860885620117,0.4955378472805023,0.6425514221191406,0.1841184926776626
VGGT,870,,0.3302299380302429,0.005195914302021265,20.529579162597656,0.13060832023620605,0.7726826667785645,0.6578489291815109
VGGT,4350,,0.33023566007614136,0.005195914302021265,20.44330406188965,0.11348069459199905,0.7693260312080383,0.6648609057756273
VGGT,8700,,0.3302338719367981,0.005195914302021265,20.414777755737305,0.10969899594783783,0.7678912281990051,0.6658279566388381
VGGT,17400,,0.33023402094841003,0.005195914302021265,20.417938232421875,0.10619063675403595,0.7679940462112427,0.6681122653007199
VGGT,26100,,0.3302290737628937,0.005195914302021265,20.478391647338867,0.10447602719068527,0.7689579129219055,0.6708538386924766
VGGT,43500,,0.3302336037158966,0.005195914302021265,20.437387466430664,0.10419963300228119,0.7681089639663696,0.6697686543280308
VGGT,65250,,0.3302333354949951,0.005195914302021265,20.411842346191406,0.1035378947854042,0.7676185965538025,0.669417312357858
VGGT,87000,,0.33023273944854736,0.005195914302021265,20.34149932861328,0.10283281654119492,0.7657451629638672,0.6674543221694762
VGGT,217500,,0.3302305340766907,0.005195914302021265,20.3803768157959,0.10142013430595398,0.7659721374511719,0.6691790353252642
VGGT,435000,,0.3302304148674011,0.005195914302021265,20.44492530822754,0.1014232486486435,0.7676148414611816,0.6713331009638317
VGGT,435000,Pose Opt,0.25495216250419617,0.006145587656646967,20.720844268798828,0.069860078394413,0.7786355018615723,0.7023709804168221
VGGT,870000,,0.3302340507507324,0.005195914302021265,20.44133186340332,0.10861620306968689,0.7683588266372681,0.6672615394180204
