method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,quality,real_num_points,file_path,folder,rre,rte,num_aligned,plot_series,num_images_jitter
vggt,10,42,,4116,ba,farthestpose,10,GT Eval,,,,,,,,0.0,,vggt,radial,,15000,15000,,MCMC,,,,Shared Cam,,,Use BA,50,gsplat,12.08080005645752,0.7275726199150085,0.1825733184814453,1000000,0.30204299092292786,7.223199844360352,-0.21219961057629494,4116,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n10_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam_i10_gteval_steps15000/stats/val_step14999.json,bicycle_4_n10_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam_i10_gteval_steps15000,7.2232,1.3413,10,vggt | Shared Cam | ba,10.0
vggt,20,42,,16432,ba,farthestpose,20,GT Eval,,,,,,,,0.0,,vggt,radial,,15000,15000,,MCMC,,,,Shared Cam,,,Use BA,50,gsplat,15.297012329101562,0.6459625363349915,0.2520124614238739,1000000,0.03530900180339813,2.1171998977661133,-0.06165584331212526,16432,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n20_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,bicycle_4_n20_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam_i20_gteval_steps15000,2.1172,0.160081,20,vggt | Shared Cam | ba,20.0
vggt,50,42,,21493,ba,farthestpose,50,GT Eval,,,,,,,,0.0,,vggt,radial,,15000,15000,,MCMC,,,,Shared Cam,,,Use BA,50,gsplat,17.343660354614258,0.5400108098983765,0.2891562879085541,1000000,0.016405999660491943,0.8397999405860901,0.06336888227468965,21493,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n50_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam_i50_gteval_steps15000/stats/val_step14999.json,bicycle_4_n50_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam_i50_gteval_steps15000,0.8398,0.073226,50,vggt | Shared Cam | ba,50.0
vggt,100,42,,23318,ba,farthestpose,100,GT Eval,,,,,,,,0.0,,vggt,radial,,15000,15000,,MCMC,,,,Shared Cam,,,Use BA,50,gsplat,17.20886993408203,0.5460091233253479,0.28735634684562683,1000000,0.011111999861896038,0.791700005531311,0.0561175036538802,23318,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam_i100_gteval_steps15000,0.7917,0.048267,100,vggt | Shared Cam | ba,100.0
colmap,20,42,,44,,farthestpose,20,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,Shared Cam,,,,,gsplat,9.327774047851562,0.9867873787879944,0.011039652861654758,38969,,,-0.523502769271823,44,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n20_s42_default_farthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,bicycle_4_n20_s42_default_farthestpose_sharedcam_i20_gteval_steps15000,,,,colmap | Shared Cam | ,20.0
colmap,30,42,,729,,farthestpose,30,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,Shared Cam,,,,,gsplat,12.014815330505371,0.7400323152542114,0.19129426777362823,811220,0.006016999948769808,0.5918000340461731,-0.21601274956194427,729,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n30_s42_default_farthestpose_sharedcam_i30_gteval_steps15000/stats/val_step14999.json,bicycle_4_n30_s42_default_farthestpose_sharedcam_i30_gteval_steps15000,0.5918,0.009894,8,colmap | Shared Cam | ,30.0
colmap,40,42,,1994,,farthestpose,40,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,Shared Cam,,,,,gsplat,13.919034004211426,0.6599552631378174,0.229066863656044,1000000,0.005003000609576702,0.3116000294685364,-0.10922992434727821,1994,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n40_s42_default_farthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,bicycle_4_n40_s42_default_farthestpose_sharedcam_i40_gteval_steps15000,0.3116,0.017061,18,colmap | Shared Cam | ,40.0
colmap,50,42,,3071,,farthestpose,50,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,Shared Cam,,,,,gsplat,16.712671279907227,0.5908353328704834,0.30026674270629883,1000000,0.002750999992713332,0.189099982380867,0.026808079068268837,3071,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n50_s42_default_farthestpose_sharedcam_i50_gteval_steps15000/stats/val_step14999.json,bicycle_4_n50_s42_default_farthestpose_sharedcam_i50_gteval_steps15000,0.1891,0.008857,29,colmap | Shared Cam | ,50.0
colmap,60,42,,4084,,farthestpose,60,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,Shared Cam,,,,,gsplat,17.369449615478516,0.5414649248123169,0.3308431804180145,1000000,0.003118999535217881,0.1177000105381012,0.0873271590939895,4084,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n60_s42_default_farthestpose_sharedcam_i60_gteval_steps15000/stats/val_step14999.json,bicycle_4_n60_s42_default_farthestpose_sharedcam_i60_gteval_steps15000,0.1177,0.009469,35,colmap | Shared Cam | ,60.0
colmap,70,42,,5456,,farthestpose,70,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,Shared Cam,,,,,gsplat,18.045116424560547,0.5140060186386108,0.3602995276451111,1000000,0.00253800000064075,0.10379999130964279,0.1340153835437916,5456,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n70_s42_default_farthestpose_sharedcam_i70_gteval_steps15000/stats/val_step14999.json,bicycle_4_n70_s42_default_farthestpose_sharedcam_i70_gteval_steps15000,0.1038,0.008064,41,colmap | Shared Cam | ,70.0
colmap,80,42,,7165,,farthestpose,80,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,Shared Cam,,,,,gsplat,18.049240112304688,0.47952064871788025,0.3430018424987793,1000000,0.0016679998952895403,0.1453000009059906,0.14526340816608108,7165,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n80_s42_default_farthestpose_sharedcam_i80_gteval_steps15000/stats/val_step14999.json,bicycle_4_n80_s42_default_farthestpose_sharedcam_i80_gteval_steps15000,0.1453,0.00542,48,colmap | Shared Cam | ,80.0
