choice,depth_conf_mode,depth_loss_mode,eval_rre,eval_rte,psnr,lpips,ssim,quality
VGGT,,,0.11593722552061081,0.0031003891490399837,20.899389266967773,0.08484406024217606,0.8690087795257568,0.749277867739893
VGGT,,full,0.11155002564191818,0.0022400871384888887,20.72846031188965,0.0885021984577179,0.8661181926727295,0.742164005041897
VGGT,Scaled,full,0.10657531023025513,0.0023068964947015047,20.856056213378906,0.08520392328500748,0.8690569996833801,0.7482814650263703
VGGT,Scaled Shifted,full,0.10649320483207703,0.0023086650762706995,20.855445861816406,0.0851375162601471,0.8690105676651001,0.7482840009832474
VGGT,Sigmoid,full,0.11796214431524277,0.0021541996393352747,21.008930206298828,0.09010066092014313,0.8722764253616333,0.7499724924177065
VGGT,Sigmoid Shifted,full,0.11734580993652344,0.00216642115265131,21.046646118164062,0.09018594026565552,0.8729657530784607,0.7510214092825975
VGGT,Standard,full,0.16817696392536163,0.00245204521343112,20.292978286743164,0.1501101553440094,0.8579990863800049,0.6913219047026482
VGGT,Standard Shifted,full,0.16884221136569977,0.002431816654279828,20.373764038085938,0.1505640745162964,0.8584822416305542,0.6928202870451373
