choice,num_images,depth_loss_mode,rre,psnr,lpips,ssim,pred_depth_absrel,depth_abs_rel
COLMAP,20,,0.7238,16.31255531311035,0.39592504501342773,0.5637962222099304,,0.6308029890060425
COLMAP,20,points,0.7238,16.15461540222168,0.3940582573413849,0.583620011806488,,0.6359862685203552
COLMAP,30,,3.5187,17.004018783569336,0.3793157935142517,0.5664102435112,,0.4430043697357178
COLMAP,30,points,3.5187,16.310361862182617,0.39699703454971313,0.5786080956459045,,0.4406612813472748
COLMAP,40,,24.8649,15.161137580871582,0.5272480249404907,0.5152586102485657,,0.34530162811279297
COLMAP,40,points,24.8649,15.285975456237793,0.5241183638572693,0.5174171328544617,,0.5300437211990356
COLMAP,87,,4.2437,17.70461082458496,0.38621872663497925,0.617832601070404,,0.16192393004894257
COLMAP,87,points,4.2437,17.7628231048584,0.3872731328010559,0.620736837387085,,0.16206853091716766
VGGT,10,,0.2988,20.545509338378906,0.1690540611743927,0.6870751976966858,0.0276,3.116241931915283
VGGT,10,closer,0.2988,20.44062042236328,0.17665168642997742,0.6847609877586365,0.0276,3.1438632011413574
VGGT,10,full,0.2988,20.881622314453125,0.16269832849502563,0.6966986656188965,0.0276,3.125316619873047
VGGT,10,points,0.2988,20.64551544189453,0.17825445532798767,0.6864607930183411,0.0276,3.101168155670166
VGGT,20,,0.3444,21.457155227661133,0.1423007994890213,0.7098594307899475,0.0271,3.099161386489868
VGGT,20,closer,0.3444,21.3292293548584,0.15111197531223297,0.705955445766449,0.0271,3.1364850997924805
VGGT,20,full,0.3444,21.69590187072754,0.14416973292827606,0.7155141830444336,0.0271,3.106783866882324
VGGT,20,points,0.3444,21.608476638793945,0.14818499982357025,0.7100962996482849,0.0271,3.0875654220581055
VGGT,30,,0.2946,21.854351043701172,0.13900114595890045,0.7200667858123779,0.0275,3.0825438499450684
VGGT,30,closer,0.2946,21.721433639526367,0.14787395298480988,0.7165401577949524,0.0275,3.1213836669921875
VGGT,30,full,0.2946,21.98324966430664,0.1425212174654007,0.7225894927978516,0.0275,3.0883641242980957
VGGT,30,points,0.2946,21.978111267089844,0.14148719608783722,0.7196351289749146,0.0275,3.0709097385406494
VGGT,40,,0.2898,21.747407913208008,0.13819177448749542,0.7168426513671875,0.0279,3.092334270477295
VGGT,40,closer,0.2898,21.644702911376953,0.14641708135604858,0.7147464752197266,0.0279,3.1230673789978027
VGGT,40,full,0.2898,21.8557071685791,0.14326190948486328,0.7196733355522156,0.0279,3.0933446884155273
VGGT,40,points,0.2898,21.885053634643555,0.14008578658103943,0.7180295586585999,0.0279,3.0777857303619385
VGGT,87,,0.4666,22.321252822875977,0.13226261734962463,0.7337139844894409,0.0272,3.2172365188598633
VGGT,87,closer,0.4666,22.095230102539062,0.14143407344818115,0.729584276676178,0.0272,3.266716718673706
VGGT,87,full,0.4666,22.807411193847656,0.13615557551383972,0.746792733669281,0.0272,3.220181465148926
VGGT,87,points,0.4666,22.859277725219727,0.13044890761375427,0.7457626461982727,0.0272,3.2081117630004883
