method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,quality,real_num_points,file_path,folder,rre,rte,num_aligned,plot_series,num_images_jitter
colmap,50,43,,2784,,farthestpose,50,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,15.928733825683594,0.5932340025901794,0.2659359872341156,1000000,0.0028260000981390476,0.4104999303817749,-0.009266406704343014,2784,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n50_s43_default_farthestpose_sharedcam_i50_gteval_steps15000/stats/val_step14999.json,bicycle_4_n50_s43_default_farthestpose_sharedcam_i50_gteval_steps15000,0.4105,0.008885,28,colmap,50.0
colmap,50,44,,3026,,farthestpose,50,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,14.330405235290527,0.6672743558883667,0.2448001354932785,1000000,0.0551609992980957,2.582899808883667,-0.09692915331008285,3026,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n50_s44_default_farthestpose_sharedcam_i50_gteval_steps15000/stats/val_step14999.json,bicycle_4_n50_s44_default_farthestpose_sharedcam_i50_gteval_steps15000,2.5829,0.179734,28,colmap,50.0
colmap,60,42,,4084,,farthestpose,60,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,17.369449615478516,0.5414649248123169,0.3308431804180145,1000000,0.003118999535217881,0.1177000105381012,0.0873271590939895,4084,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n60_s42_default_farthestpose_sharedcam_i60_gteval_steps15000/stats/val_step14999.json,bicycle_4_n60_s42_default_farthestpose_sharedcam_i60_gteval_steps15000,0.1177,0.009469,35,colmap,60.0
colmap,60,43,,3846,,farthestpose,60,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,16.512819290161133,0.5877648591995239,0.2975162863731384,1000000,0.004385999869555235,0.149199977517128,0.023394016417069063,3846,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n60_s43_default_farthestpose_sharedcam_i60_gteval_steps15000/stats/val_step14999.json,bicycle_4_n60_s43_default_farthestpose_sharedcam_i60_gteval_steps15000,0.1492,0.013872,34,colmap,60.0
colmap,60,44,,4206,,farthestpose,60,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,17.354520797729492,0.5611738562583923,0.33294227719306946,1000000,0.003994000144302845,0.12789998948574066,0.07611223441428223,4206,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n60_s44_default_farthestpose_sharedcam_i60_gteval_steps15000/stats/val_step14999.json,bicycle_4_n60_s44_default_farthestpose_sharedcam_i60_gteval_steps15000,0.1279,0.012406,35,colmap,60.0
colmap,70,42,,5456,,farthestpose,70,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,18.045116424560547,0.5140060186386108,0.3602995276451111,1000000,0.00253800000064075,0.10379999130964279,0.1340153835437916,5456,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n70_s42_default_farthestpose_sharedcam_i70_gteval_steps15000/stats/val_step14999.json,bicycle_4_n70_s42_default_farthestpose_sharedcam_i70_gteval_steps15000,0.1038,0.008064,41,colmap,70.0
colmap,70,43,,5379,,farthestpose,70,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,17.886404037475586,0.5120539665222168,0.3380809426307678,1000000,0.0029380000196397305,0.13619999587535858,0.11928791113686765,5379,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n70_s43_default_farthestpose_sharedcam_i70_gteval_steps15000/stats/val_step14999.json,bicycle_4_n70_s43_default_farthestpose_sharedcam_i70_gteval_steps15000,0.1362,0.009435,42,colmap,70.0
colmap,70,44,,5516,,farthestpose,70,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,17.870527267456055,0.5211366415023804,0.3614344596862793,1000000,0.0029449998401105404,0.09920000284910202,0.12704433490116152,5516,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n70_s44_default_farthestpose_sharedcam_i70_gteval_steps15000/stats/val_step14999.json,bicycle_4_n70_s44_default_farthestpose_sharedcam_i70_gteval_steps15000,0.0992,0.009097,40,colmap,70.0
colmap,80,42,,7165,,farthestpose,80,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,18.049240112304688,0.47952064871788025,0.3430018424987793,1000000,0.0016679998952895403,0.1453000009059906,0.14526340816608108,7165,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n80_s42_default_farthestpose_sharedcam_i80_gteval_steps15000/stats/val_step14999.json,bicycle_4_n80_s42_default_farthestpose_sharedcam_i80_gteval_steps15000,0.1453,0.00542,48,colmap,80.0
colmap,80,43,,6627,,farthestpose,80,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,18.79738426208496,0.4780292510986328,0.3943830728530884,1000000,0.0019109999993816018,0.10689998418092728,0.19008604840383347,6627,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n80_s43_default_farthestpose_sharedcam_i80_gteval_steps15000/stats/val_step14999.json,bicycle_4_n80_s43_default_farthestpose_sharedcam_i80_gteval_steps15000,0.1069,0.006373,48,colmap,80.0
