method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss,error_opa,depth_lambda,depth_conf,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,quality,real_num_points,file_path,folder,rre,rte,plot_series,num_images_jitter
colmap,20,44,,2137,,farthestpose,20,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,13.325949668884277,0.5808777809143066,0.42204177379608154,1000000,0.009861999191343784,0.7213000655174255,0.04145111768101628,2137,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n20_s44_default_farthestpose_i20_gteval_poseopt_steps15000/stats/val_step14999.json,bonsai_2_n20_s44_default_farthestpose_i20_gteval_poseopt_steps15000,0.554,0.040648,colmap | Pose Opt,20.0
colmap,30,42,,6185,,farthestpose,30,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,11.095721244812012,0.7624769806861877,0.3720586895942688,1000000,,,-0.14117755395704612,6185,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n30_s42_default_farthestpose_i30_gteval_steps15000/stats/val_step14999.json,bonsai_2_n30_s42_default_farthestpose_i30_gteval_steps15000,12.2005,0.72579,colmap | ,30.0
colmap,30,42,,6185,,farthestpose,30,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,11.276923179626465,0.7595204710960388,0.37514904141426086,1000000,0.24100899696350098,12.725298881530762,-0.13418973336520318,6185,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n30_s42_default_farthestpose_i30_gteval_poseopt_steps15000/stats/val_step14999.json,bonsai_2_n30_s42_default_farthestpose_i30_gteval_poseopt_steps15000,12.2005,0.72579,colmap | Pose Opt,30.0
colmap,30,43,,5770,,farthestpose,30,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,11.182455062866211,0.8091193437576294,0.32234641909599304,1000000,0.33967599272727966,20.637697219848633,-0.1974344574994587,5770,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n30_s43_default_farthestpose_i30_gteval_steps15000/stats/val_step14999.json,bonsai_2_n30_s43_default_farthestpose_i30_gteval_steps15000,20.6377,1.104269,colmap | ,30.0
colmap,30,43,,5770,,farthestpose,30,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,11.23988151550293,0.8076326251029968,0.3267749845981598,1000000,0.3382110297679901,20.489398956298828,-0.19286347272103282,5770,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n30_s43_default_farthestpose_i30_gteval_poseopt_steps15000/stats/val_step14999.json,bonsai_2_n30_s43_default_farthestpose_i30_gteval_poseopt_steps15000,20.6377,1.104269,colmap | Pose Opt,30.0
colmap,30,44,,5853,,farthestpose,30,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,9.45947551727295,0.8398990035057068,0.33391642570495605,1000000,0.8519048690795898,32.398101806640625,-0.24157519035326952,5853,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n30_s44_default_farthestpose_i30_gteval_steps15000/stats/val_step14999.json,bonsai_2_n30_s44_default_farthestpose_i30_gteval_steps15000,32.3981,1.917783,colmap | ,30.0
colmap,30,44,,5853,,farthestpose,30,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,9.547484397888184,0.8283718824386597,0.35346680879592896,1000000,0.8494159579277039,32.26620101928711,-0.2213969168684712,5853,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n30_s44_default_farthestpose_i30_gteval_poseopt_steps15000/stats/val_step14999.json,bonsai_2_n30_s44_default_farthestpose_i30_gteval_poseopt_steps15000,32.3981,1.917783,colmap | Pose Opt,30.0
colmap,40,42,,19178,,farthestpose,40,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,13.950407028198242,0.6090746521949768,0.4684901535511017,1000000,,,0.06277246193269237,19178,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n40_s42_default_farthestpose_i40_gteval_steps15000/stats/val_step14999.json,bonsai_2_n40_s42_default_farthestpose_i40_gteval_steps15000,4.181,0.493855,colmap | ,40.0
colmap,40,42,,19178,,farthestpose,40,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,14.085638046264648,0.6089566349983215,0.4696456789970398,1000000,0.10257699340581894,4.1922993659973145,0.06602533604124297,19178,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n40_s42_default_farthestpose_i40_gteval_poseopt_steps15000/stats/val_step14999.json,bonsai_2_n40_s42_default_farthestpose_i40_gteval_poseopt_steps15000,4.181,0.493855,colmap | Pose Opt,40.0
colmap,40,43,,20306,,farthestpose,40,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,12.393987655639648,0.7172357439994812,0.3950885534286499,1000000,0.14960099756717682,8.9552001953125,-0.07574113744508915,20306,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n40_s43_default_farthestpose_i40_gteval_steps15000/stats/val_step14999.json,bonsai_2_n40_s43_default_farthestpose_i40_gteval_steps15000,8.9552,0.683875,colmap | ,40.0
