method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,quality,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,sfm_file_path,input_folder,output_folder,initial_points,plot_series,num_images_jitter
vggt,20,42,,16432,ba,,,,0,10,farthestpose,20,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,radial,,15000,15000,,MCMC,,,,,,,,Use BA,50,gsplat,15.033971786499023,0.6863043308258057,0.2551267445087433,1000000,0.09560800343751907,3.8301000595092773,,-0.08960808857142569,16432,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n20_s42_mradial_ba_farthestpose_useba_maxba50_i20_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n20_s42_mradial_ba_farthestpose_useba_maxba50_i20_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n20_s42_mradial_ba_farthestpose_useba_maxba50_i20_gteval_poseopt_steps15000,3.864,0.456751,20,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n20_s42_mradial_ba_farthestpose_useba_maxba50/eval_results.json,bicycle_4_n20_s42_mradial_ba_farthestpose_useba_maxba50,bicycle_4_n20_s42_mradial_ba_farthestpose_useba_maxba50_i20_gteval_poseopt_steps15000_val_step14999.json,16432,vggt |  | ba,20.0
vggt,30,42,,17329,ba,,,,0,10,farthestpose,30,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,radial,,15000,15000,,MCMC,,,,,,,,Use BA,50,gsplat,16.04580307006836,0.6260360479354858,0.27118074893951416,1000000,0.03138900175690651,1.0940998792648315,,-0.02427952176491262,17329,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n30_s42_mradial_ba_farthestpose_useba_maxba50_i30_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n30_s42_mradial_ba_farthestpose_useba_maxba50_i30_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n30_s42_mradial_ba_farthestpose_useba_maxba50_i30_gteval_poseopt_steps15000,1.1051,0.159952,30,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n30_s42_mradial_ba_farthestpose_useba_maxba50/eval_results.json,bicycle_4_n30_s42_mradial_ba_farthestpose_useba_maxba50,bicycle_4_n30_s42_mradial_ba_farthestpose_useba_maxba50_i30_gteval_poseopt_steps15000_val_step14999.json,17329,vggt |  | ba,30.0
vggt,40,42,,19631,ba,,,,0,10,farthestpose,40,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,radial,,15000,15000,,MCMC,,,,,,,,Use BA,50,gsplat,16.18216323852539,0.6033326387405396,0.2681983411312103,1000000,0.036931995302438736,1.1800001859664917,,-0.00948398147332652,19631,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n40_s42_mradial_ba_farthestpose_useba_maxba50_i40_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n40_s42_mradial_ba_farthestpose_useba_maxba50_i40_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n40_s42_mradial_ba_farthestpose_useba_maxba50_i40_gteval_poseopt_steps15000,1.1492,0.180873,40,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n40_s42_mradial_ba_farthestpose_useba_maxba50/eval_results.json,bicycle_4_n40_s42_mradial_ba_farthestpose_useba_maxba50,bicycle_4_n40_s42_mradial_ba_farthestpose_useba_maxba50_i40_gteval_poseopt_steps15000_val_step14999.json,19631,vggt |  | ba,40.0
vggt,50,42,,21493,ba,,,,0,10,farthestpose,50,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,radial,,15000,15000,,MCMC,,,,,,,,Use BA,50,gsplat,16.37039566040039,0.5504834651947021,0.2690768539905548,1000000,0.02631000429391861,0.8568000197410583,,0.02713850096032718,21493,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n50_s42_mradial_ba_farthestpose_useba_maxba50_i50_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n50_s42_mradial_ba_farthestpose_useba_maxba50_i50_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n50_s42_mradial_ba_farthestpose_useba_maxba50_i50_gteval_poseopt_steps15000,0.9021,0.131738,50,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n50_s42_mradial_ba_farthestpose_useba_maxba50/eval_results.json,bicycle_4_n50_s42_mradial_ba_farthestpose_useba_maxba50,bicycle_4_n50_s42_mradial_ba_farthestpose_useba_maxba50_i50_gteval_poseopt_steps15000_val_step14999.json,21493,vggt |  | ba,50.0
vggt,60,42,,22807,ba,,,,0,10,farthestpose,60,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,radial,,15000,15000,,MCMC,,,,,,,,Use BA,50,gsplat,16.873685836791992,0.5225010514259338,0.2805958390235901,1000000,0.01783899776637554,0.6814000010490417,,0.060468032888346825,22807,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n60_s42_mradial_ba_farthestpose_useba_maxba50_i60_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n60_s42_mradial_ba_farthestpose_useba_maxba50_i60_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n60_s42_mradial_ba_farthestpose_useba_maxba50_i60_gteval_poseopt_steps15000,0.7233,0.084243,60,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n60_s42_mradial_ba_farthestpose_useba_maxba50/eval_results.json,bicycle_4_n60_s42_mradial_ba_farthestpose_useba_maxba50,bicycle_4_n60_s42_mradial_ba_farthestpose_useba_maxba50_i60_gteval_poseopt_steps15000_val_step14999.json,22807,vggt |  | ba,60.0
vggt,70,42,,21707,ba,,,,0,10,farthestpose,70,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,radial,,15000,15000,,MCMC,,,,,,,,Use BA,50,gsplat,16.738862991333008,0.5048297643661499,0.27568671107292175,1000000,0.019804997369647026,0.7631999850273132,,0.06600868035788043,21707,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n70_s42_mradial_ba_farthestpose_useba_maxba50_i70_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n70_s42_mradial_ba_farthestpose_useba_maxba50_i70_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n70_s42_mradial_ba_farthestpose_useba_maxba50_i70_gteval_poseopt_steps15000,0.8817,0.099907,70,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n70_s42_mradial_ba_farthestpose_useba_maxba50/eval_results.json,bicycle_4_n70_s42_mradial_ba_farthestpose_useba_maxba50,bicycle_4_n70_s42_mradial_ba_farthestpose_useba_maxba50_i70_gteval_poseopt_steps15000_val_step14999.json,21707,vggt |  | ba,70.0
vggt,80,42,,21557,ba,,,,0,10,farthestpose,80,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,radial,,15000,15000,,MCMC,,,,,,,,Use BA,50,gsplat,17.250761032104492,0.4806211292743683,0.2882962226867676,1000000,0.01597299985587597,0.6651999950408936,,0.0978058590139175,21557,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n80_s42_mradial_ba_farthestpose_useba_maxba50_i80_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n80_s42_mradial_ba_farthestpose_useba_maxba50_i80_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n80_s42_mradial_ba_farthestpose_useba_maxba50_i80_gteval_poseopt_steps15000,0.7944,0.081237,80,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n80_s42_mradial_ba_farthestpose_useba_maxba50/eval_results.json,bicycle_4_n80_s42_mradial_ba_farthestpose_useba_maxba50,bicycle_4_n80_s42_mradial_ba_farthestpose_useba_maxba50_i80_gteval_poseopt_steps15000_val_step14999.json,21557,vggt |  | ba,80.0
vggt,90,42,,23079,ba,,,,0,10,farthestpose,90,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,radial,,15000,15000,,MCMC,,,,,,,,Use BA,50,gsplat,17.11436653137207,0.5073627233505249,0.2820006012916565,1000000,0.01840885356068611,0.6580221652984619,,0.07509122815048488,23079,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n90_s42_mradial_ba_farthestpose_useba_maxba50_i90_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n90_s42_mradial_ba_farthestpose_useba_maxba50_i90_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n90_s42_mradial_ba_farthestpose_useba_maxba50_i90_gteval_poseopt_steps15000,0.7227,0.081549,90,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n90_s42_mradial_ba_farthestpose_useba_maxba50/eval_results.json,bicycle_4_n90_s42_mradial_ba_farthestpose_useba_maxba50,bicycle_4_n90_s42_mradial_ba_farthestpose_useba_maxba50_i90_gteval_poseopt_steps15000_val_step14999.json,23079,vggt |  | ba,90.0
vggt,100,42,,23318,ba,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,radial,,15000,15000,,MCMC,,,,,,,,Use BA,50,gsplat,17.058292388916016,0.5085027813911438,0.28093835711479187,1000000,0.021106543019413948,0.6969219446182251,,0.07272788314868912,23318,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_mradial_ba_farthestpose_useba_maxba50_i100_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_mradial_ba_farthestpose_useba_maxba50_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_mradial_ba_farthestpose_useba_maxba50_i100_gteval_poseopt_steps15000,0.7685,0.080377,100,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_mradial_ba_farthestpose_useba_maxba50/eval_results.json,bicycle_4_n100_s42_mradial_ba_farthestpose_useba_maxba50,bicycle_4_n100_s42_mradial_ba_farthestpose_useba_maxba50_i100_gteval_poseopt_steps15000_val_step14999.json,23318,vggt |  | ba,100.0
vggt,10,42,0.0,11000,voxels,,,,0,10,farthestpose,10,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,13.79848861694336,0.6025251150131226,0.17613032460212708,1000000,0.03237094357609749,1.698430061340332,,-0.10696857799718398,10431,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n10_s42_c0.0_p11000_voxels_farthestpose_i10_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n10_s42_c0.0_p11000_voxels_farthestpose_i10_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n10_s42_c0.0_p11000_voxels_farthestpose_i10_gteval_poseopt_steps15000,1.569,0.141985,10,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n10_s42_c0.0_p11000_voxels_farthestpose/eval_results.json,bicycle_4_n10_s42_c0.0_p11000_voxels_farthestpose,bicycle_4_n10_s42_c0.0_p11000_voxels_farthestpose_i10_gteval_poseopt_steps15000_val_step14999.json,10431,vggt |  | voxels,10.0
