choice,num_points,sampling_mode,rre,rte,num_aligned,quality
COLMAP,10092,,12.9097,0.789921,87,0.1841184926776626
VGGT,870,random,6.56235,0.401727,87,0.6925554926458158
VGGT,4350,random,6.56235,0.401727,87,0.6981394094468866
VGGT,8700,random,6.56235,0.401727,87,0.697837386311766
VGGT,43500,random,6.56235,0.401727,87,0.6993240231310415
VGGT,87000,random,6.56235,0.401727,87,0.6992689660321278
VGGT,217500,random,6.56235,0.401727,87,0.700475962799892
