choice,depth_lambda,depth_conf_mode,depth_loss_mode,rre,psnr,lpips,ssim,pred_depth_absrel,depth_abs_rel
COLMAP,0.0,,,10.4269,25.237646102905273,0.05288347229361534,0.9056525826454163,,0.01985725574195385
COLMAP,0.01,,points,10.4269,25.171138763427734,0.05332547053694725,0.9049533009529114,,0.019853845238685608
COLMAP,0.1,,points,10.4269,25.277332305908203,0.05302310734987259,0.9056869149208069,,0.019724035635590553
COLMAP,1.0,,points,10.4269,25.126136779785156,0.05613192915916443,0.9008785486221313,,0.020146941766142845
COLMAP,10.0,,points,10.4269,24.80658531188965,0.06535745412111282,0.889276385307312,,0.02137848176062107
VGGT,0.0,,,0.3306,20.37809944152832,0.07559234648942947,0.7738922238349915,0.0133,0.021131223067641258
VGGT,0.01,,points,0.3306,20.388044357299805,0.07533911615610123,0.7740970253944397,0.0133,0.020958557724952698
VGGT,0.01,sigmoid,points,0.3306,20.38005256652832,0.07548200339078903,0.7740097045898438,0.0133,0.020952045917510986
VGGT,0.01,standard,points,0.3306,21.817916870117188,0.06551844626665115,0.806912899017334,0.0133,0.01773933134973049
VGGT,0.1,,points,0.3306,20.5372257232666,0.07375076413154602,0.776735782623291,0.0133,0.020126083865761757
VGGT,0.1,sigmoid,points,0.3306,20.576547622680664,0.07330484688282013,0.7774770259857178,0.0133,0.020003333687782288
VGGT,0.1,standard,points,0.3306,22.422021865844727,0.06798477470874786,0.8263846039772034,0.0133,0.018516993150115013
VGGT,1.0,,points,0.3306,21.938709259033203,0.06542570143938065,0.8111936450004578,0.0133,0.017964888364076614
VGGT,1.0,sigmoid,points,0.3306,21.99601936340332,0.06507476419210434,0.8126950860023499,0.0133,0.017952565103769302
VGGT,1.0,standard,points,0.3306,22.46497344970703,0.0902925655245781,0.8225070834159851,0.0133,0.022727549076080322
VGGT,10.0,,points,0.3306,22.30661964416504,0.07128579169511795,0.8223839998245239,0.0133,0.019707445055246353
VGGT,10.0,sigmoid,points,0.3306,22.373517990112305,0.07126587629318237,0.8242862820625305,0.0133,0.0197643730789423
VGGT,10.0,standard,points,0.3306,21.66116714477539,0.15225790441036224,0.7951939702033997,0.0133,0.027382273226976395
