choice,dataset,num_images,depth_loss_mode,eval_rre,eval_rte,psnr,lpips,ssim,pred_depth_absrel,depth_abs_rel
VGGT,bicycle,30,,0.8984349966049194,0.019486337900161743,16.09134292602539,0.4458269476890564,0.20969036221504211,,
VGGT,bicycle,30,closer,0.8578892350196838,0.01839562878012657,15.81289291381836,0.4507046341896057,0.20843897759914398,,
VGGT,bicycle,30,full,0.7704908847808838,0.017313692718744278,16.446300506591797,0.4230666160583496,0.2287280559539795,,
VGGT,bicycle,30,points,0.8985821008682251,0.019431637600064278,16.00709342956543,0.4548596143722534,0.2030530869960785,,
VGGT,garden,30,,0.09548536688089371,0.0029620386194437742,19.41567611694336,0.29161977767944336,0.38543829321861267,,
VGGT,garden,30,closer,0.0881926491856575,0.0029734366107732058,19.450178146362305,0.2874264419078827,0.38459643721580505,,
VGGT,garden,30,full,0.07307114452123642,0.0027534726541489363,19.64376449584961,0.2934890389442444,0.3960878252983093,,
VGGT,garden,30,points,0.12932482361793518,0.002946766559034586,19.11520004272461,0.3128010034561157,0.3569214344024658,,
VGGT,stump,30,,1.1974972486495972,0.033216629177331924,17.133214950561523,0.5170958042144775,0.3305170238018036,,
VGGT,stump,30,closer,1.0601803064346313,0.03390059620141983,17.09425926208496,0.5157061219215393,0.333138644695282,,
VGGT,stump,30,full,0.8634464144706726,0.03234219551086426,17.15066909790039,0.520605206489563,0.3420819044113159,,
VGGT,stump,30,points,1.2057164907455444,0.03365114703774452,17.111251831054688,0.5171279907226562,0.3259257972240448,,
