choice,dataset_collection,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,quality
COLMAP,indoor,,,,0.61416954219096
COLMAP,indoor,,,GT Points,0.6228650441630877
COLMAP,indoor,,GT Intrinsics,,0.6188656611697664
COLMAP,indoor,,GT Intrinsics,GT Points,0.6266274750619991
COLMAP,indoor,GT Extrinsics,,,0.8217543535594535
COLMAP,indoor,GT Extrinsics,,GT Points,0.8294452936948313
COLMAP,indoor,GT Extrinsics,GT Intrinsics,,0.8417277801164641
COLMAP,indoor,GT Extrinsics,GT Intrinsics,GT Points,0.8526270430932862
VGGT,indoor,,,,0.389294575161559
VGGT,indoor,,,GT Points,0.4009671603701242
VGGT,indoor,,GT Intrinsics,,0.4045661430041821
VGGT,indoor,,GT Intrinsics,GT Points,0.4211223112289746
VGGT,indoor,GT Extrinsics,,,0.5221222873332568
VGGT,indoor,GT Extrinsics,,GT Points,0.5451180498618596
VGGT,indoor,GT Extrinsics,GT Intrinsics,,0.776744742846112
VGGT,indoor,GT Extrinsics,GT Intrinsics,GT Points,0.8517415602214413
COLMAP,outdoor,,,,0.45061284488275605
COLMAP,outdoor,,,GT Points,0.48663903841575756
COLMAP,outdoor,,GT Intrinsics,,0.43762845420620516
COLMAP,outdoor,,GT Intrinsics,GT Points,0.47012562882933806
COLMAP,outdoor,GT Extrinsics,,,0.5240217514282856
COLMAP,outdoor,GT Extrinsics,,GT Points,0.564445330682502
COLMAP,outdoor,GT Extrinsics,GT Intrinsics,,0.567230813561876
COLMAP,outdoor,GT Extrinsics,GT Intrinsics,GT Points,0.6218374935171421
VGGT,outdoor,,,,0.15011054441374777
VGGT,outdoor,,,GT Points,0.15315185945891757
VGGT,outdoor,,GT Intrinsics,,0.14986974550889173
VGGT,outdoor,,GT Intrinsics,GT Points,0.15242479610215903
VGGT,outdoor,GT Extrinsics,,,0.3440362899133543
VGGT,outdoor,GT Extrinsics,,GT Points,0.3651328427026817
VGGT,outdoor,GT Extrinsics,GT Intrinsics,,0.6029251259282629
VGGT,outdoor,GT Extrinsics,GT Intrinsics,GT Points,0.6216426590368399
