choice,num_images,val_step,psnr,lpips,ssim
COLMAP,20,7000,11.360934257507324,0.5087882876396179,0.673006534576416
COLMAP,20,15000,11.3611478805542,0.5075839161872864,0.672267735004425
COLMAP,20,30000,11.360939025878906,0.509019672870636,0.6729281544685364
COLMAP,30,7000,11.3635892868042,0.5099279880523682,0.6695548295974731
COLMAP,30,15000,11.359189987182617,0.5158900022506714,0.6406166553497314
COLMAP,30,30000,11.28671932220459,0.5255787372589111,0.6469148993492126
COLMAP,40,7000,11.358734130859375,0.5089357495307922,0.6730421781539917
COLMAP,40,15000,11.360068321228027,0.5088930726051331,0.6730807423591614
COLMAP,40,30000,11.360220909118652,0.5087929964065552,0.6730230450630188
COLMAP,50,7000,11.360930442810059,0.5088039636611938,0.6731130480766296
COLMAP,50,15000,11.360936164855957,0.5087997317314148,0.6731196641921997
COLMAP,50,30000,11.360990524291992,0.5087353587150574,0.6730366945266724
COLMAP,60,7000,11.296747207641602,0.5134392976760864,0.6601640582084656
COLMAP,60,15000,11.364886283874512,0.5136696696281433,0.6594366431236267
COLMAP,60,30000,11.351874351501465,0.5138549208641052,0.6592128872871399
COLMAP,70,7000,10.9249267578125,0.5139046907424927,0.6513111591339111
COLMAP,70,15000,10.91189956665039,0.5134763717651367,0.6490617990493774
COLMAP,70,30000,10.845853805541992,0.548938512802124,0.5561826825141907
COLMAP,80,7000,10.595407485961914,0.5338088870048523,0.5268644094467163
COLMAP,80,15000,10.556920051574707,0.5284742116928101,0.5255358815193176
COLMAP,80,30000,10.552111625671387,0.5265265703201294,0.5249840021133423
VGGT,10,7000,13.95449447631836,0.37584754824638367,0.621872067451477
VGGT,10,15000,13.817582130432129,0.36171385645866394,0.601848304271698
VGGT,10,30000,13.855849266052246,0.3692733347415924,0.5976031422615051
VGGT,20,7000,14.946561813354492,0.45267125964164734,0.6439855694770813
VGGT,20,15000,14.309059143066406,0.388452410697937,0.6426230669021606
VGGT,20,30000,13.841215133666992,0.35385265946388245,0.6010482907295227
VGGT,30,7000,14.347678184509277,0.3336876332759857,0.6290175318717957
VGGT,30,15000,14.203551292419434,0.3364189565181732,0.6113623976707458
VGGT,30,30000,14.097663879394531,0.3495035171508789,0.5998532176017761
VGGT,40,7000,14.827980041503906,0.29453715682029724,0.6556732058525085
VGGT,40,15000,14.70809555053711,0.28654876351356506,0.6455442905426025
VGGT,40,30000,14.627333641052246,0.28890857100486755,0.6390582323074341
VGGT,50,7000,15.540946960449219,0.24973739683628082,0.6811681985855103
VGGT,50,15000,15.448137283325195,0.23718926310539246,0.672962486743927
VGGT,50,30000,15.388165473937988,0.23778459429740906,0.6675598621368408
VGGT,60,7000,16.737314224243164,0.20290863513946533,0.7124292254447937
VGGT,60,15000,16.700164794921875,0.18695850670337677,0.7056880593299866
VGGT,60,30000,16.6604061126709,0.18356439471244812,0.7012367248535156
VGGT,70,7000,18.866899490356445,0.1463816910982132,0.7521066069602966
VGGT,70,15000,18.703638076782227,0.12991531193256378,0.7451625466346741
VGGT,70,30000,18.643857955932617,0.1255790889263153,0.7410687804222107
VGGT,80,7000,20.22072410583496,0.12833625078201294,0.7665480375289917
VGGT,80,15000,20.026344299316406,0.11090704798698425,0.7600658535957336
VGGT,80,30000,19.95610237121582,0.10573138296604156,0.7572758197784424
VGGT,87,,,,
