choice,num_images,image_mode,rre,rte,num_aligned,quality
COLMAP,20,farthestpose,,,,-0.523502769271823
COLMAP,30,farthestpose,0.5918,0.009894,8,-0.21601274956194427
COLMAP,40,farthestpose,0.3116,0.017061,18,-0.10922992434727821
VGGT,5,farthestpose,2.1848,0.191017,5,
VGGT,5,nearestpose,0.9938499999999999,0.0091575,5,
VGGT,10,farthestpose,1.569,0.141985,10,-0.0910886965687201
VGGT,10,nearestpose,0.80745,0.008432,10,
VGGT,20,farthestpose,1.3446,0.119326,20,0.0035742271868264655
VGGT,20,nearestpose,0.5153,0.010108,20,
VGGT,30,farthestpose,0.9795,0.090795,30,0.03016724863015189
VGGT,30,nearestpose,0.36579999999999996,0.0105175,30,
VGGT,40,farthestpose,0.8856,0.086546,40,0.044865455427597414
VGGT,40,nearestpose,0.49665,0.0132675,40,
