choice,dataset,num_images,use_ba,rre,rte,psnr,lpips,ssim,quality
COLMAP,bicycle,20,,19.4863,0.240427,9.327774047851562,0.9867873787879944,0.011039652861654758,-0.523502769271823
COLMAP,bicycle,40,,0.2627,0.018073,14.498021125793457,0.6936643719673157,0.2647492289543152,-0.09844915219295165
COLMAP,bicycle,60,,0.1219,0.009703,17.236000061035156,0.5451602935791016,0.3305085003376007,0.08237905987212224
COLMAP,bicycle,80,,0.1595,0.005965,17.76422882080078,0.4812810719013214,0.3296169936656952,0.13107134333053452
COLMAP,bicycle,100,,0.0986,0.006893,21.33245086669922,0.36376556754112244,0.4795043170452118,0.3573433696410345
VGGT,bicycle,20,Use BA,1.342,0.084784,,,,
VGGT,bicycle,20,,1.1489,0.123985,15.57375717163086,0.4779299795627594,0.19145579636096954,0.011779607233093348
VGGT,bicycle,40,Use BA,0.6602,0.049003,,,,
VGGT,bicycle,40,,0.9969,0.089406,15.945895195007324,0.4716128408908844,0.20698022842407227,0.031649135667988104
VGGT,bicycle,60,Use BA,0.6308,0.040847,,,,
VGGT,bicycle,60,,0.6713,0.070966,16.939054489135742,0.42465606331825256,0.2356017380952835,0.09576436457035993
VGGT,bicycle,80,Use BA,0.5863,0.039686,,,,
VGGT,bicycle,80,,0.6603,0.070258,17.034706115722656,0.4331849217414856,0.24800460040569305,0.09952409942092799
VGGT,bicycle,100,Use BA,0.5899,0.03799,,,,
VGGT,bicycle,100,,0.7161,0.065623,17.17383575439453,0.44064733386039734,0.25722789764404297,0.10288788805231015
COLMAP,bonsai,20,,0.4539,0.008021,12.78054141998291,0.5810893177986145,0.37014880776405334,0.0008736228385167744
COLMAP,bonsai,40,,1.264,0.122388,16.021272659301758,0.47918105125427246,0.5187664031982422,0.2107043762033523
COLMAP,bonsai,60,,0.2129,0.012431,20.666831970214844,0.2531079649925232,0.6391506195068359,0.5066846666435206
COLMAP,bonsai,80,,0.2543,0.014815,20.760934829711914,0.2436372935771942,0.6288368701934814,0.5082419733090242
COLMAP,bonsai,100,,0.1581,0.013152,22.422779083251953,0.20355287194252014,0.6968405842781067,0.6035285908886177
VGGT,bonsai,20,Use BA,0.7219,0.03498,,,,
VGGT,bonsai,20,,0.8715,0.105606,16.017148971557617,0.48860669136047363,0.4894988238811493,0.18769417179335712
VGGT,bonsai,40,Use BA,0.7227,0.040118,,,,
VGGT,bonsai,40,,0.891,0.103772,16.336158752441406,0.4692293703556061,0.5162447690963745,0.22120397322514057
VGGT,bonsai,60,Use BA,0.6577,0.040459,,,,
VGGT,bonsai,60,,0.8639,0.103497,16.860124588012695,0.4490773677825928,0.5395917892456055,0.2569997801728029
VGGT,bonsai,80,Use BA,0.7554,0.041192,,,,
VGGT,bonsai,80,,0.9018,0.111718,17.383541107177734,0.43095341324806213,0.5610812306404114,0.2904472297240264
VGGT,bonsai,100,Use BA,0.5792,0.034349,,,,
VGGT,bonsai,100,,0.7215,0.105749,17.731338500976562,0.4183982312679291,0.5749688744544983,0.31275946366624285
COLMAP,lego,20,,111.3893,0.022876,10.803786277770996,0.5119118690490723,0.6756448745727539,0.1856218456369937
COLMAP,lego,40,,173.622,3.771985,10.87772274017334,0.5230934023857117,0.6327624917030334,0.15501144143030812
COLMAP,lego,60,,147.8803,3.623879,10.869637489318848,0.5229114890098572,0.6601412296295166,0.17098496462169446
COLMAP,lego,80,,15.3915,0.895301,10.938504219055176,0.47431427240371704,0.5621680617332458,0.14496430605553123
COLMAP,lego,87,,10.4269,0.396164,24.951248168945312,0.057750023901462555,0.8941664099693298,0.8557490702280368
VGGT,lego,20,Use BA,0.7987,0.044902,,,,
VGGT,lego,20,,2.282,0.136623,13.51085090637207,0.33849838376045227,0.6098172664642334,0.3043023561253959
VGGT,lego,40,Use BA,0.5183,0.020374,,,,
VGGT,lego,40,,1.3375,0.068919,14.37865161895752,0.27628257870674133,0.6544467806816101,0.38487668874745556
VGGT,lego,60,Use BA,0.3406,0.01554,,,,
VGGT,lego,60,,0.6029,0.028582,16.231658935546875,0.18868233263492584,0.7087209820747375,0.5050051640852308
VGGT,lego,80,Use BA,0.2987,0.013943,,,,
VGGT,lego,80,,0.347,0.019011,19.914697647094727,0.10276784002780914,0.7650076150894165,0.6591593817389577
VGGT,lego,87,Use BA,0.2685,0.015949,,,,
VGGT,lego,87,,0.2976,0.018838,20.5725154876709,0.09495189040899277,0.7736919522285461,0.681244413590493
