Choice,Pose Opt,RRE ↓,RTE ↓,PSNR ↑,LPIPS ↓,SSIM ↑
COLMAP,,0.1049,0.017545,21.084463119506836,0.3635961413383484,0.49296194314956665
COLMAP,,0.0989,0.017192,21.233394622802734,0.3732696771621704,0.4943369925022125
COLMAP,,0.1024,0.017495,20.920557022094727,0.3674790859222412,0.4831123948097229
COLMAP,Pose Opt,0.1049,0.017545,21.372501373291016,0.3530023992061615,0.5168636441230774
COLMAP,Pose Opt,0.0989,0.017192,21.69218635559082,0.35851967334747314,0.5342774987220764
COLMAP,Pose Opt,0.1024,0.017495,21.256694793701172,0.3537333905696869,0.5099348425865173
VGGT,,0.857,0.067143,17.31154441833496,0.4846026599407196,0.27133893966674805
VGGT,,0.8604,0.06754,17.294458389282227,0.4864136278629303,0.27170222997665405
VGGT,,0.857,0.067143,17.28801727294922,0.48047006130218506,0.27036672830581665
VGGT,Pose Opt,0.857,0.067143,17.48876953125,0.3744533360004425,0.2683219611644745
VGGT,Pose Opt,0.8604,0.06754,17.410348892211914,0.3744347393512726,0.2642180919647217
VGGT,Pose Opt,0.857,0.067143,17.385772705078125,0.37803733348846436,0.26525890827178955
