Choice,Num Images,RRE ↓,RTE ↓,PSNR ↑,LPIPS ↓,SSIM ↑,Final Gaussian Count ↓
COLMAP,10,14.2489,0.037351,8.872466087341309,0.8363047242164612,0.2726007103919983,127314.0
COLMAP,20,1.218,0.030791,11.907597541809082,0.6418958902359009,0.3517458140850067,1000000.0
COLMAP,30,12.2005,0.72579,11.095721244812012,0.7624769806861877,0.3720586895942688,1000000.0
COLMAP,40,4.181,0.493855,13.950407028198242,0.6090746521949768,0.4684901535511017,1000000.0
COLMAP,50,0.5257,0.081737,18.347726821899414,0.3547690808773041,0.5755265951156616,1000000.0
COLMAP,60,0.4776,0.067621,18.323095321655273,0.34385454654693604,0.5799478888511658,1000000.0
COLMAP,70,0.5947,0.077723,18.19729232788086,0.3510153591632843,0.5703105330467224,1000000.0
COLMAP,80,0.6256,0.087851,18.076444625854492,0.3599914312362671,0.5719637870788574,1000000.0
COLMAP,90,0.3825,0.050888,19.203901290893555,0.29532086849212646,0.6018803715705872,1000000.0
COLMAP,100,0.5629,0.063833,18.469179153442383,0.32536494731903076,0.5786079168319702,1000000.0
VGGT,100,0.7897,0.107121,17.508901596069336,0.43893128633499146,0.5741156339645386,1000000.0
