choice,num_images,image_mode,eval_rre,eval_rte,num_aligned,psnr,lpips,ssim
COLMAP,10,farthestpose,2.2528326511383057,0.015426966361701488,5,13.383953094482422,0.7249969244003296,0.3768191337585449
COLMAP,20,farthestpose,0.10513249784708023,0.0016500689089298248,12,17.50998878479004,0.406898558139801,0.5586329698562622
COLMAP,20,minfarthestpose,0.20694522559642792,0.0031303362920880318,11,17.055130004882812,0.4203537106513977,0.40332385897636414
COLMAP,30,farthestpose,0.11295972764492035,0.0012758359080180526,28,19.522228240966797,0.22792096436023712,0.48186859488487244
COLMAP,30,minfarthestpose,0.08791245520114899,0.0011564858723431826,29,20.69415283203125,0.20984040200710297,0.522813618183136
COLMAP,40,farthestpose,0.09292979538440704,0.0013362925965338945,40,21.044775009155273,0.1829119175672531,0.5391585230827332
COLMAP,40,minfarthestpose,0.08738908171653748,0.0009328668820671737,40,21.183923721313477,0.1707247495651245,0.5152345895767212
COLMAP,50,farthestpose,0.08972032368183136,0.0011724994983524084,50,21.541378021240234,0.1698632389307022,0.550456702709198
COLMAP,50,minfarthestpose,0.08594430983066559,0.0009378357790410519,50,21.2763614654541,0.17744511365890503,0.5096001625061035
COLMAP,60,farthestpose,0.09770767390727997,0.0010898562613874674,60,21.59369468688965,0.1621313840150833,0.5398227572441101
COLMAP,60,minfarthestpose,0.08569332957267761,0.0009602486388757825,60,21.833385467529297,0.14793804287910461,0.5134088397026062
COLMAP,70,farthestpose,0.09562390297651291,0.0010078954510390759,70,21.81053924560547,0.15282349288463593,0.5419934988021851
COLMAP,70,minfarthestpose,0.08552314341068268,0.000908937188796699,70,21.79115104675293,0.1432647705078125,0.5312835574150085
COLMAP,80,farthestpose,0.09361527860164642,0.0009513386758044362,80,21.417316436767578,0.1491650938987732,0.49240046739578247
COLMAP,80,minfarthestpose,0.08929087966680527,0.000934918294660747,80,22.103078842163086,0.1352481245994568,0.5338106751441956
COLMAP,90,farthestpose,0.09637400507926941,0.0009884581668302417,90,22.082307815551758,0.1423589438199997,0.5479262471199036
COLMAP,90,minfarthestpose,0.0888378843665123,0.0008741308702155948,90,21.8272705078125,0.1358359158039093,0.5177202820777893
COLMAP,100,farthestpose,0.09359873086214066,0.0009081275202333927,100,21.59664535522461,0.14201965928077698,0.49743717908859253
COLMAP,100,minfarthestpose,0.08556358516216278,0.0008918195962905884,100,22.442726135253906,0.12718938291072845,0.5514160990715027
VGGT,10,farthestpose,0.31609341502189636,0.0065124803222715855,10,16.831378936767578,0.35423943400382996,0.37673231959342957
VGGT,10,minfarthestpose,0.25211888551712036,0.0062136417254805565,10,16.237701416015625,0.3734455406665802,0.37400949001312256
VGGT,20,farthestpose,0.24654598534107208,0.006482676602900028,20,17.5094051361084,0.2899823486804962,0.4110972285270691
VGGT,20,minfarthestpose,0.20989832282066345,0.005649331957101822,20,18.296302795410156,0.25242260098457336,0.4350537061691284
VGGT,30,farthestpose,0.16266058385372162,0.004843368194997311,30,19.270221710205078,0.22625146806240082,0.49594083428382874
VGGT,30,minfarthestpose,0.12599097192287445,0.00474573764950037,30,19.222871780395508,0.21839593350887299,0.483711838722229
VGGT,40,farthestpose,0.1871022880077362,0.005756455007940531,40,18.96849822998047,0.21142953634262085,0.44828301668167114
VGGT,40,minfarthestpose,0.13506487011909485,0.004561583511531353,40,19.421314239501953,0.2040211260318756,0.4808780252933502
VGGT,50,farthestpose,0.16867181658744812,0.005866834428161383,50,19.993404388427734,0.19130542874336243,0.4893414080142975
VGGT,50,minfarthestpose,0.1696181297302246,0.004927725996822119,50,20.238811492919922,0.17805272340774536,0.5169618725776672
VGGT,60,farthestpose,0.21550989151000977,0.005812961142510176,60,19.41326332092285,0.19471386075019836,0.4480762779712677
VGGT,60,minfarthestpose,0.1845463067293167,0.00467535387724638,60,20.15944480895996,0.1735684722661972,0.48872309923171997
VGGT,70,farthestpose,0.20424884557724,0.005497113335877657,70,19.886871337890625,0.181437686085701,0.4651094675064087
VGGT,70,minfarthestpose,0.1856015920639038,0.004490348044782877,70,20.207738876342773,0.16989849507808685,0.4867176115512848
VGGT,80,farthestpose,0.19382014870643616,0.004938228987157345,80,20.427745819091797,0.1775311827659607,0.4898476302623749
VGGT,80,minfarthestpose,0.19823233783245087,0.0046250661835074425,80,20.379596710205078,0.17003458738327026,0.5055451393127441
VGGT,90,farthestpose,0.21519063413143158,0.005449153948575258,90,19.990388870239258,0.18359778821468353,0.4461715817451477
VGGT,90,minfarthestpose,0.17506374418735504,0.004474086221307516,90,21.101316452026367,0.16165202856063843,0.5515610575675964
VGGT,100,farthestpose,0.235776886343956,0.005308283492922783,100,20.017711639404297,0.17643724381923676,0.4138493239879608
VGGT,100,minfarthestpose,0.15866483747959137,0.0047913966700434685,100,21.232662200927734,0.15592406690120697,0.5311336517333984
