choice,dataset_collection,num_points,sampling_mode,processing_time,processing_peak_memory_mb
VGGT,indoor,1000,confidence,2.7283283869425454,308.0
VGGT,indoor,1000,imagefps,2.6206483840942383,308.0
VGGT,indoor,1000,random,2.635778268178304,308.0
VGGT,indoor,1000,voxels,12.301943937937418,308.0
VGGT,indoor,5000,confidence,2.5941970348358154,308.0
VGGT,indoor,5000,imagefps,3.6506519317626953,308.0
VGGT,indoor,5000,random,2.6558703581492105,308.0
VGGT,indoor,5000,voxels,12.357263565063477,308.0
VGGT,indoor,10000,confidence,2.580739895502726,308.0
VGGT,indoor,10000,imagefps,4.698857307434082,308.0
VGGT,indoor,10000,random,2.825489600499471,308.0
VGGT,indoor,10000,voxels,12.575618505477905,308.0
VGGT,indoor,21304,ba,166.2497203350067,17925.16064453125
VGGT,indoor,24311,ba,144.79748582839966,20381.5166015625
VGGT,indoor,28194,ba,186.8896565437317,22279.66162109375
VGGT,indoor,50000,confidence,2.9381757577260337,308.0
VGGT,indoor,50000,imagefps,14.158731937408447,308.0
VGGT,indoor,50000,random,3.1257804234822593,308.0
VGGT,indoor,50000,voxels,13.254534244537354,308.0
VGGT,indoor,100000,confidence,3.2464542388916016,308.0
VGGT,indoor,100000,imagefps,26.12078595161438,308.0
VGGT,indoor,100000,random,3.2696143786112466,308.0
VGGT,indoor,100000,voxels,13.875552336374918,308.0
