choice,num_images,image_mode,eval_rre,eval_rte,num_aligned,psnr,lpips,ssim
COLMAP,20,farthestpose,120.3613052368164,0.4246414601802826,10.0,10.803693771362305,0.5115751624107361,0.676060140132904
COLMAP,30,farthestpose,119.89866638183594,0.8647823333740234,19.0,10.755062103271484,0.5123323202133179,0.6748767495155334
COLMAP,40,farthestpose,108.58917999267578,0.9261929392814636,39.0,10.943881034851074,0.5200427174568176,0.6450473070144653
COLMAP,50,farthestpose,129.96786499023438,0.9518187642097473,45.0,10.967422485351562,0.517281711101532,0.6424274444580078
COLMAP,60,farthestpose,95.0254898071289,1.0051743984222412,56.0,10.87811279296875,0.5207507014274597,0.6635403633117676
COLMAP,70,farthestpose,0.15313544869422913,0.002075882162898779,70.0,22.728504180908203,0.058363739401102066,0.8538640141487122
COLMAP,80,farthestpose,12.851283073425293,0.21328282356262207,80.0,10.882725715637207,0.4760783016681671,0.5597950220108032
COLMAP,87,farthestpose,10.428851127624512,0.11611875891685486,87.0,23.415613174438477,0.06068120896816254,0.8655398488044739
VGGT,10,farthestpose,2.4989686012268066,0.03498070314526558,10.0,13.160910606384277,0.3646426200866699,0.5981189608573914
VGGT,10,minfarthestpose,,,10.0,,,
VGGT,20,farthestpose,2.17228627204895,0.0314418189227581,20.0,13.527885437011719,0.3289046585559845,0.6177788972854614
VGGT,20,minfarthestpose,,,20.0,,,
VGGT,30,farthestpose,2.1169753074645996,0.02933218516409397,30.0,13.8456449508667,0.3083689212799072,0.6319642663002014
VGGT,30,minfarthestpose,,,22.0,,,
VGGT,40,farthestpose,1.1891047954559326,0.0141433235257864,40.0,14.320556640625,0.26488545536994934,0.6630575656890869
VGGT,40,minfarthestpose,,,38.0,,,
VGGT,50,farthestpose,,,50.0,,,
VGGT,50,minfarthestpose,,,49.0,,,
VGGT,60,farthestpose,,,60.0,,,
VGGT,60,minfarthestpose,,,59.5,,,
VGGT,70,farthestpose,,,70.0,,,
VGGT,70,minfarthestpose,,,70.0,,,
VGGT,80,farthestpose,,,80.0,,,
VGGT,80,minfarthestpose,,,80.0,,,
VGGT,87,farthestpose,0.2516995370388031,0.006157866213470697,87.0,20.352569580078125,0.07587305456399918,0.773491382598877
VGGT,87,minfarthestpose,,,87.0,,,
