choice,dataset,depth_conf_mode,rre,psnr,lpips,ssim,pred_depth_absrel,depth_abs_rel
COLMAP,bicycle,,0.0986,21.65953826904297,0.39189550280570984,0.5051455497741699,,
VGGT,bicycle,,0.7161,17.351736068725586,0.33055251836776733,0.2659480571746826,,
VGGT,bicycle,sigmoid,0.7161,17.66659927368164,0.32776129245758057,0.27154597640037537,,
VGGT,bicycle,standard,0.7161,17.60690689086914,0.32860279083251953,0.2678280770778656,,
COLMAP,bonsai,,0.1581,24.098237991333008,0.185201495885849,0.7678359746932983,,
VGGT,bonsai,,0.7215,17.62350845336914,0.3895871043205261,0.562463104724884,,
VGGT,bonsai,sigmoid,0.7215,17.54241180419922,0.3879234194755554,0.5621880292892456,,
VGGT,bonsai,standard,0.7215,17.408327102661133,0.3924497365951538,0.5583803653717041,,
COLMAP,lego,,10.4269,25.142532348632812,0.056012604385614395,0.9011270999908447,,0.020070258527994156
VGGT,lego,,0.3347,20.273447036743164,0.07833631336688995,0.773818850517273,0.013,0.0215628482401371
VGGT,lego,sigmoid,0.3347,20.4058895111084,0.07806839048862457,0.7752710580825806,0.013,0.02225094847381115
VGGT,lego,standard,0.3347,20.363346099853516,0.08532172441482544,0.7750072479248047,0.013,0.022267503663897514
