choice,dataset,depth_conf_mode,depth_loss_mode,eval_rre,eval_rte,psnr,lpips,ssim,quality
VGGT,bicycle,,,0.4889967441558838,0.013628819026052952,17.384122848510742,0.337806761264801,0.26788055896759033,0.17649355493945842
VGGT,bicycle,,full,0.4808228313922882,0.012593640014529228,18.11033821105957,0.35131216049194336,0.2933022975921631,0.1964718352051971
VGGT,bicycle,Scaled,full,0.4842735230922699,0.012486460618674755,18.077972412109375,0.34775665402412415,0.29176220297813416,0.1971665855117089
VGGT,bicycle,Scaled Shifted,full,0.49657902121543884,0.013267973437905312,17.42218780517578,0.3452844023704529,0.2694047689437866,0.17347398456464425
VGGT,bicycle,Sigmoid,full,0.48412787914276123,0.01263143215328455,18.087665557861328,0.3515591025352478,0.2921060025691986,0.1951999501642893
VGGT,bicycle,Sigmoid Shifted,full,0.4954031705856323,0.013139971531927586,17.418060302734375,0.34616661071777344,0.26984766125679016,0.17311197763297995
VGGT,bicycle,Standard,full,0.4810331463813782,0.012486620806157589,18.0867919921875,0.3533472418785095,0.29209306836128235,0.1940724194398401
VGGT,bicycle,Standard Shifted,full,0.49469903111457825,0.013131605461239815,17.420841217041016,0.34596243500709534,0.26979804039001465,0.17326049238462743
VGGT,bonsai,,,0.6934566497802734,0.01881927065551281,18.46109962463379,0.33550846576690674,0.5824333429336548,0.38180526670811626
VGGT,bonsai,,full,0.7655540704727173,0.01585816778242588,18.286258697509766,0.34664618968963623,0.579465925693512,0.3699570018180861
VGGT,bonsai,Scaled,full,0.7746713757514954,0.015969960018992424,18.342252731323242,0.34265896677970886,0.5803431868553162,0.3739681953032966
VGGT,bonsai,Scaled Shifted,full,0.7526059150695801,0.016469240188598633,18.479965209960938,0.33481383323669434,0.5827564597129822,0.38277237209272974
VGGT,bonsai,Sigmoid,full,0.7787834405899048,0.0160222165286541,18.294490814208984,0.3493892550468445,0.5800052285194397,0.36873157997267675
VGGT,bonsai,Sigmoid Shifted,full,0.7752677798271179,0.01633371040225029,18.308855056762695,0.34049829840660095,0.5800835490226746,0.3745316307679487
VGGT,bonsai,Standard,full,0.7668023109436035,0.01589750126004219,18.284452438354492,0.34615302085876465,0.579660177230835,0.37034157516895905
VGGT,bonsai,Standard Shifted,full,0.7906231880187988,0.016604935750365257,18.339956283569336,0.3446682095527649,0.5809768438339233,0.37305595481295023
VGGT,drums,,,0.11593722552061081,0.0031003891490399837,20.899389266967773,0.08484406024217606,0.8690087795257568,0.749277867739893
VGGT,drums,,full,0.11155002564191818,0.0022400871384888887,20.72846031188965,0.0885021984577179,0.8661181926727295,0.742164005041897
VGGT,drums,Scaled,full,0.10657531023025513,0.0023068964947015047,20.856056213378906,0.08520392328500748,0.8690569996833801,0.7482814650263703
VGGT,drums,Scaled Shifted,full,0.10649320483207703,0.0023086650762706995,20.855445861816406,0.0851375162601471,0.8690105676651001,0.7482840009832474
VGGT,drums,Sigmoid,full,0.11796214431524277,0.0021541996393352747,21.008930206298828,0.09010066092014313,0.8722764253616333,0.7499724924177065
VGGT,drums,Sigmoid Shifted,full,0.11734580993652344,0.00216642115265131,21.046646118164062,0.09018594026565552,0.8729657530784607,0.7510214092825975
VGGT,drums,Standard,full,0.16817696392536163,0.00245204521343112,20.292978286743164,0.1501101553440094,0.8579990863800049,0.6913219047026482
VGGT,drums,Standard Shifted,full,0.16884221136569977,0.002431816654279828,20.373764038085938,0.1505640745162964,0.8584822416305542,0.6928202870451373
