choice,num_images,rre,rte,psnr,lpips,ssim,num_aligned
COLMAP,30,21.1938,0.973657,16.01102066040039,0.2585829496383667,0.6198015213012695,14
COLMAP,40,0.5318,0.027329,19.83553123474121,0.09924743324518204,0.7814076542854309,36
COLMAP,50,37.2085,1.621086,9.491819381713867,0.6136894226074219,0.4951036274433136,48
COLMAP,60,42.7544,1.76595,9.51300048828125,0.6039016842842102,0.4862987995147705,59
COLMAP,70,13.0156,0.491599,22.652563095092773,0.06905500590801239,0.8519454598426819,70
COLMAP,80,12.3915,0.644267,11.245566368103027,0.4587663412094116,0.5789228081703186,80
COLMAP,87,10.4784,0.403756,22.786890029907227,0.06574113667011261,0.8507940173149109,87
VGGT,10,0.822,0.036127,15.198112487792969,0.2350117415189743,0.6856555938720703,10
VGGT,20,0.5014,0.015405,17.199806213378906,0.1505446434020996,0.7221265435218811,20
VGGT,30,0.259,0.018158,20.691740036010742,0.09708108752965927,0.7848856449127197,30
VGGT,40,0.3198,0.019067,21.03264045715332,0.08919823169708252,0.7866431474685669,40
VGGT,50,0.2916,0.018156,21.419431686401367,0.08875027298927307,0.7948000431060791,50
VGGT,60,0.3386,0.018355,21.653776168823242,0.08798713982105255,0.8014010190963745,60
VGGT,70,0.3397,0.018862,19.951635360717773,0.10068289935588837,0.766650915145874,70
VGGT,80,0.327,0.018619,20.84146499633789,0.09648028016090393,0.7779006958007812,80
VGGT,87,0.2976,0.018838,20.5725154876709,0.09495189040899277,0.7736919522285461,87
