method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,quality,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,sfm_file_path,input_folder,output_folder,initial_points,plot_series
vggt,87,42,0.0,95700,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,pinhole,,,,,MCMC,,,,,Shared Cam,,,Use BA,50,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_mpinhole_c0.0_p95700_random_farthestpose_useba_maxba50_sharedcam/eval_results.json,,lego_1_n87_s42_mpinhole_c0.0_p95700_random_farthestpose_useba_maxba50_sharedcam,0.2685,0.015146,87,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_mpinhole_c0.0_p95700_random_farthestpose_useba_maxba50_sharedcam/eval_results.json,lego_1_n87_s42_mpinhole_c0.0_p95700_random_farthestpose_useba_maxba50_sharedcam,,,vggt | random | Use BA | 50.0 | pinhole
vggt,87,42,0.0,95700,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,radial,,,,,MCMC,,,,,Shared Cam,,,Use BA,50,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_mradial_c0.0_p95700_random_farthestpose_useba_maxba50_sharedcam/eval_results.json,,lego_1_n87_s42_mradial_c0.0_p95700_random_farthestpose_useba_maxba50_sharedcam,0.2664,0.014903,87,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_mradial_c0.0_p95700_random_farthestpose_useba_maxba50_sharedcam/eval_results.json,lego_1_n87_s42_mradial_c0.0_p95700_random_farthestpose_useba_maxba50_sharedcam,,,vggt | random | Use BA | 50.0 | radial
vggt,87,42,0.0,95700,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,pinhole,,,,,MCMC,,,,,Shared Cam,,,Use BA,3000,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_mpinhole_c0.0_p95700_random_farthestpose_useba_maxba3000_sharedcam/eval_results.json,,lego_1_n87_s42_mpinhole_c0.0_p95700_random_farthestpose_useba_maxba3000_sharedcam,0.2685,0.015146,87,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_mpinhole_c0.0_p95700_random_farthestpose_useba_maxba3000_sharedcam/eval_results.json,lego_1_n87_s42_mpinhole_c0.0_p95700_random_farthestpose_useba_maxba3000_sharedcam,,,vggt | random | Use BA | 3000.0 | pinhole
vggt,87,42,0.0,95700,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,radial,,,,,MCMC,,,,,Shared Cam,,,Use BA,3000,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_mradial_c0.0_p95700_random_farthestpose_useba_maxba3000_sharedcam/eval_results.json,,lego_1_n87_s42_mradial_c0.0_p95700_random_farthestpose_useba_maxba3000_sharedcam,0.2664,0.014903,87,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_mradial_c0.0_p95700_random_farthestpose_useba_maxba3000_sharedcam/eval_results.json,lego_1_n87_s42_mradial_c0.0_p95700_random_farthestpose_useba_maxba3000_sharedcam,,,vggt | random | Use BA | 3000.0 | radial
vggt,87,42,0.0,95700,random,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,20.664636611938477,0.07156232744455338,0.7774803638458252,1000000,0.006085267756134272,0.25530245900154114,,0.6996038075563115,95700,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p95700_random_farthestpose_i87_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p95700_random_farthestpose_i87_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n87_s42_c0.0_p95700_random_farthestpose_i87_gteval_poseopt_steps15000,0.3306,0.018825,87,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p95700_random_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p95700_random_farthestpose,lego_1_n87_s42_c0.0_p95700_random_farthestpose_i87_gteval_poseopt_steps15000_val_step14999.json,95700,vggt | random |  |  | 
colmap,87,42,,10092,,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,11.221860885620117,0.4955378472805023,0.6425514221191406,1000000,0.23845438659191132,12.908929824829102,3.42777943611145,0.1841184926776626,10092,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_steps15000,12.9097,0.789921,87,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_steps15000_val_step14999.json,10092,colmap |  |  |  | pinhole
colmap,87,42,,10350,,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,10.687294006347656,0.5188292860984802,0.53187096118927,1000000,0.24047112464904785,12.800947189331055,,0.09511625890688431,10350,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n87_s42_default_farthestpose_sharedcam_i87_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n87_s42_default_farthestpose_sharedcam_i87_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n87_s42_default_farthestpose_sharedcam_i87_gteval_poseopt_steps15000,13.7802,0.814052,87,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n87_s42_default_farthestpose_sharedcam/eval_results.json,lego_1_n87_s42_default_farthestpose_sharedcam,lego_1_n87_s42_default_farthestpose_sharedcam_i87_gteval_poseopt_steps15000_val_step14999.json,10350,colmap |  |  |  | 
