method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,sfm_file_path,input_folder,output_folder,initial_points,plot_series,num_points_jitter
vggt,100,42,,23318,ba,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,,0.0,,vggt,radial,,15000,15000,,Default,,,,,Shared Cam,,,Use BA,50,gsplat,22.238483428955078,0.38719484210014343,0.5492812395095825,4643648,2.578970743625825e-16,1.3113522072671913e-06,,,0.4004644530790823,0.35484106404424953,23318,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam_i100_gteval_gtext_gtint_nomcmc_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam_i100_gteval_gtext_gtint_nomcmc_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam_i100_gteval_gtext_gtint_nomcmc_steps15000,0.7917,0.048267,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam/eval_results.json,bicycle_4_n100_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam,bicycle_4_n100_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam_i100_gteval_gtext_gtint_nomcmc_steps15000_val_step14999.json,23318,vggt | ba | Default,20986.2
vggt,100,42,0.0,1000,confidence,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,,0.0,,vggt,,,15000,15000,,Default,,,,,,,,,,gsplat,21.120540618896484,0.48875918984413147,0.4726029336452484,3142374,2.147410765722209e-16,7.358054290307336e-07,,,0.27222665209054486,0.4075687067738638,1000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p1000_confidence_farthestpose_i100_gteval_gtext_gtint_nomcmc_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p1000_confidence_farthestpose_i100_gteval_gtext_gtint_nomcmc_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p1000_confidence_farthestpose_i100_gteval_gtext_gtint_nomcmc_steps15000,0.857,0.067143,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p1000_confidence_farthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p1000_confidence_farthestpose,bicycle_4_n100_s42_c0.0_p1000_confidence_farthestpose_i100_gteval_gtext_gtint_nomcmc_steps15000_val_step14999.json,1000,vggt | confidence | Default,950.0
vggt,100,42,0.0,10000,confidence,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,,0.0,,vggt,,,15000,15000,,Default,,,,,,,,,,gsplat,21.538087844848633,0.387572318315506,0.5367096066474915,3660849,9.602866124325696e-17,0.0,,,0.3799093223919413,0.35841478218105555,10000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p10000_confidence_farthestpose_i100_gteval_gtext_gtint_nomcmc_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p10000_confidence_farthestpose_i100_gteval_gtext_gtint_nomcmc_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p10000_confidence_farthestpose_i100_gteval_gtext_gtint_nomcmc_steps15000,0.857,0.067143,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p10000_confidence_farthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p10000_confidence_farthestpose,bicycle_4_n100_s42_c0.0_p10000_confidence_farthestpose_i100_gteval_gtext_gtint_nomcmc_steps15000_val_step14999.json,10000,vggt | confidence | Default,9500.0
vggt,100,42,0.0,100000,confidence,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,,0.0,,vggt,,,15000,15000,,Default,,,,,,,,,,gsplat,22.10888671875,0.28270962834358215,0.596065878868103,4477470,2.9082158912949196e-16,7.670267905268702e-07,,,0.4899209977513091,0.30814036401880257,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_confidence_farthestpose_i100_gteval_gtext_gtint_nomcmc_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_confidence_farthestpose_i100_gteval_gtext_gtint_nomcmc_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p100000_confidence_farthestpose_i100_gteval_gtext_gtint_nomcmc_steps15000,0.857,0.067143,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_confidence_farthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p100000_confidence_farthestpose,bicycle_4_n100_s42_c0.0_p100000_confidence_farthestpose_i100_gteval_gtext_gtint_nomcmc_steps15000_val_step14999.json,100000,vggt | confidence | Default,95000.0
vggt,100,42,0.0,1000000,confidence,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,,0.0,,vggt,,,15000,15000,,Default,,,,,,,,,,gsplat,21.83653450012207,0.23297926783561707,0.6006087064743042,5228216,1.6886023996499124e-16,1.2074182542676226e-08,,,0.5182318158781785,0.2905016598321143,1000000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p1000000_confidence_farthestpose_i100_gteval_gtext_gtint_nomcmc_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p1000000_confidence_farthestpose_i100_gteval_gtext_gtint_nomcmc_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p1000000_confidence_farthestpose_i100_gteval_gtext_gtint_nomcmc_steps15000,0.857,0.067143,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p1000000_confidence_farthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p1000000_confidence_farthestpose,bicycle_4_n100_s42_c0.0_p1000000_confidence_farthestpose_i100_gteval_gtext_gtint_nomcmc_steps15000_val_step14999.json,1000000,vggt | confidence | Default,950000.0
vggt,100,42,0.0,100000,imagefps,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,,0.0,,vggt,,,15000,15000,,Default,,,,,,,,,,gsplat,22.157312393188477,0.3291206359863281,0.579539954662323,4307423,2.0388342444251106e-16,4.793267862623907e-07,,,0.4525047161890517,0.3278782186523343,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_imagefps_farthestpose_i100_gteval_gtext_gtint_nomcmc_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_imagefps_farthestpose_i100_gteval_gtext_gtint_nomcmc_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p100000_imagefps_farthestpose_i100_gteval_gtext_gtint_nomcmc_steps15000,0.7161,0.065623,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_imagefps_farthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p100000_imagefps_farthestpose,bicycle_4_n100_s42_c0.0_p100000_imagefps_farthestpose_i100_gteval_gtext_gtint_nomcmc_steps15000_val_step14999.json,100000,vggt | imagefps | Default,100000.0
vggt,100,42,0.0,1000,random,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,,0.0,,vggt,,,15000,15000,,Default,,,,,,,,,,gsplat,21.74601936340332,0.4502449333667755,0.5081519484519958,4012302,1.4890882887866943e-16,0.0,,,0.32837272174486953,0.38608443191590713,1000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p1000_random_farthestpose_i100_gteval_gtext_gtint_nomcmc_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p1000_random_farthestpose_i100_gteval_gtext_gtint_nomcmc_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p1000_random_farthestpose_i100_gteval_gtext_gtint_nomcmc_steps15000,0.857,0.067143,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p1000_random_farthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p1000_random_farthestpose,bicycle_4_n100_s42_c0.0_p1000_random_farthestpose_i100_gteval_gtext_gtint_nomcmc_steps15000_val_step14999.json,1000,vggt | random | Default,1050.0
vggt,100,42,0.0,10000,random,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,,0.0,,vggt,,,15000,15000,,Default,,,,,,,,,,gsplat,22.06715202331543,0.39755502343177795,0.5422084927558899,4191930,2.2307300880211644e-16,1.1261462304901215e-06,,,0.38676036639675215,0.36012356785050975,10000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p10000_random_farthestpose_i100_gteval_gtext_gtint_nomcmc_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p10000_random_farthestpose_i100_gteval_gtext_gtint_nomcmc_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p10000_random_farthestpose_i100_gteval_gtext_gtint_nomcmc_steps15000,0.857,0.067143,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p10000_random_farthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p10000_random_farthestpose,bicycle_4_n100_s42_c0.0_p10000_random_farthestpose_i100_gteval_gtext_gtint_nomcmc_steps15000_val_step14999.json,10000,vggt | random | Default,10500.0
vggt,100,42,0.0,100000,random,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,,0.0,,vggt,,,15000,15000,,Default,,,,,,,,,,gsplat,22.58185577392578,0.258644163608551,0.6198505163192749,4711890,2.525309088834897e-16,1.7196823876020062e-07,,,0.5274440538116365,0.29357507169551555,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_gtext_gtint_nomcmc_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_gtext_gtint_nomcmc_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_gtext_gtint_nomcmc_steps15000,0.7161,0.065623,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_random_farthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p100000_random_farthestpose,bicycle_4_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_gtext_gtint_nomcmc_steps15000_val_step14999.json,100000,vggt | random | Default,105000.0
vggt,100,42,0.0,1000000,random,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,,0.0,,vggt,,,15000,15000,,Default,,,,,,,,,,gsplat,22.131845474243164,0.2053944319486618,0.6198300123214722,5236988,1.7653249234765328e-16,1.2237270539117162e-06,,,0.5519687438297767,0.2760315324717757,1000000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p1000000_random_farthestpose_i100_gteval_gtext_gtint_nomcmc_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p1000000_random_farthestpose_i100_gteval_gtext_gtint_nomcmc_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p1000000_random_farthestpose_i100_gteval_gtext_gtint_nomcmc_steps15000,0.857,0.067143,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p1000000_random_farthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p1000000_random_farthestpose,bicycle_4_n100_s42_c0.0_p1000000_random_farthestpose_i100_gteval_gtext_gtint_nomcmc_steps15000_val_step14999.json,1000000,vggt | random | Default,1050000.0
vggt,100,42,0.0,1000,voxels,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,,0.0,,vggt,,,15000,15000,,Default,,,,,,,,,,gsplat,21.873632431030273,0.42087289690971375,0.5253756046295166,3943624,2.2134844972150668e-16,4.8296730170704905e-08,,,0.3589391269569198,0.3720995499635969,947,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p1000_voxels_farthestpose_i100_gteval_gtext_gtint_nomcmc_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p1000_voxels_farthestpose_i100_gteval_gtext_gtint_nomcmc_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p1000_voxels_farthestpose_i100_gteval_gtext_gtint_nomcmc_steps15000,0.7161,0.065623,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p1000_voxels_farthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p1000_voxels_farthestpose,bicycle_4_n100_s42_c0.0_p1000_voxels_farthestpose_i100_gteval_gtext_gtint_nomcmc_steps15000_val_step14999.json,947,vggt | voxels | Default,1100.0
