choice,camera_type,rre,rte,psnr,lpips,ssim,num_GS
COLMAP,,0.1993,0.012003,21.817991256713867,0.21005652844905853,0.6816845536231995,1000000
VGGT,pinhole,0.50965,0.027118499999999997,,,,
VGGT,radial,0.7099,0.037375,,,,
