choice,splatting_strategy,pose_opt,rre,rte,psnr,lpips,ssim,num_GS
VGGT,Default,,0.7897,0.107121,17.455989837646484,0.4474121034145355,0.5688580274581909,1762894
VGGT,Default,Pose Opt,0.7897,0.107121,17.31636619567871,0.4059866964817047,0.5571061372756958,1671405
VGGT,MCMC,,0.7897,0.107121,17.454833984375,0.4291716516017914,0.5646929740905762,1000000
VGGT,MCMC,Pose Opt,0.7897,0.107121,17.3101749420166,0.40219008922576904,0.5559177994728088,1000000
