choice,num_images,depth_lambda,rre,psnr,lpips,ssim,pred_depth_absrel,depth_abs_rel
VGGT,20,0.0,2.2092,13.613268852233887,0.3036159873008728,0.6371915936470032,0.0337,2.9541943073272705
VGGT,20,0.01,2.2092,13.6229829788208,0.30352407693862915,0.6377635598182678,0.0337,2.9713966846466064
VGGT,20,0.1,2.2092,13.712587356567383,0.3005538880825043,0.6398447751998901,0.0337,2.983992338180542
VGGT,20,1.0,2.2092,13.728324890136719,0.30902794003486633,0.6431419253349304,0.0337,3.002208709716797
VGGT,30,0.0,2.2327,13.747795104980469,0.30469533801078796,0.6365200281143188,0.0334,2.9529504776000977
VGGT,30,0.01,2.2327,13.731687545776367,0.30408039689064026,0.6365082263946533,0.0334,2.9660160541534424
VGGT,30,0.1,2.2327,13.784171104431152,0.3017345666885376,0.638838529586792,0.0334,2.9807088375091553
VGGT,30,1.0,2.2327,13.808438301086426,0.30644556879997253,0.6420342326164246,0.0334,2.9928808212280273
VGGT,40,0.0,1.7233,13.910270690917969,0.29817014932632446,0.6435866355895996,0.0328,2.9598770141601562
VGGT,40,0.01,1.7233,13.883195877075195,0.29770952463150024,0.643195629119873,0.0328,2.973803758621216
VGGT,40,0.1,1.7233,13.937148094177246,0.29593440890312195,0.644923985004425,0.0328,2.98400616645813
VGGT,40,1.0,1.7233,13.956503868103027,0.3011462390422821,0.6472342014312744,0.0328,2.990001678466797
VGGT,100,0.0,1.623,13.996882438659668,0.2741541564464569,0.6613249182701111,0.032,2.970738649368286
VGGT,100,0.01,1.623,14.00152587890625,0.27406537532806396,0.6616500616073608,0.032,2.9798851013183594
VGGT,100,0.1,1.623,14.028681755065918,0.27640393376350403,0.6628416180610657,0.032,2.989894390106201
VGGT,100,1.0,1.623,14.07503604888916,0.2828903794288635,0.6634663343429565,0.032,2.998875141143799
