choice,copy_mode,rre,rte,num_aligned,quality
VGGT,crop,0.53335,0.0554155,70.5,
VGGT,square,0.5483,0.045927499999999996,100.0,
VGGT,,0.4945,0.059562,100.0,0.2969105112389979
