choice,num_images,rre,rte,psnr,lpips,ssim,pred_depth_l1
COLMAP,20,94.3977,3.547171,10.721061706542969,0.5185618996620178,0.6576135754585266,
COLMAP,30,122.6817,3.833488,10.841583251953125,0.5200769901275635,0.6602014303207397,
COLMAP,40,91.327,3.165785,10.91608715057373,0.4970003664493561,0.6691082715988159,
COLMAP,50,119.0744,3.83221,10.840804100036621,0.517516553401947,0.6682552695274353,
COLMAP,60,119.9102,3.855177,10.856959342956543,0.5145349502563477,0.6697113513946533,
COLMAP,70,123.5429,3.852007,10.8322114944458,0.5226473212242126,0.6605526804924011,
COLMAP,80,117.2975,3.849537,10.846296310424805,0.5141201019287109,0.6736921668052673,
COLMAP,90,0.1685,0.01001,24.547163009643555,0.06459183245897293,0.882312536239624,
COLMAP,100,0.1736,0.010242,24.755521774291992,0.05438452586531639,0.8831638693809509,
VGGT,10,1.6322,0.094312,,,,0.129
VGGT,20,2.2092,0.137401,14.964400291442871,0.45569318532943726,0.6078940629959106,0.1225
VGGT,30,2.2327,0.138266,13.750308990478516,0.39567306637763977,0.65397047996521,0.1217
VGGT,40,1.7233,0.100238,13.876798629760742,0.3112581968307495,0.6341525316238403,0.1194
VGGT,50,1.823,0.10641,13.78953742980957,0.3142949342727661,0.6352716088294983,0.1186
VGGT,60,1.9469,0.113809,13.85981559753418,0.3130713105201721,0.6361181735992432,0.1167
VGGT,70,1.9731,0.116116,13.815752029418945,0.31680601835250854,0.6357170939445496,0.1159
VGGT,80,1.9496,0.11477,13.776247024536133,0.31860706210136414,0.635931670665741,0.1155
VGGT,90,1.9853,0.120328,13.783120155334473,0.31429147720336914,0.6423931121826172,0.1136
VGGT,100,1.623,0.091981,13.986730575561523,0.28782570362091064,0.656389594078064,0.1053
