choice,num_points,splatting_strategy,rre,rte,psnr,lpips,ssim,num_GS
VGGT,1000,Default,0.857,0.067143,17.376691818237305,0.5990713834762573,0.29411211609840393,3312028
VGGT,1000,MCMC,0.857,0.067143,17.834653854370117,0.7039564251899719,0.3253675103187561,1000000
VGGT,5000,Default,0.857,0.067143,17.38150978088379,0.597016453742981,0.2936665713787079,3299840
VGGT,5000,MCMC,0.857,0.067143,17.502033233642578,0.5930808782577515,0.30302199721336365,1000000
VGGT,10000,Default,0.857,0.067143,17.36621856689453,0.59428471326828,0.2939852178096771,3362991
VGGT,10000,MCMC,0.857,0.067143,17.401453018188477,0.5527620315551758,0.2937142252922058,1000000
VGGT,20000,Default,0.857,0.067143,17.37155532836914,0.5942502021789551,0.2956838011741638,3385988
VGGT,20000,MCMC,0.857,0.067143,17.333959579467773,0.5287519097328186,0.2863745093345642,1000000
VGGT,30000,Default,0.857,0.067143,17.3653507232666,0.5889893770217896,0.29402416944503784,3439045
VGGT,30000,MCMC,0.857,0.067143,17.347524642944336,0.5148608684539795,0.2832069396972656,1000000
VGGT,50000,Default,0.857,0.067143,17.355180740356445,0.5904557108879089,0.29412683844566345,3449946
VGGT,50000,MCMC,0.857,0.067143,17.288209915161133,0.5013635754585266,0.27777889370918274,1000000
VGGT,75000,Default,0.857,0.067143,17.376466751098633,0.5810752511024475,0.29259058833122253,3547805
VGGT,75000,MCMC,0.857,0.067143,17.287153244018555,0.4893864393234253,0.27325478196144104,1000000
VGGT,100000,Default,0.857,0.067143,17.3697566986084,0.5703585147857666,0.2908274829387665,3536654
VGGT,100000,MCMC,0.857,0.067143,17.263822555541992,0.4823884963989258,0.2708178758621216,1000000
VGGT,250000,Default,0.857,0.067143,17.2835750579834,0.5312595963478088,0.27950021624565125,3747170
VGGT,250000,MCMC,0.857,0.067143,17.28557014465332,0.4761433005332947,0.2636738717556,1000000
VGGT,500000,Default,0.857,0.067143,17.177703857421875,0.48611846566200256,0.2658160924911499,3832071
VGGT,500000,MCMC,0.857,0.067143,17.188589096069336,0.4598838984966278,0.251693993806839,1000000
VGGT,1000000,Default,0.857,0.067143,17.036548614501953,0.4362126588821411,0.246749147772789,4177250
VGGT,1000000,MCMC,0.857,0.067143,17.228607177734375,0.46617040038108826,0.24487170577049255,1302835
