choice,num_points,splatting_strategy,rre,rte,psnr,lpips,ssim,num_GS
VGGT,870,Default,0.3306,0.018825,20.38199806213379,0.10669516026973724,0.7688138484954834,331069
VGGT,870,MCMC,0.3306,0.018825,20.529579162597656,0.13060832023620605,0.7726826667785645,1000000
VGGT,4350,Default,0.3306,0.018825,20.389738082885742,0.10576625168323517,0.768813967704773,341613
VGGT,4350,MCMC,0.3306,0.018825,20.44330406188965,0.11348069459199905,0.7693260312080383,1000000
VGGT,8700,Default,0.3306,0.018825,20.394203186035156,0.10479413717985153,0.7685595750808716,345821
VGGT,8700,MCMC,0.3306,0.018825,20.414777755737305,0.10969899594783783,0.7678912281990051,1000000
VGGT,17400,Default,0.3306,0.018825,20.385461807250977,0.10355371236801147,0.7685129046440125,358561
VGGT,17400,MCMC,0.3306,0.018825,20.417938232421875,0.10619063675403595,0.7679940462112427,1000000
VGGT,26100,Default,0.3306,0.018825,20.425561904907227,0.10305749624967575,0.769207775592804,366438
VGGT,26100,MCMC,0.3306,0.018825,20.478391647338867,0.10447602719068527,0.7689579129219055,1000000
VGGT,43500,Default,0.3306,0.018825,20.41132926940918,0.10312548279762268,0.7686719298362732,369308
VGGT,43500,MCMC,0.3306,0.018825,20.437387466430664,0.10419963300228119,0.7681089639663696,1000000
VGGT,65250,Default,0.3306,0.018825,20.371246337890625,0.10248643159866333,0.7683171033859253,378305
VGGT,65250,MCMC,0.3306,0.018825,20.411842346191406,0.1035378947854042,0.7676185965538025,1000000
VGGT,87000,Default,0.3306,0.018825,20.31256675720215,0.10224931687116623,0.7664840817451477,380855
VGGT,87000,MCMC,0.3306,0.018825,20.34149932861328,0.10283281654119492,0.7657451629638672,1000000
VGGT,217500,Default,0.3306,0.018825,20.349531173706055,0.10103455185890198,0.7665953040122986,403687
VGGT,217500,MCMC,0.3306,0.018825,20.3803768157959,0.10142013430595398,0.7659721374511719,1000000
VGGT,435000,Default,0.3306,0.018825,20.386438369750977,0.1007830798625946,0.767792284488678,468021
VGGT,435000,MCMC,0.3306,0.018825,20.44492530822754,0.1014232486486435,0.7676148414611816,1000000
VGGT,870000,Default,0.3306,0.018825,20.38265037536621,0.10412511974573135,0.7682225704193115,349834
VGGT,870000,MCMC,0.3306,0.018825,20.44133186340332,0.10861620306968689,0.7683588266372681,1000000
