choice,near_filtering_strength,near_filtering_quorum,eval_rre,eval_rte,psnr,ssim,lpips,quality
VGGT,0.5,1,2.9356814934544673e-07,6.911582385314198e-16,22.460853576660156,0.6104726791381836,0.32707151770591736,0.47748004960270185
VGGT,0.5,2,5.506081492967496e-07,3.0950475366575767e-16,22.46196746826172,0.6158073544502258,0.3092294931411743,0.4916339658002252
VGGT,0.5,10,3.3479199146313476e-07,4.83368086377935e-16,22.734037399291992,0.6318217515945435,0.24635958671569824,0.544846026598439
VGGT,0.9,1,7.744638708118146e-08,8.841081087512131e-16,22.464096069335938,0.6104840040206909,0.3271138370037079,0.47752059547834536
VGGT,0.9,2,0.0,2.930984666312707e-16,22.53093147277832,0.6167201399803162,0.31223148107528687,0.4915917907309578
VGGT,0.9,10,1.9197339895526966e-07,4.15611697465577e-16,22.732648849487305,0.6327082514762878,0.2463703602552414,0.5453320833635918
VGGT,1.0,1,6.077438570173399e-07,2.6706565015123865e-16,22.388158798217773,0.6039028763771057,0.33504462242126465,0.4673701905057831
VGGT,1.0,2,0.0,6.080741002242255e-16,22.377668380737305,0.6086836457252502,0.3241807818412781,0.47667776949611707
VGGT,1.0,10,4.8296730170704905e-08,3.15088130156262e-16,22.644811630249023,0.6320310831069946,0.24990905821323395,0.5411250818426381
VGGT,,,0.0,8.253087226791549e-16,22.694345474243164,0.6319763660430908,0.24590913951396942,0.5444794625837823
