choice,dataset,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,quality
COLMAP,bicycle,,,,0.3573433696410345
COLMAP,bicycle,,,GT Points,0.4161776872793524
COLMAP,bicycle,,GT Intrinsics,,0.3486792184920803
COLMAP,bicycle,,GT Intrinsics,GT Points,0.4014413858327562
COLMAP,bicycle,GT Extrinsics,,,0.382532453986249
COLMAP,bicycle,GT Extrinsics,,GT Points,0.4405011377449234
COLMAP,bicycle,GT Extrinsics,GT Intrinsics,,0.4735277968230691
COLMAP,bicycle,GT Extrinsics,GT Intrinsics,GT Points,0.5706081853391598
VGGT,bicycle,,,,0.10288788805231015
VGGT,bicycle,,,GT Points,0.12716225759792515
VGGT,bicycle,,GT Intrinsics,,0.1218986206429589
VGGT,bicycle,,GT Intrinsics,GT Points,0.12644155262506498
VGGT,bicycle,GT Extrinsics,,,0.3383105552529576
VGGT,bicycle,GT Extrinsics,,GT Points,0.3626229752186756
VGGT,bicycle,GT Extrinsics,GT Intrinsics,,0.5455420087149113
VGGT,bicycle,GT Extrinsics,GT Intrinsics,GT Points,0.5694049526298874
COLMAP,garden,,,,0.41174793437055524
COLMAP,garden,,,GT Points,0.42715945421603685
COLMAP,garden,,GT Intrinsics,,0.38125412730600555
COLMAP,garden,,GT Intrinsics,GT Points,0.39375663651825166
COLMAP,garden,GT Extrinsics,,,0.593520519057987
COLMAP,garden,GT Extrinsics,,GT Points,0.6215564422285192
COLMAP,garden,GT Extrinsics,GT Intrinsics,,0.6330776431290959
COLMAP,garden,GT Extrinsics,GT Intrinsics,GT Points,0.6658361358368373
VGGT,garden,,,,0.16229190134707794
VGGT,garden,,,GT Points,0.17162177255201683
VGGT,garden,,GT Intrinsics,,0.16366969090611075
VGGT,garden,,GT Intrinsics,GT Points,0.17252811601674733
VGGT,garden,GT Extrinsics,,,0.37957356110108686
VGGT,garden,GT Extrinsics,,GT Points,0.41053922672872806
VGGT,garden,GT Extrinsics,GT Intrinsics,,0.6065933642215431
VGGT,garden,GT Extrinsics,GT Intrinsics,GT Points,0.6655256621166822
COLMAP,stump,,,,0.5827472306366783
COLMAP,stump,,,GT Points,0.6165799737518836
COLMAP,stump,,GT Intrinsics,,0.5829520168205296
COLMAP,stump,,GT Intrinsics,GT Points,0.6151788641370063
COLMAP,stump,GT Extrinsics,,,0.5960122812406207
COLMAP,stump,GT Extrinsics,,GT Points,0.6312784120740635
COLMAP,stump,GT Extrinsics,GT Intrinsics,,0.5950870007334629
COLMAP,stump,GT Extrinsics,GT Intrinsics,GT Points,0.6290681593754293
VGGT,stump,,,,0.16589311952324493
VGGT,stump,,,GT Points,0.16067154822681073
VGGT,stump,,GT Intrinsics,,0.16404092497760558
VGGT,stump,,GT Intrinsics,GT Points,0.15830471966466478
VGGT,stump,GT Extrinsics,,,0.31422475338601846
VGGT,stump,GT Extrinsics,,GT Points,0.3222363261606416
VGGT,stump,GT Extrinsics,GT Intrinsics,,0.6566400048483341
VGGT,stump,GT Extrinsics,GT Intrinsics,GT Points,0.6299973623639503
