method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,quality,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,raw_eval_metrics,sfm_file_path,input_folder,output_folder,initial_points,plot_series
colmap,100,42,,16687,,farthestpose,100,GT Eval,,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,Random Init,,,gsplat,21.063241958618164,0.5219131708145142,0.44529592990875244,1000000,0.0021039999555796385,0.10689998418092728,0.2347311374039678,16687,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_randinit16687_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_randinit16687_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_randinit16687_steps15000,0.1069,0.008457,100,"{'rre': [0.09104569165409618, 0.04956995345564509, 0.1389908424298461, 0.06465715150581479, 0.16052910220765235, 0.10167880164076583, 0.20843763660399578, 0.22851869228430235, 0.058617861942564846, 0.24001579309091228, 0.0498601933680627, 0.20815269461786098, 0.05000422675285423, 0.18286178294321057, 0.22307897531338006, 0.10447026714908408, 0.14742476394037626, 0.09708395192043372, 0.23093978996445313, 0.1009737283447389, 0.12883602273853204, 0.2903965315026191, 0.04908640985566499, 0.05633229852257191, 0.07066922028305482, 0.07539002373997927, 0.08522482572115497, 0.06362446655705142, 0.0897370609260876, 0.03995370683525367, 0.08992265421317677, 0.12283349377148996, 0.05685177832273253, 0.10971626431353804, 0.044778556502029235, 0.09406812573348056, 0.11095083460209806, 0.10115706983846862, 0.10627229167673714, 0.12678768297517648, 0.1309702799278134, 0.1480124727449138, 0.12218160068459381, 0.1479858912748345, 0.027314969528008333, 0.12662936016519394, 0.12675440743536234, 0.11144790178268742, 0.12852169746453618, 0.12140116615298, 0.10471242620595142, 0.13262455030914488, 0.08541994729639286, 0.06559191677735263, 0.06057513529911705, 0.07173674158510901, 0.04911204435020874, 0.043475116785256444, 0.046943487477742636, 0.12420774552383572, 0.05952732433351784, 0.12246919873532304, 0.059824879445402365, 0.0586176826628491, 0.07523286138770939, 0.05890554701285471, 0.08234219171711739, 0.06790692839957482, 0.06885843010920412, 0.06643920020656197, 0.157500594174057, 0.11391164060325579, 0.04893268871631169, 0.023717103300795888, 0.14546480223812988, 0.14711194008351522, 0.13480097453957837, 0.09417314545652646, 0.05135336017190512, 0.08446776694404495, 0.0849707873759939, 0.06820905693528723, 0.08138908880396986, 0.1397669083316216, 0.10492714454499674, 0.16285172352699753, 0.08714800462540595, 0.18366843314973538, 0.09165113735846869, 0.21991260745167185, 0.2098360166999092, 0.2022129384120917, 0.06232370246218453, 0.06623270451911749, 0.15567677659473522, 0.049856950606000795, 0.12528970745453283, 0.057894441763432475, 0.11328492279651498, 0.08115986758834891], 'rte': [0.005382040828335381, 0.004847333347030934, 0.004666216282164843, 0.005025829587760533, 0.0021444189681083556, 0.0042824194422709195, 0.007609581980846471, 0.012621532392845927, 0.004339659966840408, 0.0066829314597716, 0.00963699021131828, 0.006601265423654535, 0.010923607423933694, 0.01354121455528172, 0.02508460195783698, 0.003980273392419965, 0.020982232998656737, 0.0017090197819561279, 0.02428321002279122, 0.011225635223129454, 0.008023693831027976, 0.0475454125632035, 0.01733301374214934, 0.015007966775050896, 0.006603320435500144, 0.005187590470372292, 0.004785598205746401, 0.0038746865489746388, 0.007068555565256656, 0.00483774867978904, 0.014566561933565099, 0.00713912601562603, 0.007868666768537688, 0.007154504471297872, 0.004703433859847967, 0.007223290988916701, 0.007189348624334676, 0.006004010703625797, 0.0033454353876262526, 0.0011593769536214315, 0.002737731417694634, 0.006049527611682359, 0.008005514263860451, 0.005800681646512676, 0.007271491865974258, 0.00397392264309823, 0.02377013633541959, 0.005430297152361404, 0.019503574433589924, 0.005256971298879405, 0.009410358292676113, 0.002587052665529413, 0.007458519303365557, 0.002901001246079468, 0.007153969324028839, 0.006444200532847911, 0.01783068294927736, 0.013698694857123363, 0.018822063545391995, 0.004798672313034866, 0.005745560995527855, 0.0033860745809698254, 0.0036427517908288504, 0.0088087012009784, 0.004706831642964603, 0.010301163540723414, 0.0067021436536705975, 0.008290478811422313, 0.010038925941232742, 0.005833984439969668, 0.008820965725870447, 0.004137418522664613, 0.003351499570020496, 0.003401501495701416, 0.013835298974608239, 0.01194189979963412, 0.011398552761050774, 0.008611696347373004, 0.006607205501077193, 0.006003616683858999, 0.005259086764018984, 0.0057207834362182405, 0.006691617207820812, 0.006121011094048961, 0.004969340686782712, 0.007663368973210329, 0.007224622872208493, 0.009148432736061874, 0.009931708384663816, 0.01771665305650204, 0.014004069435118529, 0.011247578061173434, 0.0107171125502818, 0.00342789588462133, 0.005927084750440115, 0.0029394808338097933, 0.004321312083225672, 0.004191858857068745, 0.007627647060100313, 0.004146174175646906]}",/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam/eval_results.json,bicycle_4_n100_s42_default_farthestpose_sharedcam,bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_randinit16687_steps15000_val_step14999.json,16687,colmap | Random Init |  | 16687
colmap,100,42,,110000,,farthestpose,100,GT Eval,,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,Random Init,,,gsplat,19.700016021728516,0.4871942698955536,0.4076894521713257,1000000,0.0021039999555796385,0.10689998418092728,0.20892554072298886,110000,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_randinit110000_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_randinit110000_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_randinit110000_steps15000,0.1069,0.008457,100,"{'rre': [0.09104569165409618, 0.04956995345564509, 0.1389908424298461, 0.06465715150581479, 0.16052910220765235, 0.10167880164076583, 0.20843763660399578, 0.22851869228430235, 0.058617861942564846, 0.24001579309091228, 0.0498601933680627, 0.20815269461786098, 0.05000422675285423, 0.18286178294321057, 0.22307897531338006, 0.10447026714908408, 0.14742476394037626, 0.09708395192043372, 0.23093978996445313, 0.1009737283447389, 0.12883602273853204, 0.2903965315026191, 0.04908640985566499, 0.05633229852257191, 0.07066922028305482, 0.07539002373997927, 0.08522482572115497, 0.06362446655705142, 0.0897370609260876, 0.03995370683525367, 0.08992265421317677, 0.12283349377148996, 0.05685177832273253, 0.10971626431353804, 0.044778556502029235, 0.09406812573348056, 0.11095083460209806, 0.10115706983846862, 0.10627229167673714, 0.12678768297517648, 0.1309702799278134, 0.1480124727449138, 0.12218160068459381, 0.1479858912748345, 0.027314969528008333, 0.12662936016519394, 0.12675440743536234, 0.11144790178268742, 0.12852169746453618, 0.12140116615298, 0.10471242620595142, 0.13262455030914488, 0.08541994729639286, 0.06559191677735263, 0.06057513529911705, 0.07173674158510901, 0.04911204435020874, 0.043475116785256444, 0.046943487477742636, 0.12420774552383572, 0.05952732433351784, 0.12246919873532304, 0.059824879445402365, 0.0586176826628491, 0.07523286138770939, 0.05890554701285471, 0.08234219171711739, 0.06790692839957482, 0.06885843010920412, 0.06643920020656197, 0.157500594174057, 0.11391164060325579, 0.04893268871631169, 0.023717103300795888, 0.14546480223812988, 0.14711194008351522, 0.13480097453957837, 0.09417314545652646, 0.05135336017190512, 0.08446776694404495, 0.0849707873759939, 0.06820905693528723, 0.08138908880396986, 0.1397669083316216, 0.10492714454499674, 0.16285172352699753, 0.08714800462540595, 0.18366843314973538, 0.09165113735846869, 0.21991260745167185, 0.2098360166999092, 0.2022129384120917, 0.06232370246218453, 0.06623270451911749, 0.15567677659473522, 0.049856950606000795, 0.12528970745453283, 0.057894441763432475, 0.11328492279651498, 0.08115986758834891], 'rte': [0.005382040828335381, 0.004847333347030934, 0.004666216282164843, 0.005025829587760533, 0.0021444189681083556, 0.0042824194422709195, 0.007609581980846471, 0.012621532392845927, 0.004339659966840408, 0.0066829314597716, 0.00963699021131828, 0.006601265423654535, 0.010923607423933694, 0.01354121455528172, 0.02508460195783698, 0.003980273392419965, 0.020982232998656737, 0.0017090197819561279, 0.02428321002279122, 0.011225635223129454, 0.008023693831027976, 0.0475454125632035, 0.01733301374214934, 0.015007966775050896, 0.006603320435500144, 0.005187590470372292, 0.004785598205746401, 0.0038746865489746388, 0.007068555565256656, 0.00483774867978904, 0.014566561933565099, 0.00713912601562603, 0.007868666768537688, 0.007154504471297872, 0.004703433859847967, 0.007223290988916701, 0.007189348624334676, 0.006004010703625797, 0.0033454353876262526, 0.0011593769536214315, 0.002737731417694634, 0.006049527611682359, 0.008005514263860451, 0.005800681646512676, 0.007271491865974258, 0.00397392264309823, 0.02377013633541959, 0.005430297152361404, 0.019503574433589924, 0.005256971298879405, 0.009410358292676113, 0.002587052665529413, 0.007458519303365557, 0.002901001246079468, 0.007153969324028839, 0.006444200532847911, 0.01783068294927736, 0.013698694857123363, 0.018822063545391995, 0.004798672313034866, 0.005745560995527855, 0.0033860745809698254, 0.0036427517908288504, 0.0088087012009784, 0.004706831642964603, 0.010301163540723414, 0.0067021436536705975, 0.008290478811422313, 0.010038925941232742, 0.005833984439969668, 0.008820965725870447, 0.004137418522664613, 0.003351499570020496, 0.003401501495701416, 0.013835298974608239, 0.01194189979963412, 0.011398552761050774, 0.008611696347373004, 0.006607205501077193, 0.006003616683858999, 0.005259086764018984, 0.0057207834362182405, 0.006691617207820812, 0.006121011094048961, 0.004969340686782712, 0.007663368973210329, 0.007224622872208493, 0.009148432736061874, 0.009931708384663816, 0.01771665305650204, 0.014004069435118529, 0.011247578061173434, 0.0107171125502818, 0.00342789588462133, 0.005927084750440115, 0.0029394808338097933, 0.004321312083225672, 0.004191858857068745, 0.007627647060100313, 0.004146174175646906]}",/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam/eval_results.json,bicycle_4_n100_s42_default_farthestpose_sharedcam,bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_randinit110000_steps15000_val_step14999.json,110000,colmap | Random Init |  | 110000
combined,100,42,0.0,16687,random,farthestpose,100,GT Eval,,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,vggtpcd,Global Alignment,,Shared Cam,,,,,gsplat,20.956329345703125,0.35457801818847656,0.4620136022567749,1000000,0.0021039999555796385,0.10689998418092728,0.345820994869775,16687,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n100_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p16687_random_farthestpose_sharedcam_i100_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n100_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p16687_random_farthestpose_sharedcam_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p16687_random_farthestpose_sharedcam_i100_gteval_steps15000,0.1069,0.008457,100,"{'rre': [0.09104569167010858, 0.049569953485055225, 0.13899084243509055, 0.06465715149454103, 0.16052910220765235, 0.10167880164076583, 0.20843763660399578, 0.22851869228430235, 0.05861786193012956, 0.2400157930878753, 0.049860193382682175, 0.2081526946143591, 0.05000422673827688, 0.18286178294321057, 0.22307897531338006, 0.10447026714908408, 0.14742476394037626, 0.09708395192043372, 0.23093978996445313, 0.1009737283519579, 0.12883602273853204, 0.290396531500109, 0.04908640985566499, 0.05633229852257191, 0.07066922029336947, 0.07539002374964807, 0.08522482573826101, 0.06362446655705142, 0.0897370609260876, 0.03995370683525367, 0.08992265422128297, 0.12283349377148996, 0.05685177832273253, 0.10971626431353804, 0.044778556485750694, 0.09406812574122951, 0.11095083460209806, 0.1011570698312627, 0.10627229164930084, 0.12678768297517648, 0.13097027991111657, 0.14801247273998902, 0.12218160068459381, 0.1479858912748345, 0.027314969528008333, 0.12662936015943752, 0.12675440743536234, 0.11144790177614687, 0.12852169746453618, 0.12140116615898433, 0.10471242620595142, 0.13262455031464107, 0.08541994730492636, 0.06559191677735263, 0.06057513529911705, 0.07173674158510901, 0.04911204435020874, 0.043475116802023046, 0.046943487477742636, 0.12420774551796708, 0.05952732433351784, 0.12246919873532304, 0.05982487946977114, 0.05861768268771973, 0.07523286137802042, 0.05890554701285471, 0.08234219172596982, 0.0679069284210433, 0.06885843010920412, 0.06643920020656197, 0.157500594174057, 0.11391164060325579, 0.048932688701415115, 0.023717103300795888, 0.14546480223812988, 0.14711194007856027, 0.13480097453957837, 0.09417314545652646, 0.051353360157710734, 0.08446776693541526, 0.0849707873759939, 0.06820905692460053, 0.08138908880396986, 0.1397669083316216, 0.10492714453804974, 0.16285172352699753, 0.08714800461704167, 0.18366843315370412, 0.09165113735846869, 0.2199126074483572, 0.209836016703383, 0.2022129384120917, 0.062323702450488676, 0.06623270450811192, 0.15567677659941756, 0.049856950606000795, 0.12528970743707896, 0.05789444173825114, 0.11328492280938394, 0.08115986758834891], 'rte': [0.005382040828335257, 0.0048473333470312185, 0.004666216282165024, 0.005025829587762532, 0.002144418968107807, 0.004282419442271137, 0.007609581980846735, 0.012621532392846923, 0.004339659966839523, 0.006682931459771207, 0.009636990211316492, 0.006601265423654246, 0.01092360742393153, 0.013541214555279416, 0.025084601957836284, 0.003980273392419366, 0.020982232998655953, 0.0017090197819568662, 0.024283210022791536, 0.011225635223130246, 0.0080236938310292, 0.047545412563203285, 0.017333013742149593, 0.015007966775051214, 0.006603320435498739, 0.005187590470372044, 0.004785598205745999, 0.0038746865489735363, 0.007068555565255082, 0.00483774867978893, 0.014566561933563885, 0.007139126015625457, 0.00786866676853754, 0.00715450447129756, 0.004703433859847917, 0.00722329098891617, 0.00718934862433503, 0.006004010703625398, 0.0033454353876260267, 0.0011593769536217978, 0.002737731417691397, 0.0060495276116827685, 0.008005514263861205, 0.0058006816465147526, 0.007271491865974081, 0.003973922643097897, 0.023770136335417923, 0.00543029715236054, 0.01950357443358814, 0.005256971298879246, 0.009410358292674288, 0.002587052665528804, 0.007458519303364772, 0.0029010012460796253, 0.007153969324028398, 0.006444200532847857, 0.017830682949276824, 0.013698694857123855, 0.01882206354539429, 0.004798672313034523, 0.0057455609955277655, 0.0033860745809699234, 0.003642751790825752, 0.00880870120097986, 0.004706831642964292, 0.010301163540722512, 0.006702143653670243, 0.008290478811422667, 0.01003892594123241, 0.005833984439969107, 0.00882096572587334, 0.004137418522666256, 0.0033514995700216488, 0.003401501495701263, 0.013835298974609203, 0.011941899799634182, 0.011398552761050378, 0.008611696347374204, 0.006607205501078305, 0.006003616683859011, 0.0052590867640195365, 0.005720783436218105, 0.0066916172078209215, 0.0061210110940495025, 0.004969340686782263, 0.007663368973210007, 0.007224622872207969, 0.009148432736062043, 0.009931708384664369, 0.01771665305650277, 0.014004069435117271, 0.011247578061174516, 0.010717112550282461, 0.0034278958846207285, 0.005927084750440505, 0.002939480833809172, 0.004321312083225136, 0.004191858857069355, 0.007627647060100243, 0.0041461741756460176]}",/home/ojab2/work/git/vggt/combined_outputs/bicycle_4_n100_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p16687_random_farthestpose_sharedcam/eval_results.json,bicycle_4_n100_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p16687_random_farthestpose_sharedcam,bicycle_4_n100_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p16687_random_farthestpose_sharedcam_i100_gteval_steps15000_val_step14999.json,16687,combined |  | vggtpcd | 16687
combined,100,42,0.0,110000,random,farthestpose,100,GT Eval,,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,vggtpcd,Global Alignment,,Shared Cam,,,,,gsplat,20.803197860717773,0.2790098190307617,0.4591447412967682,1000000,0.0021039999555796385,0.10689998418092728,0.3879545666785732,110000,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n100_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p110000_random_farthestpose_sharedcam_i100_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n100_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p110000_random_farthestpose_sharedcam_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p110000_random_farthestpose_sharedcam_i100_gteval_steps15000,0.1069,0.008457,100,"{'rre': [0.09104569167010858, 0.049569953485055225, 0.13899084243509055, 0.06465715149454103, 0.16052910220765235, 0.10167880164076583, 0.20843763660399578, 0.22851869228430235, 0.05861786193012956, 0.2400157930878753, 0.049860193382682175, 0.2081526946143591, 0.05000422673827688, 0.18286178294321057, 0.22307897531338006, 0.10447026714908408, 0.14742476394037626, 0.09708395192043372, 0.23093978996445313, 0.1009737283519579, 0.12883602273853204, 0.290396531500109, 0.04908640985566499, 0.05633229852257191, 0.07066922029336947, 0.07539002374964807, 0.08522482573826101, 0.06362446655705142, 0.0897370609260876, 0.03995370683525367, 0.08992265422128297, 0.12283349377148996, 0.05685177832273253, 0.10971626431353804, 0.044778556485750694, 0.09406812574122951, 0.11095083460209806, 0.1011570698312627, 0.10627229164930084, 0.12678768297517648, 0.13097027991111657, 0.14801247273998902, 0.12218160068459381, 0.1479858912748345, 0.027314969528008333, 0.12662936015943752, 0.12675440743536234, 0.11144790177614687, 0.12852169746453618, 0.12140116615898433, 0.10471242620595142, 0.13262455031464107, 0.08541994730492636, 0.06559191677735263, 0.06057513529911705, 0.07173674158510901, 0.04911204435020874, 0.043475116802023046, 0.046943487477742636, 0.12420774551796708, 0.05952732433351784, 0.12246919873532304, 0.05982487946977114, 0.05861768268771973, 0.07523286137802042, 0.05890554701285471, 0.08234219172596982, 0.0679069284210433, 0.06885843010920412, 0.06643920020656197, 0.157500594174057, 0.11391164060325579, 0.048932688701415115, 0.023717103300795888, 0.14546480223812988, 0.14711194007856027, 0.13480097453957837, 0.09417314545652646, 0.051353360157710734, 0.08446776693541526, 0.0849707873759939, 0.06820905692460053, 0.08138908880396986, 0.1397669083316216, 0.10492714453804974, 0.16285172352699753, 0.08714800461704167, 0.18366843315370412, 0.09165113735846869, 0.2199126074483572, 0.209836016703383, 0.2022129384120917, 0.062323702450488676, 0.06623270450811192, 0.15567677659941756, 0.049856950606000795, 0.12528970743707896, 0.05789444173825114, 0.11328492280938394, 0.08115986758834891], 'rte': [0.005382040828335257, 0.0048473333470312185, 0.004666216282165024, 0.005025829587762532, 0.002144418968107807, 0.004282419442271137, 0.007609581980846735, 0.012621532392846923, 0.004339659966839523, 0.006682931459771207, 0.009636990211316492, 0.006601265423654246, 0.01092360742393153, 0.013541214555279416, 0.025084601957836284, 0.003980273392419366, 0.020982232998655953, 0.0017090197819568662, 0.024283210022791536, 0.011225635223130246, 0.0080236938310292, 0.047545412563203285, 0.017333013742149593, 0.015007966775051214, 0.006603320435498739, 0.005187590470372044, 0.004785598205745999, 0.0038746865489735363, 0.007068555565255082, 0.00483774867978893, 0.014566561933563885, 0.007139126015625457, 0.00786866676853754, 0.00715450447129756, 0.004703433859847917, 0.00722329098891617, 0.00718934862433503, 0.006004010703625398, 0.0033454353876260267, 0.0011593769536217978, 0.002737731417691397, 0.0060495276116827685, 0.008005514263861205, 0.0058006816465147526, 0.007271491865974081, 0.003973922643097897, 0.023770136335417923, 0.00543029715236054, 0.01950357443358814, 0.005256971298879246, 0.009410358292674288, 0.002587052665528804, 0.007458519303364772, 0.0029010012460796253, 0.007153969324028398, 0.006444200532847857, 0.017830682949276824, 0.013698694857123855, 0.01882206354539429, 0.004798672313034523, 0.0057455609955277655, 0.0033860745809699234, 0.003642751790825752, 0.00880870120097986, 0.004706831642964292, 0.010301163540722512, 0.006702143653670243, 0.008290478811422667, 0.01003892594123241, 0.005833984439969107, 0.00882096572587334, 0.004137418522666256, 0.0033514995700216488, 0.003401501495701263, 0.013835298974609203, 0.011941899799634182, 0.011398552761050378, 0.008611696347374204, 0.006607205501078305, 0.006003616683859011, 0.0052590867640195365, 0.005720783436218105, 0.0066916172078209215, 0.0061210110940495025, 0.004969340686782263, 0.007663368973210007, 0.007224622872207969, 0.009148432736062043, 0.009931708384664369, 0.01771665305650277, 0.014004069435117271, 0.011247578061174516, 0.010717112550282461, 0.0034278958846207285, 0.005927084750440505, 0.002939480833809172, 0.004321312083225136, 0.004191858857069355, 0.007627647060100243, 0.0041461741756460176]}",/home/ojab2/work/git/vggt/combined_outputs/bicycle_4_n100_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p110000_random_farthestpose_sharedcam/eval_results.json,bicycle_4_n100_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p110000_random_farthestpose_sharedcam,bicycle_4_n100_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p110000_random_farthestpose_sharedcam_i100_gteval_steps15000_val_step14999.json,110000,combined |  | vggtpcd | 110000
colmap,100,42,,16687,,farthestpose,100,GT Eval,,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,21.16598129272461,0.37304171919822693,0.47317782044410706,1000000,0.0021039999555796385,0.10689998418092728,0.3448348745965122,16687,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_steps15000,0.1069,0.008457,100,"{'rre': [0.09104569165409618, 0.04956995345564509, 0.1389908424298461, 0.06465715150581479, 0.16052910220765235, 0.10167880164076583, 0.20843763660399578, 0.22851869228430235, 0.058617861942564846, 0.24001579309091228, 0.0498601933680627, 0.20815269461786098, 0.05000422675285423, 0.18286178294321057, 0.22307897531338006, 0.10447026714908408, 0.14742476394037626, 0.09708395192043372, 0.23093978996445313, 0.1009737283447389, 0.12883602273853204, 0.2903965315026191, 0.04908640985566499, 0.05633229852257191, 0.07066922028305482, 0.07539002373997927, 0.08522482572115497, 0.06362446655705142, 0.0897370609260876, 0.03995370683525367, 0.08992265421317677, 0.12283349377148996, 0.05685177832273253, 0.10971626431353804, 0.044778556502029235, 0.09406812573348056, 0.11095083460209806, 0.10115706983846862, 0.10627229167673714, 0.12678768297517648, 0.1309702799278134, 0.1480124727449138, 0.12218160068459381, 0.1479858912748345, 0.027314969528008333, 0.12662936016519394, 0.12675440743536234, 0.11144790178268742, 0.12852169746453618, 0.12140116615298, 0.10471242620595142, 0.13262455030914488, 0.08541994729639286, 0.06559191677735263, 0.06057513529911705, 0.07173674158510901, 0.04911204435020874, 0.043475116785256444, 0.046943487477742636, 0.12420774552383572, 0.05952732433351784, 0.12246919873532304, 0.059824879445402365, 0.0586176826628491, 0.07523286138770939, 0.05890554701285471, 0.08234219171711739, 0.06790692839957482, 0.06885843010920412, 0.06643920020656197, 0.157500594174057, 0.11391164060325579, 0.04893268871631169, 0.023717103300795888, 0.14546480223812988, 0.14711194008351522, 0.13480097453957837, 0.09417314545652646, 0.05135336017190512, 0.08446776694404495, 0.0849707873759939, 0.06820905693528723, 0.08138908880396986, 0.1397669083316216, 0.10492714454499674, 0.16285172352699753, 0.08714800462540595, 0.18366843314973538, 0.09165113735846869, 0.21991260745167185, 0.2098360166999092, 0.2022129384120917, 0.06232370246218453, 0.06623270451911749, 0.15567677659473522, 0.049856950606000795, 0.12528970745453283, 0.057894441763432475, 0.11328492279651498, 0.08115986758834891], 'rte': [0.005382040828335381, 0.004847333347030934, 0.004666216282164843, 0.005025829587760533, 0.0021444189681083556, 0.0042824194422709195, 0.007609581980846471, 0.012621532392845927, 0.004339659966840408, 0.0066829314597716, 0.00963699021131828, 0.006601265423654535, 0.010923607423933694, 0.01354121455528172, 0.02508460195783698, 0.003980273392419965, 0.020982232998656737, 0.0017090197819561279, 0.02428321002279122, 0.011225635223129454, 0.008023693831027976, 0.0475454125632035, 0.01733301374214934, 0.015007966775050896, 0.006603320435500144, 0.005187590470372292, 0.004785598205746401, 0.0038746865489746388, 0.007068555565256656, 0.00483774867978904, 0.014566561933565099, 0.00713912601562603, 0.007868666768537688, 0.007154504471297872, 0.004703433859847967, 0.007223290988916701, 0.007189348624334676, 0.006004010703625797, 0.0033454353876262526, 0.0011593769536214315, 0.002737731417694634, 0.006049527611682359, 0.008005514263860451, 0.005800681646512676, 0.007271491865974258, 0.00397392264309823, 0.02377013633541959, 0.005430297152361404, 0.019503574433589924, 0.005256971298879405, 0.009410358292676113, 0.002587052665529413, 0.007458519303365557, 0.002901001246079468, 0.007153969324028839, 0.006444200532847911, 0.01783068294927736, 0.013698694857123363, 0.018822063545391995, 0.004798672313034866, 0.005745560995527855, 0.0033860745809698254, 0.0036427517908288504, 0.0088087012009784, 0.004706831642964603, 0.010301163540723414, 0.0067021436536705975, 0.008290478811422313, 0.010038925941232742, 0.005833984439969668, 0.008820965725870447, 0.004137418522664613, 0.003351499570020496, 0.003401501495701416, 0.013835298974608239, 0.01194189979963412, 0.011398552761050774, 0.008611696347373004, 0.006607205501077193, 0.006003616683858999, 0.005259086764018984, 0.0057207834362182405, 0.006691617207820812, 0.006121011094048961, 0.004969340686782712, 0.007663368973210329, 0.007224622872208493, 0.009148432736061874, 0.009931708384663816, 0.01771665305650204, 0.014004069435118529, 0.011247578061173434, 0.0107171125502818, 0.00342789588462133, 0.005927084750440115, 0.0029394808338097933, 0.004321312083225672, 0.004191858857068745, 0.007627647060100313, 0.004146174175646906]}",/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam/eval_results.json,bicycle_4_n100_s42_default_farthestpose_sharedcam,bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_steps15000_val_step14999.json,16687,colmap |  |  | 16687
