choice,num_images,num_points,rre,rte,psnr,lpips,ssim,num_GS
COLMAP,50,3240,156.0539,3.70741,11.360930442810059,0.5088000893592834,0.6731196641921997,1000000
COLMAP,50,3864,169.7475,3.636194,11.360930442810059,0.5087998509407043,0.6731188893318176,1000000
COLMAP,50,3914,170.7687,3.636532,11.360930442810059,0.5088004469871521,0.6731190085411072,1000000
COLMAP,87,10350,12.7941,0.784629,10.700383186340332,0.5189155340194702,0.5321635603904724,1000000
COLMAP,87,10433,12.5584,0.774201,10.7437744140625,0.5156663060188293,0.5341464281082153,1000000
COLMAP,87,10438,13.2032,0.788078,10.6031494140625,0.5252242088317871,0.5307565927505493,1000000
VGGT,50,55000,0.8881666666666668,0.04254133333333333,15.366434097290039,0.23646963636080423,0.671632985273997,1000000
VGGT,50,110000,0.8881666666666668,0.04254133333333333,15.380149841308594,0.2361366202433904,0.6706480185190836,1000000
VGGT,87,95700,0.3306,0.018825,20.39445686340332,0.10208045194546382,0.766736626625061,1000000
VGGT,87,191400,0.3306,0.018825,20.392419179280598,0.1016101489464442,0.7664357622464498,1000000
