method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss,error_opa,depth_lambda,depth_conf,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,quality,real_num_points,file_path,folder,rre,rte,plot_series
colmap,100,42,,9559,,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,crop,15000,15000,default,MCMC,gsplat,10.504980087280273,0.7363406419754028,0.26144400238990784,1000000,0.017669999971985817,1.2231998443603516,-0.20067061418988158,9559,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_crop_i100_gteval_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_default_farthestpose_crop_i100_gteval_steps15000,1.2232,0.041899,colmap | crop
colmap,100,42,,73020,,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,square,15000,15000,default,MCMC,gsplat,20.138620376586914,0.270363450050354,0.6391229629516602,1000000,0.002532999962568283,0.1298000067472458,0.486235263054831,73020,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_square_i100_gteval_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_default_farthestpose_square_i100_gteval_steps15000,0.1298,0.010905,colmap | square
colmap,100,42,,80705,,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,18.469179153442383,0.32536494731903076,0.5786079168319702,1000000,0.01467599906027317,0.5629000067710876,0.38597922746510843,80705,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_default_farthestpose_i100_gteval_steps15000,0.5629,0.063833,colmap | 
colmap,100,43,,9543,,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,crop,15000,15000,default,MCMC,gsplat,10.691826820373535,0.7074244618415833,0.26668909192085266,1000000,0.0089910002425313,0.6305999755859375,-0.1762936917739381,9543,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s43_default_farthestpose_crop_i100_gteval_steps15000/stats/val_step14999.json,bonsai_2_n100_s43_default_farthestpose_crop_i100_gteval_steps15000,0.6306,0.021992,colmap | crop
colmap,100,43,,73014,,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,square,15000,15000,default,MCMC,gsplat,20.160430908203125,0.2678437829017639,0.6405831575393677,1000000,0.0022589999716728926,0.14190001785755157,0.4890484268437584,73014,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s43_default_farthestpose_square_i100_gteval_steps15000/stats/val_step14999.json,bonsai_2_n100_s43_default_farthestpose_square_i100_gteval_steps15000,0.1419,0.00975,colmap | square
colmap,100,43,,80830,,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,18.83687400817871,0.3060200810432434,0.5905328989028931,1000000,0.012391000054776669,0.4864000976085663,0.41170334064627406,80830,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s43_default_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bonsai_2_n100_s43_default_farthestpose_i100_gteval_steps15000,0.4864,0.053874,colmap | 
colmap,100,44,,9563,,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,crop,15000,15000,default,MCMC,gsplat,10.573179244995117,0.7102397084236145,0.2463207244873047,1000000,0.00875800009816885,0.6414999961853027,-0.19214000161240974,9563,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s44_default_farthestpose_crop_i100_gteval_steps15000/stats/val_step14999.json,bonsai_2_n100_s44_default_farthestpose_crop_i100_gteval_steps15000,0.6415,0.021011,colmap | crop
colmap,100,44,,73009,,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,square,15000,15000,default,MCMC,gsplat,20.11614418029785,0.2745053768157959,0.6330955028533936,1000000,0.0033090002834796906,0.13580000400543213,0.4797374618138641,73009,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s44_default_farthestpose_square_i100_gteval_steps15000/stats/val_step14999.json,bonsai_2_n100_s44_default_farthestpose_square_i100_gteval_steps15000,0.1358,0.01424,colmap | square
colmap,100,44,,79141,,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,18.633634567260742,0.31010448932647705,0.5858246088027954,1000000,0.012052997946739197,0.4887000024318695,0.402665021591484,79141,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s44_default_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bonsai_2_n100_s44_default_farthestpose_i100_gteval_steps15000,0.4887,0.052377,colmap | 
vggt,100,42,0.0,110000,voxels,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,15000,15000,,MCMC,gsplat,17.5345401763916,0.4374907314777374,0.5742523074150085,1000000,,,0.2969105112389979,110277,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p110000_voxels_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_c0.0_p110000_voxels_farthestpose_i100_gteval_steps15000,0.7897,0.107121,vggt | 
vggt,100,43,0.0,110000,voxels,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,15000,15000,,MCMC,gsplat,17.552377700805664,0.43710771203041077,0.5750956535339355,1000000,0.024634001776576042,0.7897000312805176,0.29797045238766284,110278,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s43_c0.0_p110000_voxels_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bonsai_2_n100_s43_c0.0_p110000_voxels_farthestpose_i100_gteval_steps15000,0.7897,0.107121,vggt | 
vggt,100,44,0.0,110000,voxels,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,15000,15000,,MCMC,gsplat,17.539352416992188,0.4376832842826843,0.5747129917144775,1000000,0.024634001776576042,0.7897000312805176,0.29715017307261665,110278,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s44_c0.0_p110000_voxels_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bonsai_2_n100_s44_c0.0_p110000_voxels_farthestpose_i100_gteval_steps15000,0.7897,0.107121,vggt | 
